dataset,method,offset,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),,winners
AUDrone2,ORB-SLAM3_2,0.5,0.125216,0.140166,0.125216,0.119017,0.256462,0.021249,0.062987,4.420438,,,,1
AUDrone2,ORB-SLAM3,0.5,0.142116,0.170451,0.142116,0.131355,0.540402,0.004709,0.094109,8.832243,,,,1
AUDrone1,ORB-SLAM3,-1.25,0.142701,0.181899,0.142701,0.123694,0.874892,0.04404,0.112799,4.797629,,,,1
AUDrone1,ORB-SLAM3_2,-1.25,0.209389,0.237151,0.209389,0.210062,0.727271,0.068013,0.111341,7.648737,,,,1
AUDrone3,ORB-SLAM3,0.35,0.76173,1.54576,0.76173,0.450912,10.163486,0.116751,1.345043,482.653511,,,,1
AUDrone3,ORB-SLAM3_2,1.7,1.528686,2.92328,1.528686,0.974359,18.916395,0.329668,2.491724,1709.113521,,,,1
AUDrone2,ORB-SLAM3_2,0.45,0.126267,0.142764,0.126267,0.126225,0.275329,0.024291,0.06662,4.565492,,,,0
AUDrone2,ORB-SLAM3_2,0.55,0.130891,0.144779,0.130891,0.132147,0.257503,0.003799,0.061875,4.716232,,,,0
AUDrone2,ORB-SLAM3_2,0.4,0.135839,0.152684,0.135839,0.14167,0.309969,0.013846,0.069715,5.268597,,,,0
AUDrone2,ORB-SLAM3_2,0.6,0.143114,0.156339,0.143114,0.145987,0.269071,0.037359,0.062931,5.548317,,,,0
AUDrone1,ORB-SLAM3,-1.2,0.143667,0.183749,0.143667,0.117956,0.876659,0.040222,0.114557,4.89571,,,,0
AUDrone2,ORB-SLAM3,0.55,0.145693,0.169584,0.145693,0.134835,0.506839,0.030258,0.086789,8.685186,,,,0
AUDrone1,ORB-SLAM3,-1.3,0.146182,0.183496,0.146182,0.130068,0.873653,0.042646,0.110912,4.882238,,,,0
AUDrone2,ORB-SLAM3,0.45,0.14725,0.177491,0.14725,0.135406,0.576122,0.010197,0.099099,9.576915,,,,0
AUDrone1,ORB-SLAM3,-1.15,0.149224,0.188672,0.149224,0.115967,0.877559,0.038141,0.115452,5.161561,,,,0
AUDrone2,ORB-SLAM3_2,0.35,0.150977,0.16827,0.150977,0.16378,0.364531,0.022826,0.074301,6.399121,,,,0
AUDrone1,ORB-SLAM3,-1.35,0.153536,0.188421,0.153536,0.134659,0.872117,0.042956,0.109221,5.147834,,,,0
AUDrone2,ORB-SLAM3,0.6,0.156307,0.176189,0.156307,0.149533,0.482358,0.029571,0.081306,9.374823,,,,0
AUDrone2,ORB-SLAM3_2,0.65,0.158782,0.171998,0.158782,0.161968,0.296905,0.044441,0.066116,6.685797,,,,0
AUDrone1,ORB-SLAM3,-1.1,0.159089,0.196562,0.159089,0.119335,0.878843,0.045107,0.115444,5.602309,,,,0
AUDrone2,ORB-SLAM3,0.4,0.160112,0.190322,0.160112,0.152969,0.611672,0.007157,0.102892,10.975455,,,,0
AUDrone1,ORB-SLAM3,-1.4,0.164252,0.196774,0.164252,0.140401,0.871304,0.053891,0.108357,5.61438,,,,0
AUDrone2,ORB-SLAM3_2,0.3,0.169894,0.187608,0.169894,0.177869,0.415532,0.049226,0.07958,7.954474,,,,0
AUDrone1,ORB-SLAM3,-1.05,0.171578,0.206795,0.171578,0.130628,0.880652,0.066102,0.115435,6.200791,,,,0
AUDrone2,ORB-SLAM3,0.65,0.172222,0.188487,0.172222,0.169398,0.463844,0.039805,0.076596,10.800307,,,,0
AUDrone1,ORB-SLAM3,-1.45,0.177533,0.207718,0.177533,0.155032,0.869081,0.037081,0.107837,6.25627,,,,0
AUDrone2,ORB-SLAM3,0.35,0.177628,0.207782,0.177628,0.171137,0.65178,0.001757,0.107804,13.167898,,,,0
AUDrone2,ORB-SLAM3_2,0.7,0.179839,0.192517,0.179839,0.185721,0.337578,0.06937,0.068709,8.376234,,,,0
AUDrone1,ORB-SLAM3,-1,0.186129,0.219163,0.186129,0.147599,0.882487,0.065521,0.115708,6.964707,,,,0
AUDrone2,ORB-SLAM3,0.7,0.191037,0.204846,0.191037,0.186681,0.454394,0.060812,0.073936,12.756385,,,,0
AUDrone2,ORB-SLAM3_2,0.25,0.191766,0.210421,0.191766,0.195742,0.464973,0.061376,0.08662,10.006639,,,,0
AUDrone1,ORB-SLAM3,-1.5,0.1932,0.221087,0.1932,0.1747,0.866811,0.053254,0.107486,7.087529,,,,0
AUDrone2,ORB-SLAM3,0.3,0.198595,0.228999,0.198595,0.193559,0.692907,0.005189,0.11402,15.994396,,,,0
AUDrone1,ORB-SLAM3,-0.95,0.20159,0.233056,0.20159,0.166486,0.884824,0.064882,0.116948,7.875714,,,,0
AUDrone2,ORB-SLAM3_2,0.75,0.202747,0.215026,0.202747,0.209796,0.37909,0.086825,0.071622,10.44935,,,,0
AUDrone1,ORB-SLAM3_2,-1.2,0.210576,0.239321,0.210576,0.216981,0.729224,0.063709,0.113719,7.789308,,,,0
AUDrone1,ORB-SLAM3,-1.55,0.210621,0.236459,0.210621,0.193703,0.865533,0.050397,0.107479,8.10734,,,,0
AUDrone1,ORB-SLAM3_2,-1.3,0.210719,0.238141,0.210719,0.213243,0.726147,0.065597,0.110944,7.712715,,,,0
AUDrone2,ORB-SLAM3,0.75,0.212357,0.224963,0.212357,0.207466,0.454563,0.056622,0.074249,15.384952,,,,0
AUDrone1,ORB-SLAM3_2,-1.15,0.213763,0.243954,0.213763,0.209593,0.731453,0.061723,0.117555,8.093867,,,,0
AUDrone1,ORB-SLAM3_2,-1.35,0.214084,0.24192,0.214084,0.212231,0.726175,0.051128,0.112664,7.959414,,,,0
AUDrone2,ORB-SLAM3_2,0.2,0.21559,0.235185,0.21559,0.207678,0.508869,0.068128,0.093983,12.555858,,,,0
AUDrone1,ORB-SLAM3,-0.9,0.217771,0.248326,0.217771,0.189836,0.886589,0.062132,0.119338,8.941545,,,,0
AUDrone1,ORB-SLAM3_2,-1.4,0.219371,0.248064,0.219371,0.214279,0.724681,0.040692,0.11581,8.368833,,,,0
AUDrone1,ORB-SLAM3_2,-1.1,0.219628,0.251195,0.219628,0.206161,0.732489,0.041753,0.121912,8.581442,,,,0
AUDrone2,ORB-SLAM3,0.25,0.221552,0.252548,0.221552,0.210211,0.734271,0.012203,0.121224,19.389272,,,,0
AUDrone1,ORB-SLAM3_2,-1.45,0.227486,0.257588,0.227486,0.220113,0.726424,0.040102,0.120837,9.02379,,,,0
AUDrone2,ORB-SLAM3_2,0.8,0.227649,0.23979,0.227649,0.23256,0.414703,0.096625,0.075332,12.994784,,,,0
AUDrone1,ORB-SLAM3_2,-1.05,0.227832,0.260446,0.227832,0.205522,0.732884,0.037048,0.126194,9.225194,,,,0
AUDrone1,ORB-SLAM3,-1.6,0.228972,0.253242,0.228972,0.213544,0.86502,0.05749,0.108182,9.29904,,,,0
AUDrone1,ORB-SLAM3,-0.85,0.234744,0.264782,0.234744,0.214198,0.887412,0.057863,0.122493,10.165848,,,,0
AUDrone2,ORB-SLAM3,0.8,0.235502,0.247708,0.235502,0.23693,0.463996,0.068402,0.076799,18.775928,,,,0
AUDrone1,ORB-SLAM3_2,-1.5,0.237225,0.268733,0.237225,0.226897,0.727038,0.030972,0.12626,9.821541,,,,0
AUDrone1,ORB-SLAM3_2,-1,0.238568,0.271724,0.238568,0.209695,0.733304,0.033424,0.130073,10.041401,,,,0
AUDrone2,ORB-SLAM3_2,0.15,0.240156,0.260809,0.240156,0.23527,0.548639,0.074792,0.101717,15.508877,,,,0
AUDrone2,ORB-SLAM3,0.2,0.245366,0.277722,0.245366,0.23672,0.77728,0.015387,0.130096,23.524431,,,,0
AUDrone1,ORB-SLAM3,-1.65,0.2484,0.271422,0.2484,0.234847,0.864172,0.070313,0.109397,10.682167,,,,0
AUDrone1,ORB-SLAM3_2,-1.55,0.248936,0.281751,0.248936,0.243804,0.727546,0.021203,0.131964,10.796162,,,,0
AUDrone1,ORB-SLAM3_2,-0.95,0.251027,0.284334,0.251027,0.219184,0.733532,0.054701,0.133533,10.995034,,,,0
