dataset,method,trajectory_file,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),avg_mem (%)
MH_01_easy,VINS-Mono,tum_vinsmono.txt,0.145176,0.155654,0.145176,0.141012,0.350321,0.035552,0.056145,44.022678,1.91,,18.32
MH_01_easy,VINS-Fusion,tum_vinsfusion.txt,0.155405,0.180709,0.155405,0.133631,0.415884,0.013707,0.092223,59.400755,0.82,,11.77
MH_01_easy,Kimera,tum_kimera.txt,0.390202,0.444257,0.390202,0.395125,0.871091,0.039217,0.212384,156.707271,8.75,,77.43
MH_01_easy,SVO,svo_traj_tum.txt,0.08395,0.099496,0.08395,0.065417,0.315296,0.005961,0.053402,36.014131,3.09,,12.84
MH_01_easy,Maplab,tum_maplab.txt,0.169639,0.209191,0.169639,0.118986,0.797622,0.02491,0.122407,79.513672,2.2,,13.52
MH_01_easy,ORB-SLAM3,OrbSlam3TUM.txt,0.080453,0.090044,0.080453,0.075014,0.179163,0.003162,0.040438,2.829675,14.42,,17.42
MH_01_easy,VI-Stereo-DSO,nt_MH_01_easy.txt,0.089144,0.101,0.089144,0.082394,0.178614,0.011625,0.047481,36.78477,15.35,,10.44
MH_01_easy,OKVIS2,tum_okvis2.txt,0.003312,0.004643,0.003312,0.00162,0.033364,0.000444,0.003255,0.021131,29.49,,42.01
MH_01_easy,RVIO,tum_rvio.txt,0.760185,1.440016,0.760185,0.364674,10.082461,0.071651,1.223015,6274.856013,0.8,,20.36
MH_01_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,0.042598,0.051013,0.042598,0.032649,0.146164,0.007912,0.028066,0.832729,8.06,,22.6
MH_01_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3.txt,0.077787,0.087797,0.077787,0.061681,0.170058,0.010034,0.040712,2.46667,7.74,,22.38
MH_02_easy,VINS-Mono,tum_vinsmono.txt,0.133863,0.178346,0.133863,0.089565,0.533715,0.032543,0.117847,47.583492,1.72,,17.89
MH_02_easy,VINS-Fusion,tum_vinsfusion.txt,0.072188,0.091526,0.072188,0.06643,0.217894,0.006702,0.056267,12.55711,0.92,,11.72
MH_02_easy,Kimera,tum_kimera.txt,0.162091,0.196298,0.162091,0.136495,0.391145,0.01136,0.110722,23.620574,8.6,,77.08
MH_02_easy,SVO,svo_traj_tum.txt,0.056432,0.06978,0.056432,0.043885,0.249164,0.002544,0.041046,14.607903,3.5,,12.82
MH_02_easy,Maplab,tum_maplab.txt,0.297948,0.357466,0.297948,0.318041,2.119422,0.01238,0.197506,191.416821,2.3,,13.11
MH_02_easy,ORB-SLAM3,OrbSlam3TUM.txt,34.91502,48.573308,34.91502,26.072485,182.617014,7.533548,33.768442,1587853.493104,10.77,,17.01
MH_02_easy,VI-Stereo-DSO,nt_MH_02_easy.txt,0.083418,0.089303,0.083418,0.087083,0.179809,0.020038,0.031884,23.438672,14.98,,11.9
