dataset,method,trajectory_file,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (%)
MH_01_easy,VINS-Mono,tum_vinsmono_trim.txt,0.1237,0.137717,0.1237,0.108094,0.277571,0.010677,0.060533,26.324736,1.91,18.32
MH_01_easy,VINS-Fusion,tum_vinsfusion_trim.txt,0.117045,0.140878,0.117045,0.086898,0.334619,0.013152,0.078403,27.547043,0.82,11.77
MH_01_easy,Kimera,tum_kimera_trim.txt,0.312545,0.383692,0.312545,0.24957,0.861532,0.030497,0.222565,102.17038,8.75,77.43
MH_01_easy,SVO,svo_traj_tum_trim.txt,0.090575,0.106952,0.090575,0.081254,0.305193,0.000415,0.056875,31.753694,3.09,12.84
MH_01_easy,Maplab,tum_maplab_trim.txt,0.192225,0.224984,0.192225,0.168319,0.761685,0.01595,0.116908,70.15634,2.2,13.52
MH_01_easy,ORB-SLAM3,OrbSlam3TUM_trim.txt,0.078717,0.088477,0.078717,0.070919,0.174919,0.002735,0.040396,2.638076,14.42,17.42
MH_01_easy,VI-Stereo-DSO,nt_MH_01_easy_trim.txt,0.060819,0.074989,0.060819,0.045729,0.187066,0.001324,0.043868,15.610292,15.35,10.44
MH_01_easy,OKVIS2,tum_okvis2_trim.txt,0.003295,0.003869,0.003295,0.002871,0.01049,0.000339,0.002028,0.001766,29.49,42.01
MH_01_easy,RVIO,tum_rvio_trim.txt,0.357452,0.882733,0.357452,0.217841,10.407511,0.009775,0.807121,2163.105668,0.8,20.36
MH_01_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,0.042598,0.051013,0.042598,0.032649,0.146164,0.007912,0.028066,0.832729,8.06,22.6
MH_01_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,0.077787,0.087797,0.077787,0.061681,0.170058,0.010034,0.040712,2.46667,7.74,22.38
MH_02_easy,VINS-Mono,tum_vinsmono_trim.txt,0.156387,0.192601,0.156387,0.120149,0.469843,0.03609,0.112419,41.769122,1.72,17.89
MH_02_easy,VINS-Fusion,tum_vinsfusion_trim.txt,0.09108,0.10504,0.09108,0.079346,0.221726,0.015615,0.052323,12.434536,0.92,11.72
MH_02_easy,Kimera,tum_kimera_trim.txt,0.140101,0.178149,0.140101,0.106023,0.383411,0.005907,0.11004,17.899748,8.6,77.08
MH_02_easy,SVO,svo_traj_tum_trim.txt,0.068823,0.0792,0.068823,0.05992,0.248005,0.009023,0.039192,14.132377,3.5,12.82
MH_02_easy,Maplab,tum_maplab_trim.txt,0.244933,0.33503,0.244933,0.183941,2.06514,0.039213,0.228589,126.163716,2.3,13.11
MH_02_easy,ORB-SLAM3,OrbSlam3TUM_trim.txt,34.91502,48.573308,34.91502,26.072485,182.617014,7.533548,33.768442,1587853.493,10.77,17.01
MH_02_easy,VI-Stereo-DSO,nt_MH_02_easy_trim.txt,0.072647,0.079374,0.072647,0.064926,0.141987,0.010844,0.031979,14.194591,14.98,11.9
MH_02_easy,OKVIS2,tum_okvis2_trim.txt,0.057931,0.066871,0.057931,0.063916,0.199348,0.003057,0.033403,1.059813,38.19,45.49
MH_02_easy,RVIO,tum_rvio_trim.txt,0.158821,0.18081,0.158821,0.136442,0.530688,0.023659,0.086419,73.296179,1.47,42.2
MH_02_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,528.601303,637.612667,528.601303,485.145452,1596.836095,55.436568,356.553749,280925989.9,4.46,17.13
MH_02_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,172.811507,231.116801,172.811507,126.782669,714.542706,30.926904,153.463868,46310784.04,5.7,17.71
MH_03_medium,VINS-Mono,tum_vinsmono_trim.txt,0.170852,0.19845,0.170852,0.135993,0.459809,0.033704,0.100954,45.210775,1.81,17.68
MH_03_medium,VINS-Fusion,tum_vinsfusion_trim.txt,0.1445,0.158919,0.1445,0.12932,0.342451,0.039114,0.066143,29.018223,1.01,11.7
MH_03_medium,Kimera,tum_kimera_trim.txt,0.285673,0.323064,0.285673,0.279692,0.745498,0.038509,0.150868,59.908484,4.89,78.02
MH_03_medium,SVO,svo_traj_tum_trim.txt,0.186333,0.46219,0.186333,0.161072,19.981119,0.034447,0.422965,487.265842,2.03,12.93
MH_03_medium,Maplab,tum_maplab_trim.txt,0.293302,0.333443,0.293302,0.258011,0.784423,0.015785,0.158613,127.639704,2.38,12.96
MH_03_medium,ORB-SLAM3,OrbSlam3TUM_trim.txt,0.047805,0.050223,0.047805,0.047954,0.09072,0.008484,0.015396,0.928218,14.49,17.61
MH_03_medium,VI-Stereo-DSO,nt_MH_03_medium_trim.txt,0.667428,0.725992,0.667428,0.641394,1.530554,0.18337,0.285665,1210.668543,16.08,10.72
MH_03_medium,OKVIS2,tum_okvis2_trim.txt,0.092126,0.103535,0.092126,0.079218,0.239231,0.014348,0.047247,6.646087,51.25,48.57
MH_03_medium,RVIO,tum_rvio_trim.txt,0.628649,1.458918,0.628649,0.366237,9.733335,0.040717,1.316526,4886.899769,0.2,9.45
