timestamp,cpu_percent,ram_percent
1746619826,14.3,15.9587
1746619826,10.7,16.2677
1746619826,19.2,16.3025
1746619826,26,16.3431
1746619826,22.5,16.3551
1746619827,16.6,16.3918
1746619827,18.3,16.4102
1746619827,18.8,16.4146
1746619828,17,16.4256
1746619828,16.7,16.4302
1746619828,14.4,16.4351
1746619828,16.9,16.455
1746619829,13.8,16.4564
1746619829,15.6,16.4549
1746619829,16.2,16.4595
1746619829,15.9,16.481
1746619830,16.6,16.4794
1746619830,14.4,16.4854
1746619830,14.9,16.4869
1746619830,15.5,16.4869
1746619830,15.9,16.493
1746619831,18.6,16.5068
1746619831,14.9,16.5082
1746619831,15.8,16.5067
1746619831,15.7,16.5081
1746619832,15.7,16.5156
1746619832,18.1,16.5229
1746619832,20.8,16.5229
1746619832,17.3,16.5248
1746619832,15.5,16.5232
1746619833,16.2,16.5399
1746619833,15.9,16.5474
1746619833,16.4,16.5518
1746619833,17.5,16.5519
1746619833,15,16.555
1746619834,15,16.5582
1746619834,15.1,16.5626
1746619834,15.3,16.5718
1746619835,15.6,16.5715
1746619835,15.5,16.5671
1746619835,14.1,16.5514
1746619836,16.9,16.5475
1746619836,16.2,16.5461
1746619836,18.2,16.5494
1746619836,16.8,16.5446
1746619836,14.7,16.5523
1746619837,16,16.5554
1746619837,17.9,16.5554
1746619837,18,16.5491
1746619837,16.1,16.5445
1746619837,16.2,16.5501
1746619838,13.3,16.552
1746619838,17.4,16.5642
1746619838,19.1,16.5688
1746619838,16.4,16.5704
1746619839,19.5,16.5919
1746619839,16,16.6013
1746619839,16.1,16.6013
1746619839,19.1,16.6216
1746619839,19.2,16.6211
1746619840,15.3,16.6223
1746619840,18.2,16.6131
1746619840,17.8,16.6237
1746619841,20.8,16.6169
1746619841,22.2,16.6246
1746619841,16.2,16.6426
1746619841,15.1,16.6497
1746619842,15.2,16.6544
1746619842,16.8,16.6636
1746619842,16.9,16.6697
1746619842,14.6,16.6556
1746619843,15.6,16.6894
1746619843,18.6,16.7002
1746619843,20.9,16.7125
1746619843,19.8,16.6924
1746619843,17.4,16.7089
1746619844,22.1,16.7552
1746619844,18,16.766
1746619844,17.8,16.7735
1746619844,16,16.7748
1746619845,36.1,16.8164
1746619845,92.5,16.8651
1746619845,92,16.8696
1746619845,89.7,16.8745
1746619845,91.2,16.8712
1746619846,90.2,16.9146
1746619846,93.7,16.9742
1746619846,93.5,16.9786
1746619846,92.3,16.9706
1746619847,92.6,16.9705
1746619847,95,17.0038
1746619847,94.2,17.076
1746619848,95.7,17.0774
1746619848,89.4,17.0928
1746619848,90.1,17.0864
1746619848,91.7,17.1277
1746619849,92.3,17.1619
1746619849,94.6,17.1605
1746619849,92.2,17.1681
1746619849,89.8,17.1618
1746619849,91,17.2057
1746619850,90.5,17.2658
1746619850,89.8,17.2647
1746619850,91.5,17.2875
1746619850,91,17.2843
1746619851,89,17.3137
1746619851,52.7,17.3518
1746619851,88.8,17.3454
1746619851,91.8,17.3623
1746619851,92.2,17.3699
1746619852,88.1,17.3896
1746619852,92.2,17.4097
1746619852,93.6,17.4231
1746619853,95.1,17.4314
1746619853,92.7,17.439
1746619853,95.1,17.4463
1746619853,94.1,17.4597
1746619854,94.3,17.4695
1746619854,90,17.4704
1746619854,85.4,17.4719
1746619854,94.8,17.4783
1746619855,89.6,17.4826
1746619855,93,17.5036
1746619855,93.6,17.5115
1746619855,90,17.5162
1746619855,91.3,17.5178
1746619856,91,17.536
1746619856,86.9,17.5713
1746619856,89.9,17.5881
1746619856,90.6,17.5895
1746619857,90,17.6046
1746619857,90.6,17.6155
1746619857,89.6,17.6282
1746619857,89.8,17.628
1746619858,93.7,17.6299
1746619858,86.5,17.6023
1746619858,91.5,17.6126
1746619859,91.6,17.6217
1746619859,92.9,17.6283
1746619859,91.5,17.6297
1746619859,93.7,17.6454
1746619860,93.8,17.6544
1746619860,93.5,17.6614
1746619860,94.9,17.674
1746619860,94.1,17.674
1746619860,89.1,17.681
1746619861,91,17.6933
1746619861,89.9,17.7135
1746619861,93.7,17.7149
1746619861,92.2,17.7133
1746619862,14,17.712
1746619862,14,17.7304
1746619862,16.8,17.7334
1746619862,16.1,17.7549
1746619862,14.6,17.7564
1746619863,16.2,17.7749
1746619863,16.3,17.7887
1746619863,17.9,17.7979
1746619863,16.5,17.8039
1746619864,15.5,17.8055
1746619864,14.9,17.8193
1746619864,15.2,17.8623
1746619865,14.6,17.8669
1746619865,17.4,17.8744
1746619865,15.9,17.9021
1746619865,15.8,17.9129
1746619865,16.5,17.9517
1746619866,15.5,17.9547
1746619866,17.9,17.9715
1746619866,16.3,17.9731
1746619866,15,17.9853
1746619867,14,17.9915
1746619867,16.2,17.9881
1746619867,14.7,17.9927
1746619867,14.6,17.9864
1746619867,16.7,17.9911
1746619868,17.9,17.9856
1746619868,16,17.9939
1746619868,17.8,17.9922
1746619868,15.1,17.9953
1746619869,13.1,17.9919
1746619869,14.1,17.9969
1746619869,18,17.9952
1746619869,16.8,17.9889
1746619869,16,17.989
1746619870,15,17.9951
1746619870,14.5,18.0104
1746619870,17,18.0074
1746619871,15.6,17.996
1746619871,15.8,17.9961
1746619871,16.4,18.0086
1746619871,15.9,18.01
1746619872,14.3,18.019
1746619872,16.6,18.0175
1746619872,16.1,18.0236
1746619872,18.3,18.0235
1746619873,18.8,18.0404
1746619873,18.1,18.0479
1746619873,19.9,18.0446
1746619873,16.1,18.0446
1746619873,14.5,18.0459
1746619874,17.9,18.0554
1746619874,15.5,18.0414
1746619874,18.7,18.0491
1746619874,17.7,18.0492
1746619875,16,18.0568
1746619875,16.2,18.0582
1746619875,17.8,18.0625
1746619875,17.3,18.0654
1746619875,17,18.0689
1746619876,14.9,18.0703
1746619876,13.8,18.0809
1746619876,16,18.0839
1746619876,16.7,18.0869
1746619877,14.7,18.09
1746619877,15.5,18.0745
1746619877,15.1,18.0806
1746619878,18.7,18.0805
1746619878,15.6,18.074
1746619878,16.8,18.0755
1746619878,14.1,18.082
1746619878,17.2,18.0818
1746619879,17.5,18.0832
1746619879,16.9,18.0877
1746619879,15.6,18.0891
1746619879,16.8,18.1015
1746619880,16.1,18.1015
1746619880,16.3,18.0997
1746619880,15.6,18.1058
1746619880,14.2,18.0996
1746619880,17.7,18.0794
1746619881,14.6,18.081
1746619881,17.3,18.0856
1746619881,16.5,18.0855
1746619881,15.4,18.0839
1746619882,16.8,18.093
1746619882,13.7,18.0866
1746619882,14.7,18.0914
1746619882,16.1,18.0929
1746619882,15.3,18.0913
1746619883,16.2,18.0974
1746619883,14.9,18.105
1746619883,13.7,18.1064
1746619884,17.8,18.1079
1746619884,16,18.1049
1746619884,15,18.1079
1746619884,15.8,18.0938
1746619885,14.1,18.0968
1746619885,15.7,18.0998
1746619885,15.5,18.0982
1746619885,14.4,18.0996
1746619886,15.9,18.0857
1746619886,16.1,18.0919
1746619886,17.3,18.0948
1746619886,17.5,18.0918
1746619886,14.4,18.0855
1746619887,14.1,18.1039
1746619887,16.7,18.1084
1746619887,18.3,18.1083
1746619887,18.1,18.1129
1746619888,17,18.1235
1746619888,16.7,18.1295
1746619888,15.8,18.123
1746619888,14.8,18.1231
1746619888,15.1,18.1278
1746619889,14.9,18.1296
1746619889,14.9,18.1357
1746619889,15.7,18.1371
1746619889,16.7,18.14
1746619890,16.1,18.1386
1746619890,13.5,18.1321
1746619890,14.7,18.1241
1746619891,15.3,18.1117
1746619891,14.3,18.1087
1746619891,15.1,18.1164
1746619891,15.9,18.1133
1746619891,16.7,18.1178
1746619892,15.5,18.1239
1746619892,15.2,18.1267
1746619892,14.7,18.1283
1746619892,16.9,18.1234
1746619893,16.7,18.1264
1746619893,17.2,18.1233
1746619893,17.4,18.1232
1746619893,18,18.1233
1746619893,15.9,18.1278
1746619894,14.5,18.1221
1746619894,17.3,18.1182
1746619894,17,18.1147
1746619894,16.6,18.1069
1746619895,23.6,18.1021
1746619895,14,18.0838
1746619895,14.9,18.0899
1746619895,16.4,18.0819
1746619896,17.9,18.0805
1746619896,16.5,18.0944
1746619896,15.7,18.0957
1746619896,15.5,18.097
1746619897,18.5,18.0954
1746619897,16.7,18.1003
1746619897,14.9,18.0985
1746619897,13.9,18.1061
1746619898,16,18.087
1746619898,16.9,18.0781
1746619898,16.1,18.0751
1746619898,17.1,18.0733
1746619899,16.3,18.0826
1746619899,14.7,18.0766
1746619899,14.4,18.0734
1746619899,13.8,18.0672
1746619899,14.1,18.0689
1746619900,13.5,18.0841
1746619900,16.2,18.0855
1746619900,16.9,18.084
1746619900,16.2,18.087
1746619901,16.2,18.0885
1746619901,14.5,18.0915
1746619901,17.3,18.096
1746619901,14.4,18.0974
1746619901,15.3,18.0991
1746619902,15,18.1052
1746619902,14.6,18.1143
1746619902,15.5,18.1234
1746619902,15,18.1295
1746619903,15.8,18.128
1746619903,17.9,18.1134
1746619903,16.3,18.1192
1746619904,16.4,18.1191
1746619904,16.1,18.1278
1746619904,16,18.1246
1746619904,16.7,18.1306
1746619904,12.6,18.1291
1746619905,13.8,18.1244
1746619905,14.7,18.1165
1746619905,12.8,18.1149
1746619905,17.1,18.1227
1746619906,15.1,18.1349
1746619906,16.9,18.1487
1746619906,16.1,18.139
1746619906,13.8,18.1439
1746619906,15.2,18.1563
1746619907,14.5,18.1639
1746619907,14.9,18.1747
1746619907,19.3,18.1715
1746619907,18.5,18.1747
1746619908,13.1,18.1521
1746619908,14.9,18.1667
1746619908,16.8,18.1758
1746619908,16.1,18.1805
1746619909,14.6,18.1789
1746619909,14.6,18.1741
1746619909,15.7,18.1814
1746619909,13.6,18.1736
1746619910,15.7,18.1798
1746619910,15.9,18.1814
1746619910,15.3,18.1841
1746619910,12.7,18.1828
1746619911,13.6,18.1873
1746619911,18.2,18.1872
1746619911,17.3,18.1694
1746619911,16.3,18.1591
1746619912,11.3,18.1707
1746619912,16.2,18.1805
1746619912,17,18.1773
1746619912,14.8,18.1774
1746619912,15,18.1834
1746619913,13.2,18.1833
1746619913,15.5,18.1907
1746619913,16.9,18.1909
1746619913,17.9,18.1892
1746619914,15.5,18.1922
1746619914,16.5,18.1981
1746619914,15.5,18.1917
1746619914,16.1,18.1873
1746619914,15,18.1888
1746619915,15.8,18.1948
1746619915,15,18.1959
1746619915,15.6,18.2038
1746619916,16.6,18.2006
1746619916,16.7,18.1959
1746619916,14.1,18.2038
1746619916,14.5,18.2066
1746619917,14.7,18.1984
1746619917,16.1,18.1987
1746619917,14.7,18.2002
1746619917,15.5,18.2093
1746619917,15.5,18.1826
1746619918,15.2,18.1808
1746619918,15.6,18.1857
1746619918,15.2,18.1905
1746619918,14.4,18.1983
1746619919,14.6,18.1972
1746619919,16.5,18.2046
1746619919,17.9,18.2128
1746619919,14.4,18.2128
1746619919,14.2,18.2202
1746619920,14.7,18.2291
1746619920,16.2,18.2369
1746619920,16.5,18.2413
1746619920,13.4,18.2316
1746619921,16.4,18.235
1746619921,13.8,18.2426
1746619921,20.7,18.2472
1746619921,19.6,18.2409
1746619922,15.5,18.2379
1746619922,16.3,18.2301
1746619922,13.7,18.2111
1746619922,15.8,18.2143
1746619923,16,18.2173
1746619923,16.3,18.2205
1746619923,18.8,18.2159
1746619923,13.6,18.2324
1746619924,17.8,18.2387
1746619924,17.3,18.2448
1746619924,15.5,18.2432
1746619924,15.5,18.2508
1746619925,13.1,18.2585
1746619925,14.3,18.2676
1746619925,16.1,18.2642
1746619925,18.3,18.266
1746619925,15.5,18.2751
1746619926,14,18.2672
1746619926,17.3,18.275
1746619926,17.9,18.2779
1746619926,16.1,18.2764
1746619927,15.8,18.2807
1746619927,16.8,18.287
1746619927,16.8,18.2913
1746619927,19.3,18.2976
1746619927,18.8,18.2894
1746619928,16.2,18.2853
1746619928,13.2,18.2897
1746619928,16.2,18.2957
1746619929,19.1,18.2879
1746619929,18.7,18.2956
1746619929,14.1,18.2954
1746619929,16.8,18.2952
1746619930,14.7,18.2937
1746619930,16.8,18.2998
1746619930,17.3,18.2998
1746619930,14.9,18.2965
1746619930,16.6,18.2919
1746619931,15,18.3025
1746619931,16.1,18.3039
1746619931,15,18.3071
1746619931,16.6,18.2956
1746619932,15.7,18.2974
1746619932,16.8,18.3081
1746619932,17.3,18.3064
1746619932,14.7,18.3049
1746619932,16.2,18.3062
1746619933,14.4,18.3218
1746619933,14.6,18.3063
1746619933,17.5,18.3061
1746619933,16.2,18.2902
1746619934,16.4,18.3037
1746619934,13.9,18.2821
1746619934,15.5,18.3036
1746619934,18.8,18.3036
1746619935,17.6,18.3063
1746619935,14.8,18.312
1746619935,13.6,18.3225
1746619935,16,18.3287
1746619936,18.2,18.3207
1746619936,17.2,18.3225
1746619936,12.3,18.3317
1746619936,15.8,18.33
1746619937,14.7,18.336
1746619937,17.9,18.3357
1746619937,18.1,18.3312
1746619937,14.1,18.3313
1746619938,14.4,18.3452
1746619938,17.6,18.3543
1746619938,17.1,18.3572
1746619938,15.2,18.3539
1746619938,24.7,18.3044
1746619939,14.5,18.3108
1746619939,14.2,18.3121
1746619939,14.8,18.312
1746619939,15.4,18.3136
1746619940,17.6,18.3012
1746619940,16.7,18.2903
1746619940,15.5,18.2901
1746619940,16.1,18.2855
1746619940,16.1,18.2839
1746619941,15.4,18.2694
1746619941,14.5,18.2868
1746619941,18.1,18.2943
1746619942,17,18.2989
1746619942,17.3,18.2974
1746619942,15.5,18.3033
1746619942,15,18.3101
1746619943,15,18.3074
1746619943,16.1,18.3043
1746619943,15.7,18.29
1746619943,14.4,18.2904
1746619943,13.7,18.3088
1746619944,14.5,18.3149
1746619944,17.9,18.3225
1746619944,17.3,18.327
1746619944,15.8,18.3299
1746619945,14.5,18.3393
1746619945,13.7,18.3407
1746619945,17.3,18.3452
1746619945,15.7,18.3402
1746619945,16.6,18.351
1746619946,14.1,18.356
1746619946,14.1,18.3589
1746619946,15.7,18.3557
1746619946,15.5,18.3572
1746619947,16.7,18.3648
1746619947,14.9,18.3719
1746619947,15.6,18.3645
1746619947,17.1,18.3569
1746619948,18.2,18.346
1746619948,19.4,18.3311
1746619948,14.5,18.3397
1746619948,15.1,18.3405
1746619949,16.5,18.3396
1746619949,15.8,18.3441
1746619949,14.6,18.3518
1746619949,16.5,18.3654
1746619950,15.5,18.3608
1746619950,16.6,18.3639
1746619950,17,18.367
1746619950,16.6,18.3653
1746619951,14.4,18.3698
1746619951,14.9,18.379
1746619951,15.3,18.3836
1746619951,15.8,18.3852
1746619951,13.6,18.3834
1746619952,15.1,18.3788
1746619952,15,18.3834
1746619952,15.3,18.3835
1746619952,15.3,18.3835
1746619953,17,18.3911
1746619953,14.9,18.3925
1746619953,15.1,18.3876
1746619953,16.4,18.3869
1746619953,15.9,18.3845
1746619954,14,18.3846
1746619954,16.3,18.3783
1746619954,17.7,18.3844
1746619955,17.9,18.3982
1746619955,17.7,18.3871
1746619955,13.1,18.3857
1746619955,14.5,18.3716
1746619956,15.2,18.3732
1746619956,15.2,18.3855
1746619956,15.5,18.3791
1746619956,12.7,18.3915
1746619956,14.9,18.3753
1746619957,15,18.3973
1746619957,23.1,18.4095
1746619957,18.8,18.4035
1746619957,14,18.4081
1746619958,16.8,18.4173
