timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636858701666560, 8.710527698386041104e-13, -8.587374755670446193e-13, 5.868123214195104795e-13, -4.644277286930625220e-02, -8.071920652375788041e-01, 1.280510204728223592e-02, 5.883196988264639549e-01, 7.425026459629129397e-03, 2.061176406536249089e-02, 1.157887618042034543e-02, -2.471154951021076272e-03, 2.035115340828556538e-02, 7.630028012160756934e-02, -2.050601025826896684e-02, 1.296902788424721398e-01, 8.213987958613101770e-02, 0
1403636858751666432, 5.284927719511438304e-04, 1.390901407674954501e-03, 1.458952530094853118e-03, -4.764740106192697638e-02, -8.080609033473842295e-01, 1.080207929809492463e-02, 5.870695161020466069e-01, 1.208851438367929826e-02, 3.315175981310090891e-02, 3.943685972764680164e-02, -2.471197304326506767e-03, 2.035175624489577589e-02, 7.630190791422095109e-02, -2.050172555507375274e-02, 1.298163170723771742e-01, 8.226484057813283901e-02, 0
1403636858801666560, 1.207888011936312242e-03, 3.405218110399449785e-03, 3.825263965603643238e-03, -4.894840965139292399e-02, -8.086943990023474083e-01, 1.012410949642062082e-02, 5.861014627363900775e-01, 1.528141017979216081e-02, 5.373296970770689851e-02, 6.503053784896978273e-02, -2.471272130349894559e-03, 2.035267704464253924e-02, 7.630367606148297233e-02, -2.055903813990943643e-02, 1.299886946910298602e-01, 8.234734513244215681e-02, 0
1403636858851666432, 1.901081364703198842e-03, 6.639986613052869385e-03, 7.922350002089139503e-03, -5.019910608933910584e-02, -8.093300788696161652e-01, 8.742887243669492103e-03, 5.851396714523610099e-01, 1.124476868494536305e-02, 7.146993724048777974e-02, 9.282586645300322514e-02, -2.471389039662878935e-03, 2.035387794348988283e-02, 7.630554443358088246e-02, -2.070739604240978693e-02, 1.302293548736568884e-01, 8.236219661077533172e-02, 0
1403636858901666560, 2.188690880736852452e-03, 1.119378409854154301e-02, 1.347211865920243043e-02, -5.261654738057203184e-02, -8.095243531613975918e-01, 7.194678619844503339e-03, 5.846794482277671845e-01, 7.280289380561178608e-03, 7.964941480026621612e-02, 9.748901628843464895e-02, -2.471389039662878935e-03, 2.035387794348988283e-02, 7.630554443358088246e-02, -2.070739604240978693e-02, 1.302293548736568884e-01, 8.236219661077533172e-02, 4
1403636858951666432, 2.827286046554931820e-03, 1.539922845607266493e-02, 1.986954694670122271e-02, -5.424603403799445334e-02, -8.099018316929695871e-01, 5.274627297215016102e-03, 5.840278838534999073e-01, 5.736371448735511080e-03, 9.568332783997524071e-02, 1.407445921108128606e-01, -2.471775385614133781e-03, 2.035704699288541988e-02, 7.630957577207186926e-02, -2.115900729790839638e-02, 1.307995774526529431e-01, 8.209635886003925631e-02, 0
1403636859001666560, 3.095087160301798149e-03, 2.076815380512228235e-02, 2.754987155368307170e-02, -5.619904321393701108e-02, -8.099373647246036478e-01, 3.433636841376019096e-03, 5.838076249098193005e-01, 6.124670066501608501e-03, 1.013529735465482084e-01, 1.436527729040453505e-01, -2.471775385614133781e-03, 2.035704699288541988e-02, 7.630957577207186926e-02, -2.115900729790839638e-02, 1.307995774526529431e-01, 8.209635886003925631e-02, 6
1403636859051666432, 3.603210562135103143e-03, 2.675459956430821518e-02, 3.607690904967347789e-02, -5.782202412475706543e-02, -8.102921224369251663e-01, 1.563913806850816303e-03, 5.831645085362995307e-01, 6.058884766429288582e-03, 1.059645779827481787e-01, 1.485641912923233166e-01, -2.471775385614133781e-03, 2.035704699288541988e-02, 7.630957577207186926e-02, -2.115900729790839638e-02, 1.307995774526529431e-01, 8.209635886003925631e-02, 6
1403636859101666560, 4.392298271813218843e-03, 3.126329088162047715e-02, 4.330680181045574312e-02, -5.817057766822928550e-02, -8.119149149059503578e-01, -7.416728080791005649e-04, 5.808698690485278870e-01, 1.783292783196393713e-02, 1.101973068937863592e-01, 1.543115628220951829e-01, -2.472750577389405506e-03, 2.036373856496248233e-02, 7.631649573733861880e-02, -2.203903816596809034e-02, 1.319270888883502246e-01, 8.123823922997501501e-02, 0
1403636859151666432, 5.416611110185967984e-03, 3.648621613807932762e-02, 5.020564678572796147e-02, -5.918698903244647147e-02, -8.134312780674497478e-01, -1.999770222233543306e-03, 5.786384511159681221e-01, 1.872420671737726888e-02, 1.085927154315020626e-01, 1.501348534335003038e-01, -2.472750577389405506e-03, 2.036373856496248233e-02, 7.631649573733861880e-02, -2.203903816596809034e-02, 1.319270888883502246e-01, 8.123823922997501501e-02, 9
