timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636858701666560, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.729404796841013364e-02, -8.096992564014456883e-01, 0.000000000000000000e+00, 5.856588325715542664e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403636858751666432, 8.258838982888374865e-05, 2.634469542023451473e-04, 3.431426353029644804e-04, -4.191133238151312224e-02, -8.116464890824264256e-01, 1.806072332030582862e-03, 5.826406740701410847e-01, -2.169377860128569174e-03, 6.208324842593946312e-03, 1.776194022932649219e-02, -3.420689866098640484e-03, 4.381254157307331882e-04, 3.026046374920164043e-03, -4.996501758549537486e-02, 8.996436550672866350e-02, 9.994358373543744609e-03, 
1403636858801666560, -4.405942925482829518e-04, 1.069973600316078202e-03, 1.568299517638271001e-03, -4.551607242420441235e-02, -8.114192705215087509e-01, 3.899471550286746132e-03, 5.826764528441542579e-01, -1.084161835241504411e-02, 2.451254481007566002e-02, 3.955149290852133515e-02, -4.686643127058894541e-03, 2.102953600927441342e-03, 5.516128448199908961e-03, -4.945789544470722415e-02, 8.989606755832893481e-02, 9.845294985650393862e-03, 
1403636858851666432, -2.118177779371221807e-03, 7.721435303662912107e-03, 8.001318764595380384e-03, -5.096678554114978527e-02, -8.097357359148674716e-01, 1.028089867577952968e-02, 5.844867217280722560e-01, -2.495010658152337774e-02, 8.174836094705401068e-02, 9.441918113893606190e-02, -1.376702170691594326e-02, 7.782684763494711680e-03, 2.460802518488692733e-02, -4.090259153069036868e-02, 8.927105500182458409e-02, 6.974787632405160011e-03, 
1403636858901666560, -3.335137492175043513e-03, 1.267911461284472290e-02, 1.356130892216525323e-02, -5.379740154356661697e-02, -8.096307505460991205e-01, 9.628878856845440523e-03, 5.843895721599428050e-01, -3.030485490061098075e-02, 1.064168706517627933e-01, 1.242820375086888807e-01, -1.369298052588050103e-02, 7.659460847046959363e-03, 2.580818524372087419e-02, -4.165269570378899583e-02, 8.933502874035140207e-02, 7.220135711595293028e-03, 
1403636858951666432, -1.456366787442059862e-03, 1.878140007416212454e-02, 2.114205776444084278e-02, -5.624483051515486581e-02, -8.067662552505231455e-01, 8.805787623191648275e-03, 5.881217446530138115e-01, -1.226971879203313937e-02, 1.194797139839210987e-01, 1.470870195304674610e-01, -1.129646549687807894e-02, 5.607328843679827354e-03, 3.416323968759871904e-02, -4.662332679335955826e-02, 8.970996439615480655e-02, 9.030434993578239158e-03, 
1403636859001666560, 1.644395197979557654e-05, 2.409188243703965296e-02, 2.896517728713203510e-02, -5.746086866579274560e-02, -8.057063567556262962e-01, 5.948694491255437401e-03, 5.894914149413864601e-01, -1.743264626395075144e-03, 1.284007387585214821e-01, 1.670513376960627572e-01, -8.737072514309527499e-03, 4.147651690815055796e-03, 4.002104373896096107e-02, -4.815474959962392359e-02, 9.017260051060013715e-02, 1.010751889491656209e-02, 
1403636859051666432, 3.104252540326496706e-03, 2.890241278705613787e-02, 3.712999185397656415e-02, -5.812167494667141304e-02, -8.054299502112975961e-01, 2.340687654090628598e-03, 5.898296257270622123e-01, 2.362601976518597519e-02, 1.180761406127516233e-01, 1.641639528861769115e-01, -5.535492059119809238e-03, 2.365402329676110586e-03, 4.960863430166724541e-02, -4.653943558741885367e-02, 9.022513099411606785e-02, 9.870482356773358987e-03, 
1403636859101666560, 4.434546867842231385e-03, 3.461676878675696428e-02, 4.522380306829566765e-02, -5.888715866176506136e-02, -8.066730660463206082e-01, 2.718125338952366338e-04, 5.880567941773302554e-01, 2.924326786067303618e-02, 1.232740214769071224e-01, 1.595836403046194119e-01, -4.834531290762312215e-03, 1.899344501557807515e-03, 5.057488146517900851e-02, -4.252583448086232065e-02, 9.037750437403971326e-02, 8.985733453956408143e-03, 
1403636859151666432, 5.724506146328914129e-03, 3.872225429945199554e-02, 5.168066910992199364e-02, -5.902065999547817521e-02, -8.090075131472624914e-01, -2.573990571515364506e-03, 5.848220070564359441e-01, 2.627819894288068239e-02, 1.081910158530699773e-01, 1.388083811587310645e-01, -3.222728154406268811e-03, 1.404155700987458431e-03, 5.340200664825528465e-02, -3.176521791225920405e-02, 9.191995066724913122e-02, 7.288692016389611283e-03, 
1403636859201666560, 7.032400388005420611e-03, 4.590517955452393800e-02, 6.087254009766898677e-02, -6.093168779344844410e-02, -8.105487661085081230e-01, -2.516912253334855753e-03, 5.824875040164602114e-01, 2.656531683814695316e-02, 1.027191969255447090e-01, 1.447360257892864599e-01, -2.291656716454739708e-03, 5.837172572471767754e-04, 5.461037670170526548e-02, -4.383262785280613721e-02, 9.310272532852544025e-02, 1.104597840039545607e-02, 
