timestamp,cpu_percent,ram_percent
1747661922,10,46.4293
1747661923,16.3,46.8623
1747661924,15.3,46.8962
1747661925,15.7,46.94
1747661927,15.1,46.9966
1747661928,15.8,47.0348
1747661929,14.9,47.0438
1747661930,14,47.0791
1747661931,14,47.1096
1747661933,14.2,47.1401
1747661934,14.2,47.1502
1747661935,14.5,47.1717
1747661936,13.3,47.1761
1747661937,14.9,47.1633
1747661938,14.6,47.1831
1747661940,17.7,47.1978
1747661941,13.9,47.2453
1747661942,15.4,47.268
1747661943,13,47.257
1747661944,13.8,47.2921
1747661946,13.4,47.2947
1747661947,13.7,47.3285
1747661948,13,47.3435
1747661949,12.5,47.3623
1747661950,13,47.3966
1747661951,12.9,47.4346
1747661953,13.7,47.477
1747661954,13.3,47.4995
1747661955,12.4,47.5391
1747661956,12.4,47.5704
1747661957,15.3,47.5849
1747661959,14.7,47.6349
1747661960,14.1,47.6714
1747661961,12.3,47.719
1747661962,14,47.7174
1747661963,13.3,47.7585
1747661964,13,47.7565
1747661966,12,47.772
1747661967,13.8,47.791
1747661968,13.5,47.7926
1747661969,13.3,47.8057
1747661970,16.8,47.7839
1747661972,10.5,47.8064
1747661973,12,47.8232
1747661974,13.4,47.7998
1747661975,12.8,47.8289
1747661976,91.9,47.8995
1747661978,88,48.0223
1747661979,89.1,48.122
1747661980,11.5,48.2566
1747661981,12.5,48.4337
1747661982,14.4,48.546
1747661983,12.9,48.6262
1747661985,13.7,48.6842
1747661986,13.1,48.7502
1747661987,11,48.8104
1747661988,12.6,48.8037
1747661989,13,48.8281
1747661991,10.6,48.8244
1747661992,13.3,48.8642
1747661993,11.6,48.8518
1747661994,12.9,48.9101
1747661995,12.8,48.9097
1747661996,13.2,48.914
1747661998,13.6,48.94
1747661999,14.2,49.0133
1747662000,22.2,49.0371
1747662001,13.8,49.0268
1747662002,84.2,49.1237
1747662004,89.3,49.142
1747662005,90.7,49.1219
1747662006,90.9,49.1544
1747662007,91.7,49.1463
1747662008,87.8,49.1595
1747662010,68.7,49.1706
1747662011,93.1,49.1872
1747662012,94.2,49.2002
1747662013,89.7,49.1848
1747662014,90.4,49.1731
1747662016,94.3,49.2102
1747662017,92.3,49.1984
1747662018,19.7,49.169
1747662019,90,49.214
1747662021,91.9,49.2169
1747662022,94.3,49.2311
1747662023,90.3,49.2285
1747662024,89.4,49.2374
1747662025,88.5,49.2783
1747662027,90.9,49.2797
1747662028,92.7,49.3086
1747662029,89.2,49.307
1747662030,89.8,49.3187
1747662031,91.1,49.3271
1747662033,91.5,49.3318
1747662034,88.4,49.3377
1747662035,91.6,49.3385
1747662036,89.6,49.3672
1747662037,92.4,49.378
1747662039,89.1,49.3882
1747662040,91,49.3861
1747662041,88.6,49.3918
1747662042,91.4,49.4113
1747662043,90.8,49.4065
1747662045,88.1,49.4121
1747662046,88.6,49.4183
1747662047,90.6,49.4122
1747662048,89.6,49.4324
1747662049,90.9,49.4801
1747662051,91,49.5026
1747662052,91.7,49.5269
1747662053,90.4,49.5089
1747662054,93.4,49.5191
1747662056,91.5,49.5283
1747662057,93.2,49.5589
1747662058,91.8,49.5583
1747662059,91.4,49.5839
1747662060,91.7,49.5866
1747662062,92.8,49.5982
1747662063,89.1,49.5957
1747662064,91.3,49.6208
1747662065,90.5,49.6379
1747662066,90.4,49.6682
1747662068,93.1,49.6691
1747662069,88.1,49.7008
1747662070,89.9,49.7032
1747662071,92.3,49.7318
1747662072,88.9,49.709
1747662074,89.3,49.7202
1747662075,87.8,49.7265
1747662076,67.4,49.768
