timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403637130538319104, -2.273450250861084127e-13, 5.531748626731745168e-13, -2.192504593545623809e-13, -6.752061771172040983e-02, -7.904655458050272587e-01, -1.471200254391379905e-03, 6.087717327938277911e-01, -1.803201556710745364e-03, 3.085528348791900018e-03, -3.224894696945032786e-03, -2.242804589149396087e-03, 2.043340449941975778e-02, 7.593969194200246575e-02, -7.797838073851363037e-03, 1.271455556587963998e-01, 8.081743007698337367e-02, 0
1403637130588318976, -2.079056742612487858e-04, 5.070116966049039700e-05, -7.140721017888165280e-05, -6.767962693934458096e-02, -7.903256854036639911e-01, -1.105749440888157634e-03, 6.089364140916141421e-01, -2.645706763344545399e-03, 4.976980288590470737e-03, -1.476535577895412036e-03, -2.242753875937599471e-03, 2.043385482146780480e-02, 7.594122986799778374e-02, -7.699705168355331676e-03, 1.271995071723951154e-01, 8.097181075928967797e-02, 0
1403637130638319104, -3.827021448439884839e-04, 1.930246734258878421e-05, -1.599087649156060082e-04, -6.749836366977750302e-02, -7.904767455401702225e-01, -7.682557096250346466e-04, 6.087609509859254198e-01, -8.732957250483461623e-03, -2.734487811580844810e-04, 5.443779719618020409e-05, -2.242647106323804752e-03, 2.043437876750903159e-02, 7.594280755919992354e-02, -7.599862121282486421e-03, 1.272345695942977695e-01, 8.113561430318694256e-02, 0
1403637130688318976, -2.733697641350837449e-04, 1.585408253958456759e-04, -3.440053325551984233e-05, -6.736713787013362542e-02, -7.904325754215599797e-01, -1.394538971240821346e-03, 6.088317236385469844e-01, 3.242232229096207231e-04, 3.757280467453333415e-03, 1.720581964465425599e-03, -2.242753875937599471e-03, 2.043385482146780480e-02, 7.594122986799778374e-02, -7.699705168355331676e-03, 1.271995071723951154e-01, 8.097181075928967797e-02, 2
1403637130738319104, -2.906152151523756061e-04, 1.291878061027891826e-04, -1.904756246688357095e-05, -6.771725302066675112e-02, -7.903537904309478890e-01, -9.436204297130696469e-04, 6.088960249297519223e-01, 1.764414572915113527e-04, 3.555672733811163482e-03, 1.642615888463397084e-03, -2.242753875937599471e-03, 2.043385482146780480e-02, 7.594122986799778374e-02, -7.699705168355331676e-03, 1.271995071723951154e-01, 8.097181075928967797e-02, 2
1403637130788318976, -3.030592550053981993e-04, 3.099376578292894514e-04, -2.022669048303536461e-04, -6.740031857400190229e-02, -7.904318744031235688e-01, -1.528245869979064607e-03, 6.088286404631836346e-01, -6.084216689751537066e-03, -9.480351585613995373e-04, 1.494806998246223312e-03, -2.242647106323804752e-03, 2.043437876750903159e-02, 7.594280755919992354e-02, -7.599862121282486421e-03, 1.272345695942977695e-01, 8.113561430318694256e-02, 3
1403637130838319104, -3.137123617923479870e-04, 3.145839914644025007e-04, -1.879896838603567759e-04, -6.715465508141381379e-02, -7.904266084157922645e-01, -1.404282589721381072e-03, 6.088629213539056284e-01, -5.997126966034304826e-03, -1.428090484143649998e-03, 1.538264293356551848e-03, -2.242647106323804752e-03, 2.043437876750903159e-02, 7.594280755919992354e-02, -7.599862121282486421e-03, 1.272345695942977695e-01, 8.113561430318694256e-02, 3
1403637130888318976, -5.496433687935254312e-05, 7.169109219909934995e-05, 2.321531846801710495e-05, -6.748245419361312281e-02, -7.906073087889559092e-01, -1.458899061729439749e-03, 6.085918774343106463e-01, 5.052152877968858714e-04, 1.693802320726116133e-03, 1.722756092336309372e-04, -2.242804589149396087e-03, 2.043340449941975778e-02, 7.593969194200246575e-02, -7.797838073851363037e-03, 1.271455556587963998e-01, 8.081743007698337367e-02, 1
1403637130938319104, -7.260364299195477421e-05, -5.741281485954533682e-05, 3.590321396302480656e-05, -6.767881692869601173e-02, -7.904836960934166212e-01, -1.095404242219892056e-03, 6.087313890700638552e-01, 6.286298285800410741e-04, 1.388303966451557040e-03, 1.042460587795755039e-04, -2.242804589149396087e-03, 2.043340449941975778e-02, 7.593969194200246575e-02, -7.797838073851363037e-03, 1.271455556587963998e-01, 8.081743007698337367e-02, 1
1403637130988318976, -6.952741165312047275e-05, 3.962802075131326612e-05, 1.358909220295736103e-05, -6.733812372198803853e-02, -7.904776479664424871e-01, -1.443477791993912811e-03, 6.087762984306364089e-01, 1.245605129855272691e-03, 7.652236603844428647e-04, -5.828585731858209728e-04, -2.242804589149396087e-03, 2.043340449941975778e-02, 7.593969194200246575e-02, -7.797838073851363037e-03, 1.271455556587963998e-01, 8.081743007698337367e-02, 1
1403637131038319104, -6.847728137722246776e-05, 4.802504731773392615e-04, -8.716781945364781518e-05, -6.716549218692841050e-02, -7.905114203114472771e-01, -1.375428598677934855e-03, 6.087516728622894835e-01, -6.370312664031039726e-03, -2.006761092049274588e-03, 6.127758470363736318e-04, -2.242647106323804752e-03, 2.043437876750903159e-02, 7.594280755919992354e-02, -7.599862121282486421e-03, 1.272345695942977695e-01, 8.113561430318694256e-02, 3
1403637131088318976, -9.609371045618989395e-05, 3.191986874113376797e-04, -1.033511600806032399e-06, -6.660682891040139997e-02, -7.905279908190890881e-01, -2.003620706768374088e-03, 6.087897926034061546e-01, -6.867412688015565782e-04, 2.745781752067578876e-03, -7.423474395764542016e-04, -2.242753875937599471e-03, 2.043385482146780480e-02, 7.594122986799778374e-02, -7.699705168355331676e-03, 1.271995071723951154e-01, 8.097181075928967797e-02, 2
