timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403637130538319104, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.832261696280729490e-02, -7.864715727812535695e-01, 0.000000000000000000e+00, 6.138358780800736714e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403637130588318976, -1.085093061053960024e-05, -3.956296367473622158e-07, -1.026753379354607243e-05, -6.936961315603691614e-02, -7.858114392798071224e-01, 4.344670560979980046e-04, 6.145633001619580371e-01, 3.607258260637767784e-03, 6.249383249091674218e-03, -9.711254346408981254e-04, -1.094074496739448621e-03, 3.190797103504931613e-03, 3.557635025262607508e-03, -4.996202926221177121e-02, 8.999823962542498335e-02, 9.989304404855977801e-03, 
1403637130638319104, -1.572173114859742725e-06, 8.328707743537440086e-06, -1.363200963621522928e-05, -6.842352785847315155e-02, -7.870555062202541086e-01, -7.521183852722335746e-04, 6.130752688550689111e-01, -4.162173378440535768e-03, 1.036253245147135665e-03, 7.556054658283547446e-04, -2.119910031329948642e-03, 1.273291343984335119e-02, 1.581434451495492000e-02, -4.150779627444001890e-02, 8.940110179185366268e-02, 7.691453777214342369e-03, 
1403637130688318976, -3.707388840011457764e-05, 1.193010534890960481e-04, 5.293535560605643596e-05, -6.739582014132645960e-02, -7.875046729790451394e-01, -2.265264936802411158e-03, 6.126084083967598959e-01, 9.578241223325919748e-03, 3.889122737285833145e-03, -5.383476045884997944e-03, -2.806094894391365953e-03, 1.593476707027299474e-02, 2.890834305518266006e-02, -2.602637484217277392e-02, 8.834010141849817088e-02, 3.665706986210840769e-03, 
1403637130738319104, -1.141593323945286928e-04, 9.073645511787767684e-05, 6.037754647971845987e-05, -6.696243413733105054e-02, -7.879875708077714869e-01, -2.376811610705239792e-03, 6.120342894262037481e-01, -3.093902261394496263e-03, 2.921779033584108367e-03, 1.098662901765325205e-03, -3.978112336867793003e-03, 1.878013845927227823e-02, 4.719432839848505118e-02, -1.838205948501441325e-02, 8.740812317410895371e-02, 1.733417361568711937e-03, 
1403637130788318976, -6.071676509546333593e-05, 2.055839756789607062e-04, 2.498801848175033895e-05, -6.651988825316862419e-02, -7.882032411099528790e-01, -3.091472658033772494e-03, 6.118016001673715065e-01, 1.647509322738427906e-03, 2.434487200238409990e-03, 1.982496130904647623e-03, -3.864491625074658546e-03, 1.901979686546102430e-02, 5.004838342693265080e-02, -1.822513764421314006e-02, 8.758659339117831621e-02, 1.752535666623363225e-03, 
1403637130838319104, -7.811106162199774505e-05, 1.215359089942412950e-04, 8.510131658628198085e-05, -6.607528175356980338e-02, -7.882294817092309058e-01, -3.206290277734879460e-03, 6.118153814740507901e-01, -1.056022672728281929e-03, 2.822559911448003968e-03, 4.406901403424286559e-03, -3.696226553404861805e-03, 1.929674381002257841e-02, 5.395497667594797292e-02, -1.824752622412483677e-02, 8.762057694377686778e-02, 1.926432426818527411e-03, 
1403637130888318976, -3.476197352225945773e-05, 3.441989619172475696e-05, 6.094364869240137886e-05, -6.591210276041853389e-02, -7.882377211720371646e-01, -3.276639372020410598e-03, 6.118219947547159920e-01, -8.037689468561833635e-04, -6.153976316658860829e-03, -2.052333746618091777e-04, -3.143760747503532380e-03, 1.931516068978175044e-02, 6.104852361404888850e-02, -1.785274250724588202e-02, 8.750362504491056292e-02, 1.851865427036114868e-03, 
1403637130938319104, -3.360321753009264958e-05, -3.842019023717190305e-05, 3.177098073574285010e-05, -6.604392283446411382e-02, -7.880545441896641412e-01, -2.934022249368458280e-03, 6.120454453323678212e-01, 1.674851462610398543e-03, 3.261580045811402016e-03, 3.196218008684526316e-04, -2.824718235043922627e-03, 1.923336820429395744e-02, 6.490710981417323333e-02, -1.887416652022973554e-02, 8.742083255674995557e-02, 2.213463707187088118e-03, 
1403637130988318976, -3.164511872429538855e-05, 5.996747496270180168e-05, 4.288253856815562871e-05, -6.569172720984145508e-02, -7.880705481203839069e-01, -3.388004365525237264e-03, 6.120603970098414948e-01, 1.378999716794424490e-03, 3.172314329551520484e-03, 1.225788481459659041e-03, -2.734560268715278790e-03, 1.924849889141563505e-02, 6.754560266067843877e-02, -1.963780432139848597e-02, 8.744486182827480858e-02, 2.359159336391929498e-03, 
1403637131038319104, 5.399070340737471531e-05, 1.609139407729756849e-04, 6.136149142225240296e-05, -6.558021448250286878e-02, -7.882207582953156821e-01, -3.750037784569608401e-03, 6.118767922363134160e-01, -2.900172687331507154e-03, -3.028360694095015744e-03, 7.124506271368042905e-04, -2.764881669717374722e-03, 1.931171213079520971e-02, 6.858353275056051912e-02, -2.054269038026402400e-02, 8.747627394649414023e-02, 2.585192795040474473e-03, 
1403637131088318976, 3.050434178518649861e-06, 1.455260610748588905e-04, 1.132789162532801792e-04, -6.495397452875023570e-02, -7.882375109705026528e-01, -4.314047202636648454e-03, 6.119182923305027666e-01, 3.089598751399159730e-03, -2.294477226228237594e-03, -2.276792612517805278e-03, -2.652924788460318383e-03, 1.940375518530067928e-02, 6.965490782568210804e-02, -2.103929848939442918e-02, 8.758746804904808669e-02, 2.753063050540285970e-03, 
1403637131138319104, -8.627582842063758294e-06, -7.489553072426868461e-05, 3.540721137764444773e-05, -6.590889379793760106e-02, -7.881995718842876864e-01, -3.336613658115997888e-03, 6.118711625898497486e-01, -2.807545001374272056e-03, -1.229497391301492479e-02, -3.776060143825039905e-03, -2.191572452548867442e-03, 1.929688150653630779e-02, 7.331583293535509638e-02, -2.074256203924352074e-02, 8.641626595592598326e-02, 2.351602946075221582e-03, 
