timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403638127295097088, -1.959592102503891947e-09, 7.443226318720309298e-09, -3.157716689197708497e-09, -1.291457280732088118e-02, -8.415835837959556587e-01, 1.510756935749276277e-03, 5.399703722500348579e-01, 2.808558068416220146e-02, 1.340604605626430530e-02, 4.729238235330708237e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 0
1403638127345096960, 1.375756369888948144e-03, 4.277666878520875143e-04, 1.010679674649449483e-04, -1.303041126822538330e-02, -8.415606688166704652e-01, 1.668175208362147888e-03, 5.400028391355861102e-01, 2.672528703395939120e-02, 2.779117094520376988e-03, 1.863822171508075758e-03, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 0
1403638127395097088, 2.691983779204182737e-03, 7.496988991666116414e-04, 1.632499507344426924e-04, -1.325835373347287842e-02, -8.416907601303038611e-01, 2.082039836092607413e-03, 5.397930580117443755e-01, 2.439158499999963259e-02, 9.456495890932038739e-03, 2.414762011501922229e-03, -2.356325798966563741e-03, 1.760586001849286097e-02, 7.549962041585736583e-02, 2.061795022532733959e-02, 8.933655600945369923e-02, 1.323596672263795127e-01, 0
1403638127445096960, 4.774740693226420712e-05, -3.241653324892392225e-04, 8.283067084675626993e-05, -1.334277371441369535e-02, -8.416869007910445788e-01, 9.604385083498672825e-04, 5.398001565248420341e-01, -3.425641348573384669e-04, 2.068250999260504847e-03, 2.704176949444371623e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 1
1403638127495097088, 1.559662901355176115e-03, 2.502056883273499595e-04, 2.277652193457193751e-04, -1.337158872255589034e-02, -8.413987606734177893e-01, 1.122418762841075708e-03, 5.402481525450986144e-01, -5.123406219084907605e-04, -8.833740227525954322e-03, 3.772210206986585386e-05, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127545096960, 1.424608106655824531e-03, 3.681125060743603984e-04, 1.152036693285853693e-04, -1.313739943382593277e-02, -8.415162578296782048e-01, 1.555902368391415746e-03, 5.400697878166033084e-01, -1.881999767694485324e-04, -5.978792828398946796e-03, -3.524476567575103364e-04, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127595097088, -1.813855058803445240e-05, -2.240776944204165579e-04, -3.248724162052044859e-05, -1.324553244533826363e-02, -8.416670911461026083e-01, 1.626167074924985681e-03, 5.398318433850879394e-01, 2.946296564545515528e-05, 3.438324136880044606e-03, 2.190013412560224033e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 1
1403638127645096960, -8.452234727408872568e-06, -2.825677588325550675e-04, -7.773496727643541956e-05, -1.318266413351492153e-02, -8.416513280735333780e-01, 1.655546916237564913e-03, 5.398578687791892872e-01, 1.161037092197236354e-04, 3.667308220630420817e-03, 2.317891089811344868e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 1
1403638127695097088, 1.416533055216218301e-03, 3.529635053749630982e-04, 1.120694078619369736e-04, -1.284651424451293752e-02, -8.415595891321469013e-01, 1.382649086196518140e-03, 5.400097344428175239e-01, -6.891324342468278016e-04, -7.024950198172213306e-03, -7.648612395417752306e-04, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127745096960, 1.383755766623665992e-03, 1.215508063249532583e-04, 2.556553407591068356e-06, -1.320136171644725742e-02, -8.415426929426378377e-01, 1.741776800289051609e-03, 5.400264680710221699e-01, -9.059875081624708948e-04, -7.479263701184008309e-03, -1.047719860525043274e-03, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127795097088, -3.388120590362332397e-05, -3.467507712504734239e-04, -1.429469779644821248e-04, -1.313710567335627660e-02, -8.416033246375904664e-01, 1.522099830397839531e-03, 5.399342030521755431e-01, -1.826306260517108300e-04, 3.375524179349911631e-03, 1.989108862811008686e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 1
1403638127845096960, 1.342670348777640034e-03, 1.172310503665799147e-04, -3.297100965572957818e-05, -1.335539480967278675e-02, -8.416061347863684761e-01, 2.008539882706771983e-03, 5.399228769805615169e-01, -1.325725956268457469e-03, -7.548982213715833313e-03, -1.147216004866857732e-03, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127895097088, 1.365189182324798864e-03, 1.280722863784134044e-04, -3.528746516430556878e-05, -1.340652347056938039e-02, -8.415881854702272902e-01, 2.052417926658675531e-03, 5.399494224332660464e-01, -1.331568319150410948e-03, -7.351968273673762863e-03, -1.170940977201922117e-03, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127945096960, 1.334590644993163561e-03, 1.278363870819621733e-04, -6.073971021961662689e-05, -1.346111586874646632e-02, -8.415842381027820451e-01, 2.144601324576538709e-03, 5.399538584191124757e-01, -1.465146557278446116e-03, -7.458951928873604892e-03, -1.167322389539021633e-03, -2.356425145015231259e-03, 1.760552291347222340e-02, 7.549808354974772706e-02, 2.047667432378528010e-02, 8.934252577757141600e-02, 1.321180368644802594e-01, 2
1403638127995097088, -1.356861229604192597e-04, -3.971861871928515533e-04, -1.761433775564701077e-04, -1.345453316507767144e-02, -8.416963494091902476e-01, 1.618600879292662756e-03, 5.397810769744951775e-01, -1.661992329274104450e-04, 3.108002274289806480e-03, 2.067771457193758912e-03, -2.356412655904584555e-03, 1.760517004637330435e-02, 7.549658395726228932e-02, 2.033611028456916436e-02, 8.934364718045405274e-02, 1.318744605744451293e-01, 1
1403638128045096960, 2.692394233428172055e-03, 6.821879598285910708e-04, 1.149197052862931286e-04, -1.302783990832949261e-02, -8.417266030116263842e-01, 1.685894207851000364e-03, 5.397441606266352165e-01, -2.957615135866291552e-03, -2.488287089843821995e-04, -6.381823683625067805e-04, -2.356325798966563741e-03, 1.760586001849286097e-02, 7.549962041585736583e-02, 2.061795022532733959e-02, 8.933655600945369923e-02, 1.323596672263795127e-01, 3
1403638128095097088, 2.623348865295882862e-03, 6.497191752384207705e-04, 1.166049622020799183e-04, -1.312326842128572028e-02, -8.418242853920119284e-01, 1.706250725899012641e-03, 5.395894189646716077e-01, -3.211261651908356701e-03, -3.329891951741390096e-04, -5.153453513570879080e-04, -2.356325798966563741e-03, 1.760586001849286097e-02, 7.549962041585736583e-02, 2.061795022532733959e-02, 8.933655600945369923e-02, 1.323596672263795127e-01, 3
1403638128145096960, 2.555593560296473381e-03, 6.351059595329203080e-04, 4.530035606517492010e-05, -1.330929039961474374e-02, -8.419494422132346445e-01, 2.013231879725857574e-03, 5.393884930579072590e-01, -3.183200904847776312e-03, -9.088329074436592115e-04, -6.607020137916022910e-04, -2.356325798966563741e-03, 1.760586001849286097e-02, 7.549962041585736583e-02, 2.061795022532733959e-02, 8.933655600945369923e-02, 1.323596672263795127e-01, 3
