timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403638127295097088, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.148621820459924496e-02, -8.371155535777242696e-01, 0.000000000000000000e+00, 5.469054916067461747e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403638127345096960, 3.017506177185432301e-05, -6.140185114359129361e-05, -8.282526966436664978e-05, -1.108854522673916564e-02, -8.320523115142820503e-01, -1.825025102332785342e-03, 5.545833249854081881e-01, 5.805005236963530629e-03, -8.537788788129309359e-03, -2.107118373741424366e-03, 5.912816219879055222e-05, 8.741696456450321739e-04, 1.527972271336030304e-03, -4.996748002384897303e-02, 8.993300795686909321e-02, 1.001236847557237380e-02, 
1403638127395097088, 1.768279254675290068e-04, -1.920445772809293238e-04, -2.860225838110089290e-05, -1.310926570094747383e-02, -8.333350015006341094e-01, 3.864052763637347782e-04, 5.526126791141175998e-01, 4.470510445611740671e-03, 1.199729678390036927e-03, 1.232575220045530268e-03, -2.588734580772221092e-04, 5.637680543737329415e-03, 1.077032230873357747e-02, -4.665244259174777114e-02, 8.965798431854668515e-02, 8.211609282238591795e-03, 
1403638127445096960, 4.253108026876348713e-04, -1.997138322434046883e-04, 1.376931095315286880e-04, -1.332476295212900799e-02, -8.340921296573867716e-01, 2.643566578778942387e-04, 5.514641421266048837e-01, 9.756810109245910370e-03, -9.999831233507010426e-04, 2.984499486576772196e-03, 2.566457421091998363e-04, 9.131924820241036148e-03, 2.076307242918187801e-02, -4.183091844167895895e-02, 8.975560454374746644e-02, 6.031211296613955483e-03, 
1403638127495097088, 5.136879141950753029e-04, -3.312926520112164600e-04, 2.478206242112845990e-04, -1.377760907701668092e-02, -8.349626200952559030e-01, 6.502173479241090369e-04, 5.501337816833163918e-01, 1.745041227174788656e-03, -4.824791533791332465e-03, -2.125005142334282938e-03, 1.726828263154529548e-03, 1.286485850392640046e-02, 3.531553027620745050e-02, -3.450311029335063201e-02, 8.956518829004234128e-02, 2.798376006593342180e-03, 
1403638127545096960, 4.026335278836027753e-04, -4.936044851051365340e-04, 2.314662269401150251e-04, -1.386451806090352804e-02, -8.355921124450690352e-01, 1.443226895718827812e-03, 5.491734824758506273e-01, 2.677336910020792441e-03, 1.637115298602540231e-03, -8.315100590521410382e-04, 2.024387062090953794e-03, 1.462089716157202214e-02, 4.339373995925310118e-02, -3.291884189758372686e-02, 8.935088529366197463e-02, 2.061267483572058572e-03, 
1403638127595097088, 1.374969001209711396e-04, -5.225169307220369798e-04, 1.059734358971540347e-04, -1.390076453363956951e-02, -8.365341144002381712e-01, 2.037721060875405561e-03, 5.477346911442324551e-01, 9.285529310293541127e-04, -9.600046795202853969e-04, -2.427226448425748567e-03, 2.464703028151200067e-03, 1.726031894045030116e-02, 5.969017876026046221e-02, -3.299134905938999607e-02, 8.947588910028266007e-02, 2.366977200409049308e-03, 
1403638127645096960, 5.861934825857454838e-05, -5.432872866230738446e-04, 2.716028135607517454e-05, -1.389535609545291921e-02, -8.368347781889882153e-01, 2.423475556457793060e-03, 5.472737887553128511e-01, 5.447877939864582053e-04, 4.375733972298319688e-03, -8.612075591557023270e-04, 1.999918707462448268e-03, 1.768224540737377282e-02, 6.402017574743326667e-02, -3.429136124423618620e-02, 8.950501826436906005e-02, 2.907679056230459778e-03, 
1403638127695097088, 8.639175873604517688e-05, -3.140309833725209187e-04, 6.427043128894306917e-05, -1.359432674357589042e-02, -8.369459109863555124e-01, 1.886591537884545243e-03, 5.471134956624427170e-01, 6.385170819525342895e-04, -1.266173078255778805e-03, -1.319219686824713939e-05, 1.429964087432635499e-03, 1.810409202677845664e-02, 6.764805452195768454e-02, -3.704383320242928684e-02, 8.938020895298064150e-02, 4.330285762788264534e-03, 
1403638127745096960, 5.087268832632390052e-05, -3.735179881451984466e-04, -1.413633831229521950e-05, -1.386673519541786574e-02, -8.369863433889100923e-01, 2.368098627135678796e-03, 5.470429295259869873e-01, -2.487826538048526579e-03, 8.395872691079681515e-04, 7.629941421375263785e-04, 1.013382614258556951e-03, 1.811977880460329676e-02, 6.852524550891617161e-02, -3.853657828633134247e-02, 8.934737921248485371e-02, 5.078008033338295840e-03, 
1403638127795097088, 4.733853084033018199e-05, -3.746357980157363982e-04, -9.320509984041561115e-06, -1.370614629151671593e-02, -8.370342317466143989e-01, 2.126991382475906800e-03, 5.469746907726623641e-01, 1.037440924577914814e-03, -8.734632885850755367e-04, 1.293504679945828382e-03, 8.186450633911009685e-04, 1.819625764468923643e-02, 6.939989289271651651e-02, -3.874434437542743914e-02, 8.956615615049297319e-02, 5.350600148495538409e-03, 
1403638127845096960, 7.289999043583807485e-05, -4.388959116118799149e-04, -6.556934741028410231e-05, -1.388162062076813037e-02, -8.370611145620020510e-01, 2.405268000735729089e-03, 5.469279712932999526e-01, 3.854688990254147448e-04, 8.033798619581814871e-04, -1.049637676321638416e-03, 4.035901485192667669e-04, 1.836726820891599124e-02, 7.126840174631079994e-02, -3.825040110706889179e-02, 8.873300837554196074e-02, 5.302964983962551483e-03, 
1403638127895097088, 5.447675242058699522e-05, -4.671621637782509681e-04, -1.034089238690562187e-04, -1.374408380120001154e-02, -8.370574259031337006e-01, 2.453204170182890411e-03, 5.469368772447009697e-01, -9.358921896757490828e-04, -1.513358242991753313e-04, -1.948817654743876453e-04, 2.969772848231610682e-06, 1.851685317038277712e-02, 7.245468930573654986e-02, -3.930737315770033158e-02, 8.830390308727006921e-02, 6.345794447589923545e-03, 
1403638127945096960, 2.773931133538181518e-05, -3.969041593998368154e-04, -1.432555961341220837e-04, -1.386448067448416144e-02, -8.370430256272867187e-01, 2.284409916140376934e-03, 5.469566078727629010e-01, -4.405064053335768838e-04, 2.291944663557063215e-03, -1.286156907667675500e-03, -8.160497740321653545e-05, 1.856323537177395969e-02, 7.265242808949733122e-02, -3.790648127539782836e-02, 8.841780075396120375e-02, 6.208127434448217769e-03, 
1403638127995097088, -8.271758289266938134e-05, -4.808714921475622434e-04, -2.240446470515050528e-04, -1.368956325360739731e-02, -8.371117686633047228e-01, 2.238893627955535273e-03, 5.468559865070895532e-01, -5.012195280568190964e-04, 2.445745607122650801e-03, -2.330863646773492965e-04, -8.499114749720794231e-05, 1.858379389409532331e-02, 7.285054193335978312e-02, -3.886411165296543152e-02, 8.779312935904301507e-02, 7.016886706482992724e-03, 
1403638128045096960, -9.613347324854531464e-05, -3.455202616437897355e-04, -1.925237418264393063e-04, -1.348174161090521378e-02, -8.371761257619393382e-01, 1.814540595858909642e-03, 5.467641946395104258e-01, -4.214699565116698907e-04, 3.437166349205452061e-03, -2.569706724414731920e-04, -1.100884713489156481e-04, 1.876195207645987850e-02, 7.313389652516555373e-02, -3.915442163042626156e-02, 8.710854987092141177e-02, 7.525508287009947256e-03, 
1403638128095097088, -1.478486920955849010e-04, -4.152960575343500626e-04, -1.823794668942032410e-04, -1.353855075940290330e-02, -8.372779188646763959e-01, 1.731202098986811197e-03, 5.466071689653037025e-01, -1.924624052849298718e-04, -7.233772046317803075e-05, 2.031052350448594719e-04, -8.749392549422068646e-05, 1.891478658001485152e-02, 7.342247803360368863e-02, -3.814959799087039305e-02, 8.705577585013857256e-02, 7.404071752671434643e-03, 
