timestamp,cpu_percent,ram_percent
1747663742,21,61.0502
1747663743,26.1,61.5716
1747663744,29.4,61.6004
1747663745,27.6,61.6293
1747663747,27.9,61.6589
1747663748,26.9,61.7704
1747663749,26.6,61.8394
1747663750,86.4,61.9238
1747663751,87.6,62.0791
1747663753,89.1,62.1978
1747663754,94.1,62.2795
1747663755,92.1,62.4143
1747663756,92.7,62.4824
1747663758,85.5,62.5488
1747663759,96.5,62.6179
1747663760,88.6,62.6671
1747663761,90,62.7221
1747663762,90.5,62.7786
1747663764,88.7,62.8364
1747663765,91.1,62.865
1747663766,89.2,62.8768
1747663767,89.6,62.9854
1747663768,89.3,63.0644
1747663770,90.9,63.1109
1747663771,89.6,63.1598
1747663772,96.2,63.1822
1747663773,91,63.1954
1747663774,90.2,63.2375
1747663776,93.5,63.236
1747663777,95.1,63.2595
1747663778,94.7,63.2838
1747663779,89.8,63.3064
1747663781,25.7,63.3427
1747663782,27.6,63.3559
1747663783,26.8,63.4069
1747663784,28.4,63.4679
1747663785,26.2,63.4579
1747663786,22.1,63.4949
1747663788,25.7,63.4976
1747663789,25.4,63.4839
1747663790,24.7,63.4864
1747663791,21.6,63.5669
1747663792,26.3,63.5368
1747663794,21.6,63.5708
1747663795,25,63.5508
1747663796,22.1,63.5653
1747663797,27.9,63.6047
1747663798,25,63.6729
1747663799,27.3,63.7084
1747663801,25,63.7454
1747663802,26.3,63.7743
1747663803,25.3,63.737
1747663804,23.2,63.7307
1747663805,25.6,63.7753
1747663807,23.4,63.8202
1747663808,23.2,63.8408
1747663809,22.8,63.8711
1747663810,20.6,63.9204
1747663811,24.1,63.965
1747663812,22.8,63.9579
1747663814,22.6,63.981
1747663815,23.8,63.9802
1747663816,26.4,64.0372
1747663817,23.6,64.11
1747663818,31.4,64.0909
1747663820,24.2,64.1162
1747663821,20.7,64.1604
1747663822,31.5,64.2245
1747663823,30.5,64.237
1747663824,91.8,64.3039
1747663826,88.9,64.3052
1747663827,88.7,64.3509
1747663828,89.2,64.3538
1747663829,90.5,64.3795
1747663830,86.6,64.3959
1747663832,90.7,64.4042
1747663833,88.4,64.4253
1747663834,89,64.4699
1747663835,89.4,64.4859
1747663837,88.8,64.5156
1747663838,88.1,64.5058
1747663839,86.1,64.5449
1747663840,91.3,64.524
1747663841,90.5,64.5655
1747663843,89.8,64.5695
1747663844,88.7,64.5619
1747663845,85.8,64.5808
1747663846,87.6,64.584
1747663847,89.3,64.6003
1747663849,90.5,64.6056
1747663850,89.5,64.6092
1747663851,88.6,64.6199
1747663852,88.6,64.6286
1747663853,90.3,64.6255
1747663855,90.6,64.6347
1747663856,11.9,64.6558
1747663857,13.8,64.6645
1747663858,11.1,64.6687
1747663859,14.2,64.6786
1747663861,1.5,64.6771
