timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715273312143104, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.075793314570719361e-02, -8.295063832668813086e-01, 0.000000000000000000e+00, 5.583936129594699871e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403715273362142976, 2.782955893930096831e-05, -4.952974663028433991e-06, -1.259563394737294326e-05, 8.735378477790689197e-03, -8.261136988881458976e-01, 1.635855719180650224e-03, 5.634333799556620059e-01, 5.126863551528382593e-03, -9.783735750170648258e-04, -3.763585849083929099e-05, -8.458160708524106839e-05, 1.987275464257679328e-03, 2.697370021475057125e-03, -4.997161402934395535e-02, 8.997426001558050945e-02, 1.000932169968867663e-02, 
1403715273412143104, 6.105628567399312093e-05, -3.903730877626064924e-05, 7.038844204837117855e-05, 7.138068960191959814e-03, -8.276909078088476868e-01, 3.210890121495263601e-03, 5.611296635241385111e-01, 2.839410714521294239e-03, -7.872664426876232742e-05, 1.395527236544467095e-03, 4.062483605995342319e-04, 1.054628961676040873e-02, 1.751160116203244466e-02, -4.336471143990491134e-02, 8.997377558691219135e-02, 7.138897642225355313e-03, 
1403715273462142976, -2.549389395139774100e-05, 1.271963530082253325e-05, 2.433692863109399973e-04, 7.038697398394344433e-03, -8.288409137262384707e-01, 3.595455683093518387e-03, 5.594285201621553849e-01, 2.306466123490780173e-03, -3.788267995238357765e-04, 1.915285352554009068e-03, -7.019386624993288748e-04, 2.071886566818163453e-02, 3.566753923224093292e-02, -3.401463139346396630e-02, 9.002304277800091126e-02, 3.530593857623326361e-03, 
1403715273512143104, -3.364414543186227747e-05, 9.789119020119923742e-06, 2.532135733427319773e-04, 6.959960782122277811e-03, -8.293918751199534922e-01, 3.833458548961340452e-03, 5.586107598556193654e-01, 4.944556058135296398e-04, 5.700683712716677785e-04, 1.123806811727372148e-03, -1.075215607241283757e-03, 2.207520684159090807e-02, 4.512972343677705556e-02, -3.047255736561928219e-02, 9.004639887529498898e-02, 2.026618212329291732e-03, 
1403715273562142976, -5.254029670673077390e-05, 1.194665031266812145e-05, 2.856559225665284362e-04, 6.866561342108102456e-03, -8.296451268440270255e-01, 3.961204130754561112e-03, 5.582348275601658472e-01, -1.322542475331987973e-04, -2.909480700621333614e-05, 1.009506030736982669e-04, -1.437709247544443833e-03, 2.251028977214141608e-02, 4.969176837628136445e-02, -2.752292564925773802e-02, 9.010868953048817298e-02, 8.092904911359337329e-04, 
1403715273612143104, -3.938658084790595218e-05, 9.121545309529708071e-05, 1.368217341652460902e-04, 7.231325403497489146e-03, -8.298841109399407445e-01, 3.943212391714779295e-03, 5.578750051923521136e-01, -2.144917721888811839e-03, -7.260418001587110905e-03, 2.039552791704458534e-03, -3.596616627192844497e-03, 2.305070296664888524e-02, 6.210731287327780209e-02, -2.795164585274720337e-02, 9.003013396190172324e-02, 1.136836790648351270e-03, 
1403715273662142976, -2.403285914608628375e-04, 1.531556996959349329e-04, 2.810422412016527912e-04, 7.608956593055979378e-03, -8.299936982609696923e-01, 3.861186304485349219e-03, 5.577075002785650826e-01, -3.861206838337583221e-03, 3.486487566113359669e-03, -7.702284167364324436e-04, -3.342651087712600073e-03, 2.232146075897751755e-02, 6.489473305457529873e-02, -2.399255836035450035e-02, 9.020202720125200524e-02, -5.171435860206203411e-04, 
1403715273712143104, -2.807531372694553650e-04, 2.214046087597749534e-04, 3.680528921534997910e-04, 7.669651688479744989e-03, -8.297868069230700527e-01, 3.668384746217854663e-03, 5.580157474953076902e-01, -3.168962409294450648e-04, 1.295584906380018234e-02, 7.528306250761192427e-04, -3.560873019047647130e-03, 2.238450794206183619e-02, 6.647322597695425050e-02, -2.792791586476292554e-02, 9.039328553224794394e-02, 1.364370762907995407e-03, 
1403715273762142976, -3.099486276160463676e-04, 2.711116743210312372e-04, 4.552207684916727455e-04, 7.837683140072965182e-03, -8.296475827973740502e-01, 3.789252062177044661e-03, 5.582195810344523501e-01, 1.192995105317716216e-03, 1.847301031957823345e-02, -9.764069798078419326e-04, -3.471039242600347779e-03, 2.213559597606450796e-02, 6.769562987241839469e-02, -2.669530943710941157e-02, 8.997520272766205973e-02, 1.047814228747814521e-03, 
1403715273812143104, -5.635079494086130711e-05, 1.169560363144848898e-04, 9.417535793511648144e-05, 8.276991624146062126e-03, -8.293862674311198724e-01, 3.584908071944574795e-03, 5.586027741073656960e-01, 2.061809583865934284e-03, 1.206465727114921886e-02, -2.920419595190485926e-03, -3.148584338907704262e-03, 1.972404031674609981e-02, 7.105326145448229158e-02, -2.647086714097165311e-02, 8.999498353897877889e-02, 5.144581531296575812e-04, 
