timestamp,cpu_percent,ram_percent
1746620518,12.2,15.7493
1746620518,17.2,15.8957
1746620518,18,15.9157
1746620518,15.6,15.9912
1746620519,16,16.4363
1746620519,14.2,16.4376
1746620519,16.8,16.448
1746620519,16.6,16.448
1746620520,15.9,16.4464
1746620520,18,16.4539
1746620521,16,16.46
1746620521,14.9,16.4697
1746620521,15.8,16.4713
1746620521,17,16.4728
1746620522,14.9,16.4875
1746620522,16.7,16.5085
1746620522,16.8,16.5019
1746620522,15,16.4987
1746620522,15.2,16.4954
1746620523,12.6,16.5198
1746620523,13.8,16.5299
1746620523,14.6,16.5485
1746620523,15.5,16.5453
1746620523,15.7,16.5454
1746620524,15.9,16.572
1746620524,12.8,16.5811
1746620524,16.2,16.5903
1746620524,15.5,16.5807
1746620524,15.7,16.5804
1746620525,12.2,16.5819
1746620525,11.4,16.5629
1746620525,10.9,16.5543
1746620525,12.3,16.5527
1746620525,10.3,16.5496
1746620526,12.3,16.5236
1746620526,13.7,16.5365
1746620527,14.2,16.5398
1746620527,13.6,16.5409
1746620527,12.4,16.5424
1746620527,12.8,16.5489
1746620528,14,16.5589
1746620528,14.8,16.5587
1746620528,15.7,16.5586
1746620528,15.6,16.5586
1746620529,11.8,16.6053
1746620529,15.1,16.5815
1746620529,14.3,16.5903
1746620529,14.6,16.5919
1746620529,13.9,16.5871
1746620530,11.9,16.5737
1746620530,13.7,16.5768
1746620530,16.6,16.5768
1746620530,15,16.5752
1746620530,14.4,16.5754
1746620531,12.5,16.6078
1746620531,14.1,16.6088
1746620531,14.9,16.607
1746620531,14.9,16.6033
1746620531,12.8,16.5985
1746620532,13.1,16.6188
1746620532,13.9,16.6339
1746620533,15.1,16.6396
1746620533,14.3,16.6427
1746620533,14.1,16.6409
1746620533,11,16.6411
1746620534,13.3,16.6438
1746620534,13,16.6434
1746620534,11.9,16.6434
1746620534,12.2,16.6402
1746620535,15.9,16.6455
1746620535,18.7,16.6675
1746620535,19.1,16.6609
1746620535,19.8,16.6609
1746620535,16,16.6595
1746620536,11,16.6736
1746620536,14.1,16.6852
1746620536,14.6,16.7017
1746620536,13.7,16.7017
1746620536,12,16.6953
1746620537,11,16.7107
1746620537,14.1,16.7012
1746620537,12.6,16.6977
1746620537,12.7,16.6945
1746620537,17.2,16.689
1746620538,12.6,16.6542
1746620538,15.6,16.6846
1746620538,17.9,16.6955
1746620538,17.5,16.6859
1746620539,16,16.6844
1746620539,13.9,16.6883
1746620540,14.7,16.6943
1746620540,15.2,16.6926
1746620540,15.1,16.6926
1746620540,13.8,16.6915
1746620541,23.9,16.6532
1746620541,12.5,16.69
1746620541,16.7,16.699
1746620541,17,16.6907
1746620541,18.9,16.6879
1746620542,11.9,16.6893
1746620542,16,16.704
1746620542,15.8,16.7144
1746620542,16.9,16.7128
1746620542,16.5,16.7095
1746620543,15.3,16.7057
1746620543,14.8,16.7069
1746620543,15.8,16.7117
1746620543,14.7,16.7117
1746620543,14.3,16.7066
1746620544,12.6,16.7099
1746620544,13.3,16.7186
1746620544,15.2,16.7278
1746620544,14.8,16.7261
1746620544,14.8,16.7261
1746620545,13,16.7159
1746620545,17.7,16.741
1746620546,16.7,16.7529
1746620546,16.3,16.7481
1746620546,15.8,16.7405
1746620546,11.9,16.7353
1746620547,19.5,16.7567
1746620547,20,16.7502
1746620547,19.3,16.7374
1746620547,18.5,16.7406
1746620548,13.7,16.7929
1746620548,16.8,16.7895
1746620548,18.3,16.7922
1746620548,17.1,16.789
1746620548,16.2,16.784
1746620549,13.5,16.7689
1746620549,15.7,16.7992
1746620549,16.7,16.8044
1746620549,16.3,16.8059
1746620549,18,16.8101
1746620550,12.5,16.8249
1746620550,16.9,16.8357
1746620550,16.5,16.8449
1746620550,16.9,16.8449
1746620550,16,16.8468
1746620551,18.9,16.825
1746620551,15.7,16.8464
1746620551,14.4,16.8474
1746620551,14.4,16.8504
1746620552,15.5,16.8488
1746620552,15.8,16.8469
1746620553,16.2,16.8617
1746620553,14.1,16.8669
1746620553,15.5,16.8669
1746620553,16.1,16.8728
1746620554,12.2,16.8884
1746620554,15.7,16.8929
1746620554,15.8,16.9021
1746620554,15.5,16.9005
1746620554,15.1,16.9022
1746620555,12,16.9203
1746620555,15.3,16.9354
1746620555,14.9,16.9347
1746620555,14.9,16.9347
1746620555,15,16.9339
1746620556,12.4,16.9416
1746620556,13.3,16.9499
1746620556,15.2,16.9482
1746620556,15.8,16.9434
1746620556,16.8,16.9386
1746620557,12.6,16.9274
1746620557,12.8,16.9269
1746620557,15.2,16.9324
1746620557,15.8,16.9228
1746620557,15.6,16.92
1746620558,13,16.9629
1746620558,13.6,16.9532
1746620559,14.1,16.9549
1746620559,15.9,16.9549
1746620559,13.7,16.9527
