timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715523962142976, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.828195176676587264e-02, -8.137641072436723189e-01, 0.000000000000000000e+00, 5.805067690959093696e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403715524012143104, 1.068899514385811587e-05, -4.741047700640450751e-06, -1.723349537504686305e-05, 2.889850138923477987e-02, -8.121375083496196190e-01, -2.083019329498393170e-03, 5.827462614033667165e-01, 2.444197170382749959e-03, -2.953056666025412683e-03, -4.009894672075088248e-04, 5.171571145529080347e-04, 3.240363299125448814e-03, 4.101549428192411556e-03, -4.997212664158182105e-02, 8.997408820448739297e-02, 1.000180390661840717e-02, 
1403715524062142976, 1.004709026572383758e-04, -7.215242591242671541e-05, 1.102157403035792903e-04, 2.539680107205885551e-02, -8.127893982493687997e-01, 2.318701524907854430e-03, 5.819991582571006905e-01, 2.709305003988030786e-03, -1.493193602158204240e-03, 1.938510647926993151e-03, 2.415067649952144097e-03, 2.043074929951960855e-02, 3.183770388492530856e-02, -3.169709013296002909e-02, 9.049607187970860889e-02, 3.793144261065171247e-03, 
1403715524112143104, 1.205695805976762363e-04, -8.445936999044878642e-05, 1.054942893065789137e-04, 2.466225742840481502e-02, -8.134732645755822222e-01, 3.398004020573524263e-03, 5.810692509916147719e-01, 1.444630847152388736e-03, -2.661449771599958816e-04, -4.598363321035213122e-04, 1.707459259443740943e-03, 2.080261897090820988e-02, 4.557758501935060824e-02, -2.118721277227743685e-02, 9.068678514512373834e-02, 1.688397633353620969e-04, 
1403715524162142976, 9.345809727401378016e-05, -1.642423180454676381e-04, 2.224938822197209819e-04, 2.452753070971381080e-02, -8.137174113671049591e-01, 3.912941343913465923e-03, 5.807297681067682404e-01, 6.891238729899259357e-04, 6.991700562646610507e-04, -6.029407034831753016e-04, 1.294638335478474293e-03, 2.022651763293766003e-02, 5.404186511543829230e-02, -1.390984540337151035e-02, 9.087223322744356069e-02, -2.435086804125932442e-03, 
1403715524212143104, 6.125421161047009313e-05, -1.524947787431274178e-04, 2.146260969871078401e-04, 2.451449546317886058e-02, -8.137359927467083809e-01, 4.076544154811360433e-03, 5.807031560173138152e-01, -7.507265753015220869e-05, 9.656545809599901111e-04, -9.842132411098554468e-04, 1.054305548795963924e-03, 2.012772563290481445e-02, 5.645771946582098244e-02, -1.330703500849517856e-02, 9.089794360319840283e-02, -2.672735965979593925e-03, 
1403715524262142976, 1.010373380967892789e-05, -1.694681787321116687e-04, 2.485291500032984569e-04, 2.460685967994546627e-02, -8.137778082729919538e-01, 4.032466488816173478e-03, 5.806409565584517152e-01, -4.919879680044057357e-04, 2.619673317588129069e-04, 8.509348800704228093e-04, 8.189204424714561755e-04, 2.011757488036301778e-02, 5.985635014239178153e-02, -1.437178360474857843e-02, 9.092663495446824673e-02, -2.289580442356338019e-03, 
1403715524312143104, 3.772625073781813840e-07, -3.009941704806687513e-05, 4.275002158572801939e-05, 2.494788448036047018e-02, -8.137150334331789692e-01, 3.674583793521963345e-03, 5.807167509713661024e-01, 7.322458346247644493e-04, -2.410654015402513496e-04, -5.009767779711871280e-04, -3.411423123438763567e-04, 1.957212110483103062e-02, 6.714589220734122621e-02, -1.737799096713803226e-02, 9.076707842395397019e-02, -9.894088046100237878e-04, 
1403715524362142976, 8.330692831070615932e-06, -4.937058570370911472e-05, 4.477115103113577427e-05, 2.493339010245677889e-02, -8.136204946164787843e-01, 3.801020773569532222e-03, 5.808490070914421599e-01, 6.863069767697962563e-04, 2.426652688829889621e-04, -7.272520776800076719e-04, -7.010173614831263778e-04, 1.897729760194985515e-02, 6.827016695405162261e-02, -1.601045670700920048e-02, 9.083157811607525667e-02, -1.585867879046747204e-03, 
1403715524412143104, 3.516040841108310219e-07, -4.706155258202161237e-05, 3.026153036289964862e-05, 2.486602568824249765e-02, -8.136157269643610190e-01, 3.886078921599193936e-03, 5.808580101826446018e-01, -1.661498511323036316e-05, 2.932868953881618049e-04, -8.442524489618163800e-04, -8.057098206850770187e-04, 1.886928340064565265e-02, 6.886695599479157603e-02, -1.597476820614773460e-02, 9.076861532528819609e-02, -1.749407611182341848e-03, 
