timestamp,cpu_percent,ram_percent
1747664055,10,70.3967
1747664056,14.8,70.8748
1747664057,12,70.9024
1747664058,15.7,70.9154
1747664060,9.5,70.9478
1747664061,13.3,71.0123
1747664062,9.9,71.052
1747664063,12.6,71.0879
1747664064,15.4,71.1385
1747664066,14.1,71.1948
1747664067,13.5,71.2418
1747664068,12.5,71.2904
1747664069,12.3,71.3245
1747664070,10.8,71.363
1747664072,11.8,71.4074
1747664073,10.8,71.4403
1747664074,11.8,71.4829
1747664075,12.8,71.5557
1747664076,12.6,71.5963
1747664078,12.8,71.6237
1747664079,12.8,71.6659
1747664080,13.4,71.7056
1747664081,13.1,71.7499
1747664082,10.4,71.749
1747664083,13.9,71.798
1747664085,13.5,71.8176
1747664086,10.9,71.8446
1747664087,11.9,71.8822
1747664088,14.4,71.8866
1747664089,16.2,71.9073
1747664091,11.9,71.9301
1747664092,11.7,71.9527
1747664093,11.1,71.9995
1747664094,13.1,72.0423
1747664095,9.5,72.075
1747664097,12.2,72.0975
1747664098,11.7,72.1283
1747664099,11.3,72.1558
1747664100,12.2,72.1897
1747664101,15.3,72.207
1747664102,14,72.2211
1747664104,11.7,72.2482
1747664105,12.6,72.2735
1747664106,11.4,72.2963
1747664107,11.1,72.3203
1747664108,15.2,72.3204
1747664110,14.3,72.3251
1747664111,12.7,72.3361
1747664112,89.6,72.5012
1747664113,88.3,72.6028
1747664114,86.9,72.7096
1747664116,84.6,72.7768
1747664117,91.8,72.8244
1747664118,89.6,72.8771
1747664119,86.4,72.9469
1747664120,89.7,72.9743
1747664122,86.3,73.0197
1747664123,84.7,73.0591
1747664124,85.7,73.0993
1747664125,89.3,73.123
1747664126,16.5,73.1971
1747664128,12.3,73.2771
1747664129,1.4,73.3204
