timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715886584058112, 3.793260839874834871e-14, 6.393735174937900282e-12, 4.787934369462501870e-12, 3.511352148590687894e-02, -8.272249624320284767e-01, 3.019784291558006220e-03, 5.607644630689612164e-01, -1.342314002505729832e-03, -1.903004499278517425e-03, 1.230619965569223172e-03, -2.132993074576163082e-03, 1.838018109592449642e-02, 7.137593048802498563e-02, -3.258559332226086680e-02, 8.626815998204202807e-02, -1.510280224381966912e-03, 0
1403715886634057984, -6.538867129772798158e-05, -1.014568370839061099e-04, 7.979371811137158223e-05, 3.501567700038112768e-02, -8.272531281055665042e-01, 3.020078662881311299e-03, 5.607290286124220202e-01, -1.278357883568776885e-03, -2.367051265673034578e-03, 2.189934114887162435e-03, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 0
1403715886684058112, -1.188344698224677354e-04, -2.352215952917407907e-04, 1.828408844053020627e-04, 3.487700984297652240e-02, -8.272525954284066785e-01, 3.089582470577336652e-03, 5.607380779129728099e-01, -1.261176526838026900e-03, -3.292866382660394019e-03, 2.205012789712628742e-03, -2.133155988439208381e-03, 1.838080443635323885e-02, 7.137847569094341038e-02, -3.245767375232593704e-02, 8.617385334469690461e-02, -1.507616178115910293e-03, 0
1403715886734057984, -2.229421063294458527e-05, -2.742292093227007943e-04, 1.762084573754855662e-04, 3.440028617091323709e-02, -8.272396933732119040e-01, 3.294770259430706769e-03, 5.607853907762677670e-01, 1.247854030526462715e-03, -8.805866669529978635e-04, 6.684712533958428460e-05, -2.133155988439208381e-03, 1.838080443635323885e-02, 7.137847569094341038e-02, -3.245767375232593704e-02, 8.617385334469690461e-02, -1.507616178115910293e-03, 3
1403715886784058112, 1.691606130873035674e-04, -4.888506337809040434e-05, 5.180060585885689739e-05, 3.401610973866198845e-02, -8.273462817674509528e-01, 3.423370718560634404e-03, 5.606507958228049704e-01, -2.243510689862815790e-04, 2.386482772991714140e-04, 1.759763900345831869e-04, -2.132993074576163082e-03, 1.838018109592449642e-02, 7.137593048802498563e-02, -3.258559332226086680e-02, 8.626815998204202807e-02, -1.510280224381966912e-03, 1
1403715886834057984, 1.430159084122145901e-04, -1.905269854626545926e-04, 1.435303751642700958e-04, 3.436427658842532845e-02, -8.272709628131444948e-01, 3.326269471163014607e-03, 5.607412830460876130e-01, 2.751528705784603659e-04, -2.203387051805640517e-04, 8.862135421255499168e-04, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715886884058112, 8.373807444731551700e-05, -3.364653032184703905e-04, 2.463787696924571273e-04, 3.437911137068289102e-02, -8.272441568922256350e-01, 3.196522698037733336e-03, 5.607806735539966336e-01, 6.272688811069454876e-04, -1.900771220667824934e-04, 2.256071693954390109e-04, -2.133155988439208381e-03, 1.838080443635323885e-02, 7.137847569094341038e-02, -3.245767375232593704e-02, 8.617385334469690461e-02, -1.507616178115910293e-03, 3
1403715886934057984, 1.648275067938439369e-04, -2.065534359624764593e-04, 1.944828914256484112e-04, 3.438416682280582420e-02, -8.272775236314950931e-01, 3.246982798726373055e-03, 5.607308490432350023e-01, -2.609394299555971839e-04, -3.024832560824704795e-04, 1.093011433097705338e-03, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715886984058112, 1.790675400907263857e-04, -2.008818559840932615e-04, 1.911222154538380971e-04, 3.439345559920461287e-02, -8.272910017092487411e-01, 3.262232252743013042e-03, 5.607103053659548975e-01, -3.693801059304264219e-04, -2.373519290508681226e-04, 9.851990088945393725e-04, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715887034057984, 9.315596370742021924e-05, -1.464674292577057752e-04, 1.588515645854077230e-04, 3.467657332760645111e-02, -8.272890357238921188e-01, 3.151135156757312646e-03, 5.606964035737271868e-01, -6.696818594882423918e-04, 7.641738658794012368e-05, 7.231405071360483706e-04, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715887084058112, 8.103193414392211805e-05, -1.439584286670455920e-04, 1.668349976954252266e-04, 3.485105163632466752e-02, -8.272780267467032544e-01, 3.152137996340392736e-03, 5.607018233321300338e-01, -1.149619256874274834e-03, 4.493398948081324721e-04, 7.836278229827505892e-04, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715887134057984, 5.026449152898878074e-05, -3.093240534439496594e-04, 2.326063981261957498e-04, 3.473075676079724616e-02, -8.272289640757237716e-01, 3.206321443209164939e-03, 5.607813611665692921e-01, -6.157062422622106620e-04, 9.564964395595721564e-04, 3.578162324414388765e-04, -2.133155988439208381e-03, 1.838080443635323885e-02, 7.137847569094341038e-02, -3.245767375232593704e-02, 8.617385334469690461e-02, -1.507616178115910293e-03, 3
1403715887184058112, 8.074469978671300384e-06, -1.381706577511002359e-04, 1.805621430932292113e-04, 3.485809928869087332e-02, -8.272923879686693294e-01, 3.162181102411170709e-03, 5.606801390576913180e-01, -1.769656726175407226e-03, 9.068996783395771822e-04, 1.360000768682872660e-03, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715887234057984, -1.146554869823367183e-05, -1.214837600679904007e-04, 1.794322542082482956e-04, 3.486208942074493777e-02, -8.272902521338388881e-01, 3.158734084461590347e-03, 5.606830618491459584e-01, -1.814215260176433881e-03, 1.067312389681490149e-03, 1.519413026833143620e-03, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
1403715887284058112, 1.491285898142046646e-05, -1.300935984385837517e-04, 1.818564868361199080e-04, 3.485266094796237585e-02, -8.272904339254479877e-01, 3.137223346809334037e-03, 5.606835005508568059e-01, -2.108802728341561007e-03, 1.066849753012336435e-03, 1.572267885170349367e-03, -2.133049810701375965e-03, 1.838052821023170372e-02, 7.137734221319776140e-02, -3.255104165001020122e-02, 8.626360627899561095e-02, -1.535490489113958785e-03, 2
