timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1413393212255760384, -1.837414427083071380e-13, -1.935907169442669033e-14, 1.200062123122584961e-13, 1.482365486327625334e-03, -7.980948732946711033e-01, 1.298131089665940756e-02, 6.023901239070345026e-01, 1.551459259268135882e-01, -2.783320468278143722e-01, 8.963503071201179770e-03, -1.824195194638879042e-03, 2.565578906085667563e-02, 7.716369241829806880e-02, -3.821498050376195832e-02, 1.495538217147803460e-02, 3.827687285215269214e-02, 0
1413393212305760512, 7.790851644469171285e-03, -1.386331208528227693e-02, 5.142720186802027553e-04, 1.332356447844251952e-03, -7.980332606680573537e-01, 1.315184845821305328e-02, 6.024683963295803801e-01, 1.574065380059696262e-01, -2.756981695512367159e-01, 1.062991286039285249e-02, -1.824249929284834423e-03, 2.565632793748574836e-02, 7.716524157963450259e-02, -3.819552128139476477e-02, 1.480420190021210745e-02, 3.833243204705796825e-02, 0
1413393212355760384, 1.566948097804826689e-02, -2.750058626426360453e-02, 1.111614329919292108e-03, 1.287642638810045093e-03, -7.980540454823793484e-01, 1.334877475547788933e-02, 6.024366295953216266e-01, 1.570826207618256087e-01, -2.720543927186419020e-01, 1.234975878945636547e-02, -1.824293822391142433e-03, 2.565689435748443395e-02, 7.716679499451213620e-02, -3.818032976028976067e-02, 1.464912142769695010e-02, 3.838908828227954873e-02, 0
1413393212405760512, 7.821140877851706988e-03, -1.390629153412619758e-02, 8.373687241915684851e-04, 3.745754150996788976e-04, -7.983055551796344185e-01, 1.388988367774683305e-02, 6.020923279647506510e-01, 9.789053750951536882e-04, -7.700017657784769551e-04, 2.962887313134513964e-03, -1.824249929284834423e-03, 2.565632793748574836e-02, 7.716524157963450259e-02, -3.819552128139476477e-02, 1.480420190021210745e-02, 3.833243204705796825e-02, 2
1413393212455760384, 7.858980587033178797e-03, -1.394633926696647007e-02, 9.827315150421885113e-04, -8.089585107668688521e-05, -7.984518360774627288e-01, 1.415648183103900871e-02, 6.018922270162304633e-01, 7.583456641013969256e-04, -6.337487011321089186e-04, 2.927278723095206280e-03, -1.824249929284834423e-03, 2.565632793748574836e-02, 7.716524157963450259e-02, -3.819552128139476477e-02, 1.480420190021210745e-02, 3.833243204705796825e-02, 2
1413393212505760512, 1.565186315516161816e-02, -2.766891434212854703e-02, 2.013571788667301195e-03, 3.969594624721633266e-04, -7.983390498166471616e-01, 1.396599318254775762e-02, 6.020461402546012364e-01, -2.046339373028539799e-03, -1.457075301301551367e-03, 5.731201141156994951e-03, -1.824293822391142433e-03, 2.565689435748443395e-02, 7.716679499451213620e-02, -3.818032976028976067e-02, 1.464912142769695010e-02, 3.838908828227954873e-02, 3
1413393212555760384, -2.398317088193006733e-04, -6.388334762447337574e-06, 1.908564610580593861e-03, 1.206660054910136087e-04, -7.985456632475756988e-01, 1.428242748947936187e-02, 6.017647558749283920e-01, -2.515803453325504788e-03, 4.556607406083650058e-03, 6.176867790054019550e-03, -1.824195194638879042e-03, 2.565578906085667563e-02, 7.716369241829806880e-02, -3.821498050376195832e-02, 1.495538217147803460e-02, 3.827687285215269214e-02, 1
1413393212605760512, 1.537034489480071549e-02, -2.775966942813495875e-02, 3.567561639778604569e-03, 3.612292181469529419e-04, -7.984023061349866390e-01, 1.407501691298627781e-02, 6.019597336788286013e-01, -2.918479985397888152e-03, 8.073630242271808777e-05, 9.822548541292443550e-03, -1.824293822391142433e-03, 2.565689435748443395e-02, 7.716679499451213620e-02, -3.818032976028976067e-02, 1.464912142769695010e-02, 3.838908828227954873e-02, 3
1413393212655760384, 7.016906093076331202e-03, -1.392236631694377183e-02, 4.421075021807730973e-03, 3.742918073840787135e-04, -7.984737556339669418e-01, 1.389896905824158577e-02, 6.018690390180817529e-01, -2.543938230069204935e-03, 2.318619655154434672e-03, 1.005920435339775244e-02, -1.824249929284834423e-03, 2.565632793748574836e-02, 7.716524157963450259e-02, -3.819552128139476477e-02, 1.480420190021210745e-02, 3.833243204705796825e-02, 2
1413393212705760512, 7.064058782848490689e-03, -1.394090751946939349e-02, 5.136939953441802161e-03, 2.241415791657971294e-04, -7.985611336455047393e-01, 1.417271824636560408e-02, 6.017467903103996818e-01, -3.403667604510312878e-03, 4.052768205376947215e-03, 1.305714879641172756e-02, -1.824249929284834423e-03, 2.565632793748574836e-02, 7.716524157963450259e-02, -3.819552128139476477e-02, 1.480420190021210745e-02, 3.833243204705796825e-02, 2
