timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1413393886005760512, -7.753510381291971909e-13, -3.369067274988381650e-13, 1.912769556399251659e-12, -7.007547437142740664e-03, -8.062184777197206609e-01, 4.760200824548110367e-03, 5.915572676844758071e-01, -1.273158555802159921e-04, -4.022901298544417220e-03, -1.497170978263260253e-02, -1.828847798279962730e-03, 2.402690405131167536e-02, 7.723282206623895141e-02, -1.767345362520942459e-02, 6.574564452932257774e-02, -1.012157307258198385e-02, 0
1413393886055760384, -1.009678520840843048e-04, -4.305135690402083349e-04, -8.214096886866319690e-04, -7.055135495362758330e-03, -8.060823661563059073e-01, 4.600715033878711481e-03, 5.917434219796366968e-01, -2.621732733576979859e-03, -6.283492053100477905e-03, -1.780231232394368507e-02, -1.828921232611586522e-03, 2.402747478881701523e-02, 7.723433907087033645e-02, -1.760604332787764695e-02, 6.569409931743934450e-02, -1.015826367133122916e-02, 0
1413393886105760512, -2.358432106087936817e-04, -8.939945349041308149e-04, -1.763404448006228352e-03, -7.166490276985471204e-03, -8.061598159666547581e-01, 4.548167492513613755e-03, 5.916369720615669570e-01, -2.595145001119910678e-03, -6.175445936424236656e-03, -1.955720467784267599e-02, -1.829047710917172448e-03, 2.402831811593071978e-02, 7.723619054269462159e-02, -1.756617404319054873e-02, 6.567342791745053865e-02, -1.017234922136850059e-02, 0
1413393886155760384, -2.448797879693813447e-05, -9.518771322998891232e-05, 2.650264041761445045e-04, -7.534985258479460178e-03, -8.065283317871000390e-01, 4.723268156509320345e-03, 5.911285518056067501e-01, 1.672238906073773455e-03, 4.199903355228601365e-03, 5.407422285950048632e-03, -1.828847798279962730e-03, 2.402690405131167536e-02, 7.723282206623895141e-02, -1.767345362520942459e-02, 6.574564452932257774e-02, -1.012157307258198385e-02, 1
1413393886205760512, -2.028181272403131838e-04, -9.177722876089621125e-04, -1.680044260093162614e-03, -7.249820903395353018e-03, -8.061577500465595403e-01, 4.576343017769067545e-03, 5.916385545426543491e-01, -4.890799191659147248e-04, 2.401206026784116938e-03, -1.372750197364345408e-03, -1.829047710917172448e-03, 2.402831811593071978e-02, 7.723619054269462159e-02, -1.756617404319054873e-02, 6.567342791745053865e-02, -1.017234922136850059e-02, 3
1413393886255760384, -3.630904379760864097e-05, -4.337439970112366830e-05, 1.717093272774512661e-04, -7.370938178859117243e-03, -8.063580888580930139e-01, 4.817024906837896921e-03, 5.913620702027937437e-01, 1.858641677281995964e-03, 4.719856855638251796e-03, 4.251488906163136162e-03, -1.828847798279962730e-03, 2.402690405131167536e-02, 7.723282206623895141e-02, -1.767345362520942459e-02, 6.574564452932257774e-02, -1.012157307258198385e-02, 1
1413393886305760512, -7.307958944466871659e-05, 2.442547431168740350e-05, 1.275805164438437395e-04, -7.269194237310725414e-03, -8.064752037944574736e-01, 4.723551616944172277e-03, 5.912043576801094824e-01, 2.285697612952005287e-03, 4.975100432823504996e-03, 3.517589333940980122e-03, -1.828847798279962730e-03, 2.402690405131167536e-02, 7.723282206623895141e-02, -1.767345362520942459e-02, 6.574564452932257774e-02, -1.012157307258198385e-02, 1
1413393886355760384, -2.288039984659997648e-04, -8.609521213217134240e-04, -1.707464645683212092e-03, -7.317997328119793185e-03, -8.062031693283427947e-01, 4.599423976137083543e-03, 5.915756434972021527e-01, -8.801030790995871501e-04, 2.771687280651344721e-03, -1.529912663105201416e-03, -1.829047710917172448e-03, 2.402831811593071978e-02, 7.723619054269462159e-02, -1.756617404319054873e-02, 6.567342791745053865e-02, -1.017234922136850059e-02, 3
1413393886405760512, -1.787491672364060038e-04, -8.575827974059556814e-04, -1.704429536405325249e-03, -7.314250053994270431e-03, -8.061353098380863447e-01, 4.681174972059946177e-03, 5.916675169208474028e-01, -9.244655838421909216e-04, 2.741290772611062760e-03, -1.550601081019125195e-03, -1.829047710917172448e-03, 2.402831811593071978e-02, 7.723619054269462159e-02, -1.756617404319054873e-02, 6.567342791745053865e-02, -1.017234922136850059e-02, 3
1413393886455760384, -1.097204866837284874e-04, 4.515164325425322328e-05, 1.496999955220280855e-04, -7.181028856386525820e-03, -8.064944832908667038e-01, 4.758047934114119012e-03, 5.911788580673520421e-01, 1.779590522152234809e-03, 5.469906197810566612e-03, 3.814562370250605856e-03, -1.828847798279962730e-03, 2.402690405131167536e-02, 7.723282206623895141e-02, -1.767345362520942459e-02, 6.574564452932257774e-02, -1.012157307258198385e-02, 1
