timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1413394881605760512, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.325525352995786908e-02, -7.988959710116682045e-01, 0.000000000000000000e+00, 6.013231458668296670e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1413394881655760384, 2.304027899335547326e-05, -2.086069127715884709e-05, -1.978445441075576055e-05, 1.021755769742029724e-02, -7.965889986229479636e-01, 3.082351239451832162e-03, 6.044270575498963405e-01, 1.525763521083218534e-03, -1.058775127286942785e-02, 2.169338849486763306e-03, -2.222893955847437533e-06, 6.259621081690636395e-04, 7.118731868360119591e-04, -5.000371015142709291e-02, 8.992147905526770568e-02, 1.001681259324463218e-02, 
1413394881705760512, 2.028749867504513909e-04, -1.603185795503289570e-04, -4.484736492423954820e-05, 5.849455809364401820e-03, -7.960756224444824891e-01, 8.100019734427803264e-03, 6.051146807809789641e-01, 3.595247395227073491e-03, -1.535544388528633543e-02, 1.846721265466410525e-03, 5.264565074208703115e-04, 5.630622880821266676e-03, 8.085043142356968318e-03, -3.952907266996816271e-02, 8.942891827470206279e-02, 7.054261259216664665e-03, 
1413394881755760384, 4.676162637436679812e-04, -3.407599510356649282e-04, 1.067266578904974993e-04, 4.141549919101811597e-03, -7.963038088040660378e-01, 9.709026108565428290e-03, 6.048047837611972843e-01, 7.311308183983221756e-03, -6.089201489749397969e-03, 3.048065076532621796e-03, 1.643666554146219153e-03, 9.898298606752023443e-03, 1.607666360470880879e-02, -3.184029285617506755e-02, 8.936779084857948696e-02, 4.887785061941554710e-03, 
1413394881805760512, 5.266227553986825441e-04, -4.897830929064172969e-04, 3.750233560527511294e-04, 2.143512117699615440e-03, -7.971494053591435813e-01, 1.254095637192840368e-02, 6.036480392618224222e-01, 2.011498149953814141e-03, -9.571295319296773546e-03, 3.240274413877395916e-03, 4.779045250449327938e-03, 2.332301109851426038e-02, 4.408358889483933452e-02, -1.974903965980726039e-02, 8.947796424104122182e-02, 1.483740849206680121e-03, 
1413394881855760384, 1.026174129389597484e-03, -1.501304961360504621e-03, 1.012608929178833179e-03, 2.375161970180947497e-03, -7.972581970356487080e-01, 1.236947813334619145e-02, 6.035070189117862638e-01, 6.109535426345145091e-03, -1.037009748447722396e-02, 2.558328235933079835e-03, 6.380603457669302946e-03, 2.486031558078512921e-02, 5.759882827881682155e-02, -2.245405783367019487e-02, 8.933645944164439467e-02, 2.159202169207590470e-03, 
1413394881905760512, 5.021635530762705692e-04, -7.114990067523797824e-04, 4.778382012875924574e-04, 1.581547059672903108e-03, -7.975152595348686813e-01, 1.355515016689227623e-02, 6.031444001413611700e-01, 1.554496404440849130e-03, -3.086954561730309663e-03, 5.531537247781305455e-04, 5.058909456114423463e-03, 2.481377771746634889e-02, 6.656953438316230709e-02, -2.201430708460249200e-02, 8.907009133927243361e-02, 1.833955538804526129e-03, 
1413394881955760384, 4.235880549897341448e-04, -5.736960762258975057e-04, 2.838627934221501516e-04, 1.295906640007656345e-03, -7.975197126575570561e-01, 1.395166249022372629e-02, 6.031301515115514711e-01, -1.964685014957680362e-03, -8.261632377912144377e-05, -2.073925326388435277e-03, 4.337959751218861161e-03, 2.414291680443884577e-02, 6.794651634616340197e-02, -2.342826420131629769e-02, 8.906332376552623942e-02, 2.208540283590487187e-03, 
1413394882005760512, 3.534493648877742216e-04, -5.521764128237732468e-04, 3.053462222768766601e-04, 1.626726514176789467e-03, -7.975971153027431315e-01, 1.370861250075242413e-02, 6.030325607833255663e-01, -1.246092208983766349e-03, 4.313746479291034192e-03, 9.366098846051668179e-04, 2.658718584544226844e-03, 2.391485788482604694e-02, 6.984340707405775617e-02, -2.337457985971585009e-02, 8.967394875484367700e-02, 2.178953524412133910e-03, 
1413394882055760384, 2.968569245214626603e-04, -5.701461659167362953e-04, 3.170399059841860268e-04, 1.571076081222080737e-03, -7.976212944570562069e-01, 1.379374150987336400e-02, 6.029987852755226418e-01, -7.135647746577604379e-04, 2.330886169636977538e-03, 6.534250544597931332e-04, 2.404988714037997397e-03, 2.387126662583612113e-02, 7.034289608061393417e-02, -2.309242923293449573e-02, 8.966565229612293020e-02, 2.159975241357226482e-03, 
1413394882105760512, 2.664425403401860957e-04, -4.424837243763997635e-04, 4.335365088479605031e-04, 1.720579810813601665e-03, -7.975269473956718702e-01, 1.359844229019215554e-02, 6.031275902743432615e-01, -4.828487835518559626e-04, 1.041685827809129931e-02, -1.548968195880394329e-03, 2.438605856238392302e-04, 2.424452911063046737e-02, 7.331215047697881015e-02, -2.165426942629682799e-02, 8.900179618889282607e-02, 2.202593615756323186e-03, 
1413394882155760384, 1.827389571020825089e-04, -4.249064243099189746e-04, 4.064690150610165216e-04, 1.761521244720499991e-03, -7.974841801332005486e-01, 1.342397671673488911e-02, 6.031879278709829650e-01, 3.321738121537965317e-04, 1.558210960738980536e-03, -5.175540961170805882e-04, 4.035918496116111184e-04, 2.381845946450594775e-02, 7.422021870062553428e-02, -2.267738889732803451e-02, 8.982297398697935975e-02, 2.263221000478326302e-03, 
1413394882205760512, 1.758498902225206486e-04, -4.125315063568650185e-04, 4.632914701594943513e-04, 1.620421037880557342e-03, -7.975252533210445138e-01, 1.343924802015711122e-02, 6.031336760317042023e-01, 1.044738582343927337e-04, -9.488226061575200446e-03, -2.942477264954461891e-04, 2.011432866524305065e-04, 2.385503742743848993e-02, 7.425896577437296475e-02, -2.423729538664735894e-02, 8.910474280804885072e-02, 2.577074446459465696e-03, 
1413394882255760384, 2.901710628226620951e-04, -3.577698908824256878e-04, 3.999226898628397970e-04, 1.684517455673381365e-03, -7.975240057869816823e-01, 1.353751551234869815e-02, 6.031329523978777862e-01, 2.446219175837496384e-03, -2.850376249622418607e-03, -4.576054625987521990e-04, 1.820084872837029132e-04, 2.378008472489009234e-02, 7.440525925015969988e-02, -2.363069296655399484e-02, 8.912213920664105449e-02, 2.670751155843013695e-03, 
1413394882305760512, 3.198091852200625950e-04, -1.295890734364293776e-04, 3.135292759341035281e-04, 2.133488870638895838e-03, -7.976621279378646179e-01, 1.372973054628484103e-02, 6.029445019054430199e-01, 2.314637759302829844e-03, -6.764516000522025931e-03, -3.766559945201127489e-03, -7.549353465658735279e-04, 2.336793979680808903e-02, 7.534168356984367876e-02, -1.940378866334636215e-02, 8.956247869919009563e-02, 1.239003697280938307e-03, 
1413394882355760384, 3.772265621101404264e-04, -1.202277663314399144e-04, 2.507176777437164191e-04, 2.492749856082713232e-03, -7.978546592172052199e-01, 1.367920210028193521e-02, 6.026894792456991556e-01, 6.472328304103132932e-04, -4.794707747171963672e-03, -2.698447850800554659e-03, -8.580795606689192593e-04, 2.333868116726710643e-02, 7.609060961052704908e-02, -2.018637574845752458e-02, 9.034387544011580895e-02, 9.912659450725419975e-04, 
1413394882405760512, 5.654325486716051553e-04, -1.473881085001403559e-04, 2.450227379033197866e-04, 2.619843651610484492e-03, -7.980272813527727882e-01, 1.349505050027415172e-02, 6.024645037244424906e-01, -5.447153358050478089e-04, -1.667558907476162115e-03, -2.684855282221230207e-03, -7.482647035548220440e-04, 2.322121625888465615e-02, 7.625822139617209616e-02, -2.075541020168875095e-02, 9.017174600844135579e-02, 2.575120050718224512e-03, 
1413394882455760384, 3.627808482837138271e-04, -4.199173387647436585e-05, 1.575705126188387591e-04, 2.718292448880853685e-03, -7.979718782000377875e-01, 1.354472033781444797e-02, 6.025363333766994289e-01, -2.353178005935797467e-03, -1.348112247998530184e-03, -2.254353076783207569e-03, -7.108895503505947714e-04, 2.318123571605815517e-02, 7.627826884860328116e-02, -1.983099700180262701e-02, 8.948339538270747018e-02, 2.237906121486749923e-03, 
1413394882505760512, 9.500627832645803638e-06, -3.283124170087004488e-04, -4.168299697827048680e-05, 2.726753071775442957e-03, -7.980732874770402052e-01, 1.341744266623119859e-02, 6.024048180962477961e-01, -3.745833166369145952e-03, -4.941708697019532755e-03, 1.564248368684656443e-03, -1.242356627249869411e-04, 2.306761692660224544e-02, 7.635889125544144396e-02, -2.288256672956098456e-02, 8.815684908297434508e-02, 3.672155466393106291e-03, 
1413394882555760384, 2.088695100939464677e-05, -1.555023180469870380e-04, -3.607314870649619838e-05, 2.674938206501956128e-03, -7.979293999798412473e-01, 1.379281867836183208e-02, 6.025871517932555044e-01, -9.426624017840750129e-04, -9.352031170474492394e-03, 1.012580532945665367e-03, 1.223363857301987474e-04, 2.307591670932571462e-02, 7.645597781648785785e-02, -2.572453881687177674e-02, 8.715005432765014770e-02, 5.303249159157645727e-03, 
1413394882605760512, 8.479226088648668673e-05, -5.863146764055041690e-05, 1.749546897373750019e-05, 2.650861602247913881e-03, -7.979017539908090928e-01, 1.368816383512496716e-02, 6.026262507408542968e-01, -1.262460376125453887e-03, -2.397211388207626422e-04, 1.176821378404956661e-03, 1.038242346335284952e-04, 2.310525560914402504e-02, 7.646323624277163999e-02, -2.467919733784075531e-02, 8.805683776644417093e-02, 5.087977967938629893e-03, 
1413394882655760384, 8.774468384089735280e-05, -1.123671849676097069e-05, 1.078789455706868943e-05, 2.749159766479285574e-03, -7.978772151571966731e-01, 1.358238912980911858e-02, 6.026606925618274158e-01, -4.023262302066452469e-04, 1.305283521895329434e-04, 5.084825060770196883e-04, 2.385992973386840126e-05, 2.311836215908328468e-02, 7.647112407982044335e-02, -2.284443099361187224e-02, 8.901033719702422520e-02, 4.281737320629920053e-03, 
1413394882705760512, 1.286936481687043197e-04, -3.705065536972656560e-05, -1.365352097146776777e-05, 2.934002904314590449e-03, -7.978261296909100464e-01, 1.340777011445292051e-02, 6.027313581604482051e-01, 1.697125511630719465e-04, -1.006524787921961577e-03, 5.413251136136622592e-04, -9.721716974102485290e-05, 2.317444263200857738e-02, 7.656534124819629195e-02, -2.082944542628868342e-02, 8.787370402271359182e-02, 3.541721350237443059e-03, 
