timestamp,cpu_percent,ram_percent
1748003978,18,14.3261
1748003979,15.4,14.3655
1748003980,13,14.386
1748003981,8.9,14.7524
1748003982,9,14.791
1748003984,9.4,14.7941
1748003985,9.3,14.7987
1748003986,9.8,14.8331
1748003987,8.9,14.8329
1748003988,9.4,14.8391
1748003989,9,14.8531
1748003991,9.4,14.8793
1748003992,9.5,14.8839
1748003993,8.9,14.8884
1748003994,9.4,14.9036
1748003995,9.3,14.9051
1748003997,8.9,14.9067
1748003998,9,14.9192
1748003999,9.9,14.9238
1748004000,9.3,14.9236
1748004001,9.4,14.93
1748004002,10.3,14.9428
1748004004,9.8,14.9506
1748004005,9.5,14.9491
1748004006,10.4,14.9671
1748004007,9.4,14.9702
1748004008,9.8,14.9686
1748004010,9.9,15.0165
1748004011,9.4,15.0059
1748004012,8.9,15.005
1748004013,8.9,15.0022
1748004014,9.5,15.0103
1748004016,9.4,15.0074
1748004017,9.3,14.9954
1748004018,11.9,15.0561
1748004019,9.9,15.0553
1748004020,9.9,15.0553
1748004021,9.4,15.0568
1748004023,9.8,15.0952
1748004024,8.9,15.0935
1748004025,9,15.0736
1748004026,9.4,15.0632
1748004027,9.4,15.1226
1748004029,8.9,15.1172
1748004030,9.5,15.1105
1748004031,9.4,15.1166
1748004032,9.4,15.1162
1748004033,9.4,15.1255
1748004034,11.1,15.1434
1748004036,9.4,15.1465
1748004037,9.4,15.1426
1748004038,9.4,15.1378
1748004039,9.4,15.1018
1748004040,9.4,15.0985
1748004042,9.4,15.0985
1748004043,9.4,15.1129
1748004044,9.4,15.1082
1748004045,8.9,15.1128
1748004046,9.4,15.1018
1748004048,10,15.1295
1748004049,9.9,15.1249
1748004050,11.9,15.1233
1748004051,9.4,15.1506
1748004052,9.4,15.1437
1748004053,9.5,15.1916
1748004055,9.4,15.2049
1748004056,9.8,15.1908
1748004057,9.4,15.1854
1748004058,9.4,15.1761
1748004059,8.9,15.1725
1748004061,9,15.1741
1748004062,9.4,15.2173
1748004063,9.9,15.2178
1748004064,9.9,15.2037
1748004065,10.3,15.1941
1748004066,10.4,15.1564
1748004068,9.4,15.1483
1748004069,9.5,15.1504
1748004070,9.4,15.1518
1748004071,9.4,15.1651
1748004072,9.9,15.1651
1748004074,9.4,15.1649
1748004075,9.4,15.1813
1748004076,9,15.1844
1748004077,9.4,15.1862
1748004078,8.9,15.1957
1748004079,9.4,15.1918
1748004081,9.4,15.1759
1748004082,11.3,15.1608
1748004083,9.4,15.1511
1748004084,9.4,15.1557
1748004085,9.8,15.1997
1748004087,9.4,15.2053
1748004088,9,15.2035
1748004089,9.9,15.2397
1748004090,8.9,15.2502
1748004091,9,15.2267
1748004093,9.4,15.2285
1748004094,9.4,15.2199
1748004095,10,15.2286
1748004096,9.4,15.2811
1748004097,9.9,15.2713
1748004098,9.8,15.2826
1748004100,9.8,15.2731
1748004101,9.4,15.2698
1748004102,10.3,15.2468
1748004103,9.4,15.244
1748004104,9.4,15.2486
1748004106,9.8,15.2434
1748004107,9.4,15.2583
1748004108,8.9,15.2628
1748004109,8.9,15.2591
1748004110,9,15.2524
1748004111,10.8,15.2601
1748004113,8.9,15.2566
1748004114,11.4,15.2649
1748004115,9.5,15.2636
1748004116,9.4,15.2573
1748004117,11.3,15.2553
1748004119,9.4,15.282
1748004120,9.4,15.2795
1748004121,9.9,15.2648
1748004122,9.4,15.2634
1748004123,9,15.2948
1748004125,8.9,15.2874
1748004126,9.4,15.2908
1748004127,9.4,15.2924
1748004128,9.4,15.2914
1748004129,9.5,15.2606
1748004130,9.4,15.2601
1748004132,9.9,15.2584
1748004133,9.5,15.2575
1748004134,9.4,15.2658
1748004135,8.9,15.2583
1748004136,9.5,15.2614
1748004138,9.4,15.2871
1748004139,9.8,15.2897
1748004140,9.5,15.2829
1748004141,9.4,15.2824
1748004142,9.9,15.3119
1748004143,9.4,15.315
1748004145,9,15.315
1748004146,9.5,15.2836
1748004147,9.4,15.2867
1748004148,9.4,15.2851
1748004149,11.4,15.3092
1748004151,9.8,15.3123
1748004152,8.9,15.3154
1748004153,9,15.32
1748004154,9.4,15.3395
1748004155,9.3,15.3349
1748004156,10.2,15.328
1748004158,9.4,15.2982
1748004159,9,15.2966
1748004160,9.4,15.3028
1748004161,9.4,15.3208
1748004162,9.5,15.3325
1748004164,8.9,15.3372
1748004165,9.9,15.3372
1748004166,9.5,15.3636
1748004167,9.4,15.3816
1748004168,9.9,15.3815
1748004170,9.4,15.3932
1748004171,9.8,15.3975
1748004172,10,15.3975
1748004173,9.4,15.4054
1748004174,9.8,15.4025
1748004175,10,15.3921
1748004177,9.4,15.3878
1748004178,10.3,15.399
1748004179,9.4,15.4401
1748004180,9.3,15.4262
1748004181,9.4,15.4504
1748004183,9.4,15.4438
1748004184,9,15.4453
1748004185,12.1,15.4053
1748004186,9.3,15.4521
1748004187,9.4,15.449
1748004188,9.9,15.4489
1748004190,8.9,15.46
