timestamp,cpu_percent,ram_percent
1747999731,19.1,13.649
1747999732,19.3,14.3381
1747999733,9.3,14.3748
1747999734,1,14.802
1747999735,3,14.8392
1747999737,1.9,14.8408
1747999738,4.5,14.8625
1747999739,1.5,14.864
1747999740,5.4,14.8635
1747999741,1.5,14.8805
1747999743,1.5,14.9162
1747999744,1.4,14.9133
1747999745,2,14.9133
1747999746,5.4,14.926
1747999747,2,14.9303
1747999748,1.5,14.9675
1747999750,1.9,14.9938
1747999751,2.4,15.0063
1747999752,1.5,15.0187
1747999753,2,15.0097
1747999754,1,15.0284
1747999756,1.4,15.0315
1747999757,2,15.0525
1747999758,2,15.0525
1747999759,1.5,15.0181
1747999760,3.4,15.0044
1747999762,1.5,15.0044
1747999763,1.9,15.003
1747999764,1.5,15.0108
1747999765,3.3,15.033
1747999766,4.8,15.0475
1747999768,2,15.0491
1747999769,1.5,15.0656
1747999770,2.9,15.0702
1747999771,3,15.0835
1747999772,2.9,15.0961
1747999773,1,15.0992
1747999775,1.4,15.1171
1747999776,2.4,15.1187
1747999777,2,15.1374
1747999778,1,15.1072
1747999779,1,15.1103
1747999781,2.4,15.1005
1747999782,2.4,15.102
1747999783,2,15.1207
1747999784,2,15.1125
1747999785,2,15.1156
1747999787,2.8,15.1268
1747999788,1.4,15.1271
1747999789,1.9,15.1188
1747999790,2.9,15.1082
1747999791,4.4,15.1205
1747999793,2.4,15.1555
1747999794,2.4,15.1441
1747999795,1,15.1566
1747999796,3.4,15.1525
1747999797,2.4,15.1506
1747999799,1.5,15.1903
1747999800,1.9,15.1887
1747999801,1.9,15.1866
1747999802,6.5,15.2362
1747999803,1.9,15.2362
1747999804,1.4,15.2588
1747999806,3.9,15.2588
1747999807,1.9,15.2737
1747999808,4.4,15.2865
1747999809,2.4,15.2797
1747999810,2.4,15.2554
1747999812,2.9,15.2554
1747999813,2.4,15.2647
1747999814,3.9,15.2755
1747999815,1,15.2657
1747999816,2.4,15.2637
1747999818,2.4,15.2698
1747999819,2.4,15.2878
1747999820,2.4,15.2878
1747999821,1,15.3243
1747999822,2.5,15.3477
1747999824,2.5,15.3477
1747999825,2.5,15.3626
1747999826,1.4,15.3626
1747999827,2,15.379
1747999828,1.5,15.3896
1747999829,1.4,15.3896
1747999831,1.9,15.3574
1747999832,1.9,15.3605
1747999833,2.4,15.3738
1747999834,3.4,15.3697
1747999835,1.5,15.4196
1747999837,4.7,15.4661
1747999838,5.8,15.5355
1747999839,4.4,15.5513
1747999840,2.9,15.5205
1747999841,5.8,15.5142
1747999843,6.2,15.5145
1747999844,4.9,15.5638
1747999845,1.9,15.5772
1747999846,5.9,15.59
1747999847,1.5,15.6005
1747999849,2.5,15.6138
1747999850,2.9,15.615
1747999851,1,15.5895
1747999852,3.4,15.6306
1747999853,1.9,15.6306
1747999855,1.4,15.582
1747999856,1,15.5758
1747999857,1.5,15.5907
1747999858,4.8,15.6017
1747999859,1.9,15.604
1747999860,2.4,15.5719
1747999862,1,15.5703
1747999863,2.4,15.5851
1747999864,4,15.5985
1747999865,1.4,15.5953
1747999866,1.9,15.6093
1747999868,5.8,15.6108
1747999869,5.9,15.5771
1747999870,5,15.5802
1747999871,1.4,15.6082
1747999872,6.4,15.6208
1747999874,2.4,15.6254
1747999875,3.4,15.6017
1747999876,5.3,15.6079
1747999877,1.9,15.6247
1747999878,5.9,15.6396
1747999880,3.3,15.6504
1747999881,1.4,15.663
1747999882,1,15.663
1747999883,2.5,15.6694
1747999884,2,15.682
1747999885,2,15.682
1747999887,4.3,15.6722
1747999888,1.9,15.6737
1747999889,2.4,15.7109
1747999890,2.4,15.6988
1747999891,1.5,15.6988
1747999893,1.4,15.7213
1747999894,1.9,15.7275
1747999895,2.4,15.7192
1747999896,7.4,15.7162
1747999897,1.9,15.7217
1747999899,3.4,15.7082
1747999900,2.4,15.7086
1747999901,1.4,15.7231
1747999902,1.9,15.738
1747999903,1.9,15.7363
1747999905,6.4,15.7446
1747999906,2.9,15.7523
1747999907,4.8,15.7471
1747999908,7.4,15.7596
1747999909,4.5,15.7577
1747999911,3.4,15.7819
1747999912,3.4,15.7896
1747999913,4.8,15.7781
1747999914,4.9,15.8021
1747999915,1.9,15.806
1747999916,1,15.8224
1747999918,1.4,15.8317
1747999919,1.9,15.8456
1747999920,2.4,15.8338
1747999921,1.5,15.8309
1747999922,1.4,15.8162
1747999924,1.5,15.8162
1747999925,1.9,15.8309
1747999926,1.4,15.8219
1747999927,1.4,15.8234
1747999928,2.4,15.8398
1747999930,1.5,15.8396
1747999931,1,15.8544
1747999932,1.4,15.8676
1747999933,1.9,15.8761
1747999934,1.9,15.9082
1747999936,2.4,15.9159
1747999937,1.4,15.9291
1747999938,2.4,15.9128
1747999939,2.9,15.9038
1747999940,3.3,15.897
1747999941,1,15.8855
1747999943,1.9,15.8916
1747999944,3.9,15.8824
1747999945,2.4,15.8821
1747999946,2.4,15.8919
1747999947,1.5,15.8935
1747999949,1.9,15.865
1747999950,3.9,15.8828
1747999951,2.4,15.8844
1747999952,1.9,15.8714
1747999953,5.3,15.8699
1747999955,2.9,15.8623
1747999956,4.5,15.8767
1747999957,1.4,15.8757
1747999958,1.4,15.8932
1747999959,1.4,15.8936
1747999961,1.9,15.8801
1747999962,3.4,15.8686
1747999963,1.4,15.8733
1747999964,2.5,15.8603
1747999965,2.9,15.885
1747999967,1.4,15.9275
1747999968,1.4,15.9275
1747999969,1.4,15.9453
1747999970,1.9,15.9643
1747999971,2.5,15.9642
1747999972,1.5,15.9504
1747999974,1.4,15.9504
1747999975,2.4,15.9444
1747999976,2.4,15.9525
1747999977,1,15.954
1747999978,2.4,15.965
1747999980,2.9,15.9696
1747999981,2.4,15.9898
1747999982,2.4,15.9814
1747999983,1.9,15.9807
1747999984,1,15.9915
1747999986,1.4,15.9915
1747999987,1.9,15.9841
1747999988,1.9,15.9937
1747999989,1.4,15.9999
1747999990,5.2,15.9928
1747999992,4.8,15.9974
1747999993,2.4,16.0184
1747999994,3.8,16.0486
1747999995,6.4,16.0579
1747999996,6.8,16.0898
1747999998,3.5,16.1037
1747999999,3.3,16.1215
1748000000,8.4,16.1352
1748000001,4.4,16.1475
1748000002,3.9,16.1341
1748000003,3.8,16.1357
1748000005,6.2,16.1597
1748000006,9.2,16.1838
1748000007,4.9,16.1945
1748000008,6.7,16.2248
1748000009,5.8,16.2264
1748000011,7.2,16.238
1748000012,6.9,16.2556
1748000013,4.3,16.2573
1748000014,7.1,16.2708
1748000015,2.4,16.2724
