timestamp,cpu_percent,ram_percent
1747996809,9.8,14.3588
1747996810,10.4,14.4536
1747996811,1.9,15.019
1747996812,2,15.014
1747996813,1.5,15.0301
1747996814,3.5,15.0212
1747996816,1.5,15.0217
1747996817,1.5,15.0337
1747996818,1,15.0327
1747996819,3.4,14.9968
1747996820,2.9,14.998
1747996822,1.9,15.0239
1747996823,1.4,15.0445
1747996824,1.5,15.024
1747996825,2.9,15.0365
1747996826,2,15.0365
1747996828,1.9,15.0514
1747996829,1.5,15.0698
1747996830,1.9,15.0542
1747996831,2,15.0573
1747996832,1.5,15.0603
1747996834,1.4,15.0999
1747996835,1.9,15.0926
1747996836,2.9,15.0991
1747996837,3,15.0885
1747996838,1.9,15.0708
1747996839,1,15.046
1747996841,2.4,15.0267
1747996842,1.5,15.0226
1747996843,1.5,15.0365
1747996844,1,15.0742
1747996845,1.9,15.0876
1747996847,2.4,15.0907
1747996848,1.4,15.1017
1747996849,1,15.1017
1747996850,3.4,15.0727
1747996851,2.4,15.0499
1747996853,3.5,15.0565
1747996854,1,15.0375
1747996855,1.5,15.0375
1747996856,1.5,15.0154
1747996857,1.9,15.036
1747996859,1.4,15.0349
1747996860,2.5,15.0607
1747996861,1.9,15.0582
1747996862,2,15.0593
1747996863,1.5,15.0737
1747996864,1.4,15.0711
1747996866,2,15.0629
1747996867,1.5,15.0629
1747996868,2,15.0708
1747996869,1,15.0579
1747996870,1.4,15.0579
1747996872,1.9,15.0705
1747996873,1.4,15.0705
1747996874,1.4,15.0838
1747996875,3.9,15.0833
1747996876,2,15.0848
1747996878,1,15.0772
1747996879,1.4,15.0789
1747996880,1.9,15.0923
1747996881,2,15.0809
1747996882,4.4,15.0886
1747996884,1.5,15.1089
1747996885,5.3,15.1166
1747996886,4.9,15.1824
1747996887,4.5,15.2065
1747996888,2,15.2189
1747996889,5.8,15.2593
1747996891,6.3,15.2608
1747996892,1.9,15.2587
1747996893,3.9,15.2709
1747996894,4.3,15.2676
1747996895,6.2,15.2418
1747996897,2.4,15.2397
1747996898,2.5,15.2456
1747996899,4.9,15.2294
1747996900,6.9,15.2294
1747996901,6.3,15.249
1747996903,3,15.2582
1747996904,7.2,15.2693
1747996905,1.9,15.293
1747996906,6.9,15.2976
1747996907,1.9,15.2871
1747996909,4.9,15.3056
1747996910,2,15.3097
1747996911,5.5,15.392
1747996912,3,15.394
1747996913,5.3,15.3819
1747996914,5.9,15.3927
1747996916,2.4,15.406
1747996917,7,15.3835
1747996918,1.4,15.3935
1747996919,1.5,15.4122
1747996920,3.4,15.4102
1747996922,3.5,15.4192
1747996923,8,15.4501
1747996924,9.9,15.5359
1747996925,6.3,15.5238
1747996926,8,15.5345
1747996928,6.3,15.5479
1747996929,9,15.5562
1747996930,6.9,15.604
1747996931,3,15.5673
1747996932,6.7,15.5997
1747996933,7.8,15.6103
1747996935,5.6,15.6266
1747996936,4.9,15.6424
1747996937,5.8,15.6495
1747996938,7.2,15.6437
1747996939,4,15.6444
1747996941,5.5,15.6929
1747996942,6.4,15.6872
1747996943,7.8,15.7072
1747996944,2.5,15.7022
1747996945,8.9,15.6834
1747996946,6.8,15.6926
1747996948,5,15.7191
1747996949,4.5,15.733
1747996950,3.9,15.7702
1747996951,8.3,15.7804
1747996952,7.3,15.8051
1747996954,4.4,15.8185
1747996955,6.8,15.8231
1747996956,7.2,15.8365
1747996957,8.4,15.8575
1747996958,1.5,15.8518
1747996960,5.9,15.8794
1747996961,7.4,15.8833
1747996962,6.8,15.9082
1747996963,3.5,15.9144
1747996964,6.3,15.9397
1747996965,8,15.9507
1747996967,6.9,15.9491
1747996968,4,15.9651
1747996969,1.4,15.9624
1747996970,7.4,15.9577
1747996971,7.4,15.9882
1747996973,5,16.0007
1747996974,5.3,16.0161
1747996975,9.8,16.011
1747996976,8.5,16.2902
1747996977,4.9,16.285
1747996979,1.5,16.2948
1747996980,8.4,16.3069
1747996981,4,16.2956
1747996982,7.7,16.3002
1747996983,9.2,16.289
1747996984,9.8,16.3126
1747996986,7.8,16.3794
1747996987,4.8,16.3974
1747996988,7.8,16.3979
1747996989,2,16.4042
1747996990,1.9,16.476
1747996992,4,16.4651
1747996993,8.8,16.449
1747996994,9.8,16.4515
1747996995,5.9,16.466
1747996996,3.5,16.4723
1747996998,9.3,16.475
1747996999,9.8,16.4832
1747997000,7.4,16.4779
1747997001,5.7,16.4938
1747997002,10.7,16.5139
1747997003,9.7,16.5167
1747997005,4.4,16.5707
1747997006,3.4,16.5653
1747997007,9.4,16.552
1747997008,8.9,16.5584
1747997009,7.7,16.5592
1747997011,6.8,16.5486
1747997012,10.1,16.5429
1747997013,9.9,16.5386
1747997014,8.9,16.4479
1747997015,1.5,16.4642
1747997017,9.3,16.4552
1747997018,6.3,16.4397
1747997019,9.8,16.446
1747997020,3.9,16.4504
1747997021,8.9,16.4629
1747997022,5,16.4643
1747997024,5.3,16.4531
1747997025,10.3,16.4567
1747997026,9.3,16.4544
1747997027,4.9,16.4413
1747997028,8.4,16.502
1747997030,3.9,16.5018
1747997031,0.5,16.5046
1747997032,9.6,16.5041
1747997033,7.8,16.5294
1747997034,3.9,16.537
1747997036,9.3,16.5516
1747997037,3.8,16.5438
1747997038,7.9,16.5567
1747997039,10.8,16.5861
1747997040,9.7,16.6194
1747997041,5.8,16.6059
1747997043,8.3,16.587
1747997044,8.8,16.5856
1747997045,2,16.5988
1747997046,9.6,16.6559
1747997047,10.2,16.667
1747997049,4.9,16.6549
1747997050,9.3,16.6248
1747997051,3.4,16.6438
1747997052,7.8,16.6494
1747997053,10.8,16.6667
1747997055,9.4,16.6813
1747997056,3.9,16.7035
1747997057,7.8,16.7331
1747997058,5.4,16.7307
1747997059,9.3,16.7295
