timestamp,cpu_percent,ram_percent
1748006805,17.7,14.0275
1748006806,16.5,14.0577
1748006807,9.4,14.5507
1748006808,9.9,14.563
1748006809,9.4,14.5562
1748006810,10.1,14.6172
1748006812,9.8,14.6141
1748006813,9.4,14.605
1748006814,9.4,14.6023
1748006815,9.4,14.5839
1748006816,9.5,14.5562
1748006818,9.8,14.5378
1748006819,9.3,14.5447
1748006820,8.9,14.5386
1748006821,9.8,14.5422
1748006822,8.9,14.5453
1748006824,10.3,14.5563
1748006825,9,14.5609
1748006826,9.9,14.5656
1748006827,9.4,14.5781
1748006828,8.9,14.5858
1748006829,9.9,14.5873
1748006831,10.9,14.6174
1748006832,8.9,14.6143
1748006833,9.5,14.6084
1748006834,8.9,14.6008
1748006835,9.9,14.6054
1748006837,9.3,14.5992
1748006838,9.8,14.5955
1748006839,9.4,14.5843
1748006840,9,14.5843
1748006841,9.3,14.5827
1748006842,10,14.6693
1748006844,8.9,14.6674
1748006845,9.3,14.669
1748006846,10.9,14.6343
1748006847,9.4,14.6369
1748006848,8.9,14.6353
1748006850,9.9,14.6296
1748006851,9.4,14.6507
1748006852,9.4,14.6584
1748006853,9,14.6595
1748006854,9.3,14.6655
1748006856,11.9,14.6716
1748006857,8.9,14.6715
1748006858,9.4,14.67
1748006859,13.3,14.651
1748006860,9.4,14.6525
1748006861,9.4,14.6525
1748006863,9.4,14.6659
1748006864,8.9,14.6689
1748006865,11.4,14.6951
1748006866,9.8,14.7038
1748006867,9.3,14.7064
1748006869,9.4,14.7141
1748006870,8.9,14.712
1748006871,9,14.7245
1748006872,9.4,14.717
1748006873,9.4,14.7077
1748006874,9.5,14.7054
1748006876,9.4,14.6946
1748006877,9.3,14.693
1748006878,10.6,14.7079
1748006879,9.4,14.7119
1748006880,9.4,14.7128
1748006882,9.4,14.7112
1748006883,8.9,14.7198
1748006884,9.4,14.7173
1748006885,9.4,14.7171
1748006886,9.4,14.7081
1748006887,9.5,14.7158
1748006889,9.9,14.7097
