timestamp,cpu_percent,ram_percent
1747995515,9.9,14.6649
1747995516,10.9,14.72
1747995517,10.4,15.196
1747995518,2,15.2507
1747995519,1.4,15.2413
1747995521,2.4,15.2412
1747995522,2.9,15.259
1747995523,2.9,15.2717
1747995524,1.4,15.2749
1747995525,1.4,15.2505
1747995527,1.9,15.2515
1747995528,2.4,15.2186
1747995529,1.4,15.177
1747995530,2.4,15.1747
1747995531,1.9,15.1865
1747995533,4.9,15.1773
1747995534,4.4,15.1867
1747995535,4.8,15.2039
1747995536,4.3,15.1945
1747995537,4.8,15.2348
1747995539,3.9,15.2543
1747995540,1.4,15.2493
1747995541,4.3,15.2469
1747995542,5.4,15.2369
1747995543,5.3,15.2306
1747995544,3.9,15.2282
1747995546,2.4,15.2322
1747995547,3.3,15.2396
1747995548,2.9,15.2384
1747995549,2.9,15.2618
1747995550,1.4,15.2581
1747995552,2.4,15.2422
1747995553,3.3,15.2367
1747995554,2.9,15.2373
1747995555,1.4,15.2366
1747995556,2,15.2454
1747995558,1.9,15.2297
1747995559,2.9,15.2755
1747995560,2.4,15.277
1747995561,1.4,15.2904
1747995562,2.9,15.2938
1747995564,2,15.3149
1747995565,1.4,15.339
1747995566,1.9,15.3373
1747995567,2.4,15.3136
1747995568,4.4,15.286
1747995569,2.9,15.2804
1747995571,2,15.2319
1747995572,4.4,15.2413
1747995573,2.9,15.2546
1747995574,2,15.2483
1747995575,2.4,15.2703
1747995577,1.4,15.2813
1747995578,2.4,15.2567
1747995579,2,15.2785
1747995580,2.9,15.2664
1747995581,1,15.2699
1747995583,2.5,15.2723
1747995584,7.7,15.0913
1747995585,2.9,15.0805
1747995586,1,15.0887
1747995587,2.5,15.079
1747995589,2.4,15.091
1747995590,1.4,15.093
1747995591,2.4,15.1071
1747995592,4.3,15.0623
1747995593,2.4,15.0684
1747995594,2,15.0786
1747995596,1.4,15.0665
1747995597,2.4,15.0733
1747995598,3.5,15.064
1747995599,8,15.0796
1747995600,2.4,15.1334
1747995602,1,15.1316
1747995603,2.9,15.15
1747995604,3.4,15.174
1747995605,1,15.1739
1747995606,1,15.1937
1747995608,1.4,15.1894
1747995609,1.9,15.2096
1747995610,3.9,15.2096
1747995611,1,15.239
1747995612,5.6,15.2393
1747995614,6.3,15.2552
1747995615,5.3,15.2734
1747995616,2.4,15.2895
1747995617,1,15.2949
1747995618,4.9,15.3336
1747995620,5.9,15.3391
1747995621,4.9,15.3489
1747995622,3.4,15.3496
1747995623,5.3,15.3648
1747995624,7.2,15.3901
1747995625,4.4,15.3888
1747995627,5.7,15.4022
1747995628,5.8,15.4107
1747995629,6.8,15.442
1747995630,4.8,15.4591
1747995631,4.4,15.4632
1747995633,6.8,15.4725
1747995634,7.4,15.4564
1747995635,5.7,15.4655
1747995636,3,15.4774
1747995637,1.9,15.4774
1747995639,7.3,15.5239
1747995640,4.5,15.522
1747995641,2.9,15.5308
1747995642,6.7,15.5329
1747995643,6.7,15.5669
1747995645,5.4,15.5869
1747995646,6.4,15.5886
1747995647,6.3,15.5852
1747995648,8,15.6056
1747995649,6.7,15.615
1747995650,2,15.6142
1747995652,4.8,15.6398
1747995653,7.9,15.6471
1747995654,7.4,15.6139
1747995655,2.4,15.6313
1747995656,5.7,15.6365
1747995658,8,15.6868
1747995659,6.9,15.6846
1747995660,3,15.6943
1747995661,7.8,15.6884
1747995662,7.7,15.7083
1747995664,4.9,15.7072
1747995665,5,15.6841
1747995666,5.3,15.7003
1747995667,7.2,15.7206
1747995668,7.8,15.7365
1747995670,7.4,15.7419
1747995671,7.2,15.7529
1747995672,7.7,15.939
1747995673,7.4,15.9425
1747995674,2.4,15.9493
1747995675,1.4,15.9377
1747995677,7.3,15.9147
1747995678,7.8,15.9029
1747995679,7.4,15.8793
1747995680,7.4,15.8991
1747995681,6.3,15.8977
1747995683,6.9,15.8819
1747995684,5.4,15.8744
1747995685,2.5,15.8725
1747995686,6.9,15.8849
1747995687,7.4,15.888
1747995689,5.4,15.9129
1747995690,4.8,15.9107
1747995691,8.3,15.9003
1747995692,8.9,15.8951
1747995693,5.4,15.8997
1747995694,4.8,15.9028
1747995696,7.3,15.9115
1747995697,7.3,15.911
1747995698,3,15.9222
1747995699,4.9,16.0323
1747995700,5.8,16.0728
1747995702,7.3,16.062
1747995703,6.7,16.0612
1747995704,7.3,16.0632
1747995705,1.9,16.136
1747995706,5.8,16.1445
1747995708,6.3,16.1413
1747995709,5.9,16.1032
1747995710,5.3,16.1046
1747995711,5.8,16.1197
1747995712,5.5,16.1038
1747995713,3.4,16.1036
1747995715,3.9,16.1085
1747995716,4.9,16.1082
1747995717,4.8,16.1084
1747995718,3.4,16.1189
1747995719,1.4,16.1234
1747995721,2.4,16.1208
1747995722,3.4,16.1208
1747995723,3.9,16.1268
1747995724,2.4,16.1276
1747995725,5.3,16.1624
1747995727,5.3,16.1492
1747995728,4.3,16.1568
1747995729,2.5,16.1693
1747995730,2.4,16.1739
1747995731,4.3,16.1688
1747995733,5,16.1651
1747995734,2,16.1682
1747995735,1.5,16.1886
1747995736,3.8,16.1994
1747995737,2.5,16.2613
1747995738,3,16.2675
1747995740,3.4,16.2682
1747995741,2.9,16.29
1747995742,2.9,16.29
1747995743,1,16.3093
1747995744,1.9,16.3231
1747995746,1.9,16.3133
1747995747,3.4,16.2977
1747995748,2.9,16.3207
1747995749,1.4,16.3229
1747995750,3.4,16.3156
1747995752,3,16.3107
1747995753,3.4,16.2945
1747995754,1,16.3002
1747995755,10.2,16.3086
1747995756,3.4,16.3476
1747995758,2,16.3666
1747995759,2.4,16.3794
1747995760,3.4,16.3794
1747995761,3.9,16.3679
1747995762,3.9,16.371
1747995763,2.4,16.3914
1747995765,4.3,16.3972
1747995766,3.9,16.4032
1747995767,3.4,16.4172
1747995768,2,16.4218
1747995769,2.5,16.4489
1747995771,3.4,16.4534
1747995772,3.4,16.4625
1747995773,2.9,16.5018
1747995774,1.5,16.5018
1747995775,3.9,16.4941
1747995777,4.5,16.4898
1747995778,1.5,16.4964
1747995779,1.9,16.4079
1747995780,3.4,16.3837
1747995781,3.9,16.4101
1747995783,2.5,16.4209
1747995784,3.4,16.4365
1747995785,4.4,16.4528
1747995786,5.3,16.473
1747995787,1.9,16.5102
1747995788,1.9,16.5257
1747995790,3.9,16.5413
1747995791,4.3,16.5484
1747995792,2.5,16.5545
1747995793,1.4,16.5763
1747995794,2.9,16.5932
1747995796,4.3,16.6049
1747995797,5.4,16.6689
1747995798,1.4,16.6733
1747995799,3.4,16.7015
1747995800,4.4,16.7104
1747995802,4.4,16.682
1747995803,1,16.714
1747995804,3.4,16.6908
1747995805,4.8,16.6833
1747995806,4.9,16.6848
1747995808,1.5,16.6726
1747995809,1,16.6673
1747995810,1,16.6935
1747995811,5.3,16.7115
1747995812,4.4,16.7115
1747995813,2.4,16.7318
1747995815,4.3,16.7411
1747995816,4,16.7535
1747995817,2.5,16.8047
1747995818,2,16.8047
1747995819,3.8,16.8187
1747995821,6.4,16.8379
1747995822,2.5,16.8426
1747995823,2.4,16.8665
1747995824,3.9,16.8807
1747995825,5,16.8875
1747995827,5.9,16.8602
1747995828,2,16.8772
1747995829,3.4,16.881
1747995830,4.9,16.8919
1747995831,4.9,16.8825
1747995832,4.3,16.8917
1747995834,2.9,16.9211
1747995835,4.9,16.9419
1747995836,2.5,16.9419
1747995837,1.4,16.9882
1747995838,6.7,17.0422
1747995840,1.9,17.0114
1747995841,5.4,17.0276
1747995842,1.4,17.0307
1747995843,3.8,17.0329
1747995844,7.3,17.0437
1747995846,6.9,17.0453
1747995847,5.4,17.0863
1747995848,3.4,17.1094
1747995849,5.3,17.11
1747995850,5.3,17.107
1747995852,4.9,17.1064
1747995853,1.4,17.1357
1747995854,6.3,17.16
1747995855,7.4,17.1794
1747995856,4.9,17.1856
1747995857,2.4,17.2027
1747995859,5.3,17.2012
1747995860,5.8,17.2115
1747995861,5.4,17.2238
1747995862,2.4,17.2476
1747995863,5.7,17.2584
1747995865,6.3,17.2561
1747995866,5.5,17.2632
1747995867,4.4,17.2663
1747995868,3.4,17.2857
1747995869,4.5,17.2872
1747995871,4.5,17.2721
1747995872,2.4,17.2761
1747995873,4.3,17.2916
1747995874,4.5,17.3186
1747995875,2.5,17.3248
1747995876,3.5,17.321
1747995878,2.9,17.3256
1747995879,4.5,17.3288
1747995880,5,17.3395
1747995881,1.4,17.3456
1747995882,4.3,17.3496
1747995884,3.5,17.3589
1747995885,3.9,17.3804
1747995886,1.4,17.3818
1747995887,1,17.3889
1747995888,4.9,17.3676
1747995890,4.3,17.4278
1747995891,3.4,17.4288
1747995892,3.3,17.4323
1747995893,3.4,17.4441
1747995894,3.9,17.4456
1747995896,2.4,17.4442
1747995897,1.9,17.4335
