timestamp,cpu_percent,ram_percent
1747910689,9.3,20.2574
1747910690,10.4,20.3062
1747910691,11.3,20.3426
1747910692,3.5,20.4765
1747910693,4.9,20.4793
1747910694,4.5,20.4948
1747910696,2.4,20.4716
1747910697,3.9,20.4636
1747910698,3,20.4744
1747910699,2.9,20.5638
1747910700,6.4,20.5611
1747910702,7.4,20.5796
1747910703,10.7,20.604
1747910704,7.4,20.6045
1747910705,6.9,20.6473
1747910706,8.8,20.6983
1747910708,7.4,20.6916
1747910709,7.4,20.6921
1747910710,3.9,20.6904
1747910711,6.3,20.718
1747910712,7.4,20.7672
1747910714,7.5,20.7672
1747910715,8.8,20.801
1747910716,7.5,20.851
1747910717,8.9,20.8439
1747910718,2.9,20.8336
1747910719,7.8,20.811
1747910721,8.4,20.8636
1747910722,9.2,20.8978
1747910723,9.3,20.8778
1747910724,9,20.9228
1747910725,7.4,20.9281
1747910727,9,20.9272
1747910728,9.2,20.9155
1747910729,2.9,21.0258
1747910730,7.4,21.0873
1747910731,9.8,21.0797
1747910733,8.9,21.0451
1747910734,9.8,21.0459
1747910735,8.8,21.017
1747910736,3.5,21.0209
1747910737,9.3,21.0023
1747910738,8.4,21.0074
1747910740,9.9,21.0103
1747910741,2.4,21.0039
1747910742,2.9,21.0064
1747910743,5.4,20.9907
1747910744,7.4,20.9823
1747910746,8.5,21.0359
1747910747,9.4,21.0137
1747910748,3,21.0178
1747910749,7.4,21.03
1747910750,8,21.0209
1747910752,11.2,21.0499
1747910753,3.4,21.0513
1747910754,9.3,21.0857
1747910755,3.9,21.0957
1747910756,3.4,21.1001
1747910757,3,21.1175
1747910759,10,21.1151
1747910760,10.3,21.1268
1747910761,10.7,21.1289
1747910762,9.9,21.1838
1747910763,10.4,21.1604
1747910765,9.9,21.2003
1747910766,8.9,21.2166
1747910767,9.5,21.2603
1747910768,9.4,21.2689
1747910769,9.8,21.2379
1747910771,9.8,21.2454
1747910772,10.8,21.248
1747910773,9,21.2703
1747910774,8.8,21.3056
1747910775,9,21.2983
1747910776,8.8,21.2964
1747910778,8.4,21.325
1747910779,10.8,21.3818
1747910780,9.5,21.4003
1747910781,2.9,21.4202
1747910782,10.2,21.4667
1747910784,10.9,21.4806
1747910785,9.4,21.4766
1747910786,10.3,21.5264
1747910787,9.9,21.5386
1747910788,10.4,21.5501
1747910790,2.9,21.5809
1747910791,9.8,21.5383
1747910792,9.3,21.5673
1747910793,3.4,21.5614
1747910794,3.5,21.5672
1747910795,2.9,21.5695
1747910797,11.3,21.577
1747910798,2.4,21.6021
1747910799,3.4,21.5734
1747910800,3,21.5648
1747910801,10.9,21.5872
1747910803,4.4,21.5794
1747910804,11.3,21.5891
1747910805,11.2,21.6418
1747910806,5.3,21.6502
1747910807,6,21.6522
1747910809,11.3,21.6538
1747910810,11.8,21.6573
1747910811,12,21.6749
1747910812,11.8,21.7381
1747910813,11.4,21.7276
1747910814,11.8,21.7451
1747910816,10.3,21.6204
1747910817,10.3,21.6571
1747910818,10.9,21.6731
1747910819,8.9,21.71
1747910820,7.9,21.7106
1747910822,7.4,21.7252
1747910823,8.9,21.7311
1747910824,9.2,21.7627
1747910825,10.3,21.7594
1747910826,10.2,21.8195
1747910828,10.8,21.8446
1747910829,10.8,21.8712
1747910830,3,21.8911
1747910831,7.4,21.8914
1747910832,11.4,21.9168
1747910833,10.8,21.9215
1747910835,10.3,21.9714
1747910836,11.3,22.0086
1747910837,5.9,21.985
1747910838,6.9,21.9851
1747910839,11.3,22.011
1747910841,9.9,22.07
1747910842,6.9,22.0529
1747910843,10.8,22.0872
1747910844,10.8,22.1367
1747910845,7.2,22.1123
1747910846,2.9,22.1024
1747910848,3.4,22.1292
1747910849,7.4,22.1054
1747910850,7,22.0963
1747910851,10.8,22.0782
1747910852,7.4,22.1082
1747910854,10.3,22.1073
1747910855,11.2,22.124
1747910856,10.8,22.1363
1747910857,10.3,22.1469
