timestamp,cpu_percent,ram_percent
1747225971,34.7,12.0495
1747225973,42.9,12.1402
1747225974,18.2,12.1838
1747225975,19.2,12.1853
1747225976,18.2,12.1853
1747225977,19.2,12.1728
1747225978,18.4,12.1716
1747225980,20.2,12.1823
1747225981,19,12.1783
1747225982,20.2,12.1766
1747225983,19.2,12.1902
1747225984,17.3,12.1963
1747225986,18.4,12.1979
1747225987,18.2,12.2077
1747225988,19.2,12.2075
1747225989,18.2,12.2075
1747225990,19,12.2446
1747225991,18.4,12.2431
1747225993,19,12.2416
1747225994,38.5,12.4298
1747225995,40.6,12.5782
1747225996,35.4,12.4948
1747225997,42.4,12.5316
1747225999,36.1,12.526
1747226000,41,12.5748
1747226001,34.3,12.5726
1747226002,40.2,12.5544
1747226003,39.6,12.5421
1747226004,36.7,12.5967
1747226006,42.3,12.7095
1747226007,39.6,12.7106
1747226008,41.4,12.6993
1747226009,33,12.6681
1747226010,38.9,12.659
1747226012,35.4,12.6687
1747226013,39.2,12.6269
1747226014,33.7,12.6287
1747226015,38.1,12.6217
1747226016,37,12.5977
1747226018,35.6,12.6824
1747226019,38.4,12.6836
1747226020,34,12.63
1747226021,36.8,12.6151
1747226022,33.7,12.626
1747226023,41.1,12.643
1747226025,47.5,12.632
1747226026,41.3,12.764
1747226027,43.4,12.8238
1747226028,44.9,12.8617
1747226029,51,12.8255
1747226031,43.4,12.8135
1747226032,40.7,12.8446
1747226033,36.7,12.8098
1747226034,35,13.0069
1747226035,55.2,13.0898
1747226037,42.3,13.0967
1747226038,54.2,13.1123
1747226039,43.6,13.1976
1747226040,43.3,13.1982
1747226041,49.5,13.2714
1747226042,39.4,13.2614
1747226044,44.4,13.3195
1747226045,39.4,13.2718
1747226046,57.6,13.1863
1747226047,53.5,13.2024
1747226048,38.4,13.2463
1747226050,54.6,13.2397
1747226051,47.5,13.3134
1747226052,54.5,13.2475
1747226053,45.8,13.3335
1747226054,55,13.3279
1747226056,54.3,13.3487
1747226057,41.6,13.401
1747226058,35.1,13.479
1747226059,40.6,13.5633
1747226060,34.7,13.5603
1747226061,45.3,13.5026
1747226063,36.1,13.548
1747226064,40.4,13.507
1747226065,45.5,13.4983
1747226066,33.7,13.4195
1747226067,41.2,13.4201
1747226069,33.7,13.4013
1747226070,52.1,13.4828
1747226071,41.8,13.539
1747226072,48.5,13.6668
1747226073,50.5,13.6189
1747226074,56.4,13.7289
1747226076,53.6,13.6848
1747226077,41.8,13.6535
1747226078,54.7,13.6108
1747226079,57.1,13.6059
1747226080,52,13.555
1747226082,39.8,13.5525
1747226083,52.5,13.4778
1747226084,48,13.5707
1747226085,42,13.617
1747226086,39.4,13.6208
1747226088,44.3,13.7349
1747226089,57.6,13.6687
1747226090,53.7,13.6663
1747226091,41.4,13.7006
1747226092,38.3,13.8316
1747226093,52.9,13.8532
1747226095,52,13.8026
1747226096,50,13.7377
1747226097,37.8,13.7033
1747226098,38.7,13.6364
1747226099,33,13.6035
1747226101,38.1,13.5715
1747226102,36.7,13.5751
1747226103,40,13.5988
1747226104,50.5,13.566
1747226105,34.3,13.6762
1747226107,42.4,13.7368
1747226108,57.6,13.7183
1747226109,43.4,13.7937
1747226110,37,13.7525
1747226111,40.4,13.7498
1747226112,46.9,13.7544
1747226114,51.5,13.732
1747226115,41,13.7069
1747226116,36.4,13.7228
1747226117,37.8,13.7712
1747226118,36.5,13.8568
1747226120,47.7,13.8349
1747226121,36.1,13.7992
1747226122,40.9,13.6614
1747226123,40.2,13.7391
1747226124,44.7,13.7247
1747226125,41,13.7465
1747226127,56.1,13.7343
1747226128,47,13.873
1747226129,53.5,13.9321
1747226130,40.6,14.032
1747226131,44.4,14.0107
1747226133,54.1,14.0967
1747226134,47.5,14.0146
1747226135,38.1,13.945
1747226136,58.2,13.9507
1747226137,53.4,13.9224
1747226139,57.6,13.8727
1747226140,51.4,13.9108
1747226141,36.1,13.9735
1747226142,36.7,14.0031
1747226143,38.1,14.0559
1747226144,43.9,14.003
1747226146,51.8,14.0206
1747226147,58.8,14.0595
1747226148,34.7,14.0661
1747226149,46.9,14.1558
1747226150,36.8,14.2073
1747226152,39,14.2132
1747226153,47,14.2007
