timestamp,cpu_percent,ram_percent
1747910988,9.3,20.2158
1747910990,11.3,20.2983
1747910991,1,20.3357
1747910992,1.9,20.3479
1747910993,5,20.342
1747910994,2.5,20.3689
1747910996,3.4,20.3721
1747910997,2.4,20.3951
1747910998,5.3,20.4129
1747910999,4.8,20.4272
1747911000,5.3,20.396
1747911001,4.4,20.4069
1747911003,5,20.4073
1747911004,2.9,20.4384
1747911005,4,20.4345
1747911006,2.5,20.4658
1747911007,3,20.5176
1747911009,5.5,20.5313
1747911010,7.9,20.6178
1747911011,7.8,20.6648
1747911012,9.9,20.6312
1747911013,7.8,20.7071
1747911015,5.9,20.7267
1747911016,8.4,20.8178
1747911017,5.9,20.7957
1747911018,5.9,20.8256
1747911019,5.4,20.8559
1747911020,6.8,20.839
1747911022,7.7,20.9143
1747911023,7.3,20.9765
1747911024,7.4,20.958
1747911025,7.7,21.0141
1747911026,7.9,21.0107
1747911028,6.9,21.0115
1747911029,5.9,21.0528
1747911030,8.8,21.0541
1747911031,5.4,21.0767
1747911032,8.8,21.0704
1747911034,7.5,21.0737
1747911035,7.4,21.0815
1747911036,6.5,21.0691
1747911037,7.4,21.1394
1747911038,9.4,21.1962
1747911039,10.4,21.2034
1747911041,11.8,21.3871
1747911042,11.4,21.4793
1747911043,9.9,21.4676
1747911044,9.4,21.4784
1747911045,11.3,21.4581
1747911047,10.4,21.4501
1747911048,8.2,21.4687
1747911049,9.9,21.4363
1747911050,10.8,21.4176
1747911051,10.3,21.4213
1747911053,8.9,21.3872
1747911054,9.8,21.3984
1747911055,8,21.3985
1747911056,7.4,21.4075
1747911057,2.4,21.4268
1747911058,5.8,21.4598
1747911060,5.8,21.4365
1747911061,7.4,21.4236
1747911062,7.9,21.3958
1747911063,3.4,21.3831
1747911064,3.9,21.4023
1747911066,10.4,21.4276
1747911067,7.3,21.4231
1747911068,11,21.4454
1747911069,9.7,21.4571
1747911070,11.3,21.5247
1747911072,3.4,21.5192
1747911073,12.1,21.5881
1747911074,11.3,21.6341
1747911075,10.4,21.604
1747911076,11.7,21.6032
1747911077,9.9,21.6404
1747911079,8.9,21.6637
1747911080,9.3,21.6611
1747911081,9.4,21.7792
1747911082,10.9,21.7632
1747911083,11.4,21.7534
1747911085,10.8,21.7709
1747911086,9.4,21.7932
1747911087,11.2,21.7789
1747911088,11.4,21.8135
1747911089,11.4,21.8034
1747911091,10.4,21.8087
1747911092,9.9,21.8117
1747911093,9.8,21.8116
1747911094,8.9,21.806
1747911095,8.9,21.8119
1747911096,10.3,21.8238
1747911098,9.2,21.8525
1747911099,9.9,21.9204
1747911100,7.4,21.9235
1747911101,10.3,21.9333
1747911102,10.3,21.9662
1747911104,10.4,21.9674
1747911105,7.7,21.9725
1747911106,11.3,21.9683
1747911107,9.2,22.054
1747911108,9.9,22.0061
1747911110,8.4,22.0513
1747911111,9.4,22.021
1747911112,10.3,22.0352
1747911113,9.4,22.0929
1747911114,8.7,22.1193
1747911115,10.7,22.1727
1747911117,6.8,22.1392
1747911118,4.4,22.1696
1747911119,9.3,22.1413
1747911120,8.4,22.1791
1747911121,8.7,22.1534
1747911123,9.4,22.1628
1747911124,7.9,22.1788
1747911125,8.8,22.1419
1747911126,9.9,22.2179
1747911127,12.3,22.2666
1747911129,10.4,22.3192
1747911130,11.3,22.2594
1747911131,6.8,22.2984
1747911132,10.3,22.2977
1747911133,8.2,22.2897
1747911134,4.3,22.283
1747911136,3.9,22.2969
1747911137,3.9,22.3068
1747911138,11.9,22.3078
1747911139,4.3,22.3239
1747911140,10.8,22.3437
1747911142,10.4,22.3125
1747911143,6.3,22.3688
1747911144,7.2,22.3411
1747911145,25.6,22.222
1747911146,12.2,22.2251
1747911148,12.2,22.2417
1747911149,9.4,22.2552
1747911150,11.9,22.2505
1747911151,9.4,22.2411
1747911152,8.3,22.2735
1747911154,10.6,22.2861
1747911155,6,22.2883
1747911156,5.4,22.2921
1747911157,8.9,22.3118
1747911158,10.4,22.3121
1747911159,8.3,22.2998
1747911161,7.9,22.3574
1747911162,8.8,22.3651
1747911163,9.3,22.3774
1747911164,1.4,22.3768
1747911165,1.4,22.3799
1747911167,1.4,22.3785
1747911168,1,22.3708
1747911169,4.9,17.2213
1747911170,1,17.2281
1747911171,1.4,17.2297
1747911173,1,17.2312
