timestamp,cpu_percent,ram_percent
1748079627,17.7,14.7748
1748079628,19.6,14.9553
1748079629,10.3,15.0479
1748079630,9.9,15.0466
1748079632,9.8,15.0804
1748079633,9.4,15.0621
1748079634,9.9,15.0826
1748079635,9.9,15.0896
1748079636,9.9,15.1067
1748079637,10,15.1301
1748079639,9.9,15.1042
1748079640,9.5,15.1278
1748079641,9,15.1309
1748079642,9.3,15.1426
1748079643,9.9,15.1593
1748079645,9.4,15.1719
1748079646,9.5,15.1774
1748079647,9.9,15.1586
1748079648,9.5,15.1402
1748079649,9.4,15.1221
1748079651,9.4,15.1009
1748079652,9.9,15.0803
1748079653,9.4,15.0697
1748079654,9.9,15.0778
1748079655,9.4,15.1133
1748079656,9.3,15.1311
1748079658,11.3,15.0942
1748079659,9.9,15.1223
1748079660,9.9,15.0848
1748079661,10.4,15.1184
1748079662,11.8,15.1895
1748079664,11.8,15.187
1748079665,12.3,15.2575
1748079666,11.4,15.2599
1748079667,15.3,15.2427
1748079668,14.3,15.307
1748079669,13.9,15.3328
1748079671,12.9,15.3503
1748079672,18.2,15.3721
1748079673,13.9,15.3391
1748079674,15.3,15.3567
1748079675,13.8,15.3816
1748079677,14.3,15.4137
1748079678,14.4,15.4427
1748079679,9,15.408
1748079680,10,15.4204
1748079681,9.5,15.4469
1748079683,10,15.4131
1748079684,9.4,15.442
1748079685,10.4,15.432
1748079686,9.9,15.4253
1748079687,10.4,15.431
1748079688,9.9,15.4709
1748079690,9.4,15.4924
1748079691,9.8,15.4662
1748079692,9.5,15.4516
1748079693,9.3,15.466
1748079694,9.9,15.4784
1748079696,10.3,15.4515
1748079697,9.9,15.4653
1748079698,10.3,15.4768
1748079699,9.4,15.4494
1748079700,9.5,15.458
1748079701,9,15.4833
1748079703,10,15.4579
1748079704,10.3,15.4742
1748079705,9.8,15.4404
1748079706,11,15.447
1748079707,9.4,15.4821
1748079709,9.9,15.4527
1748079710,9,15.4761
1748079711,9.4,15.5009
1748079712,9.4,15.4911
1748079713,9.7,15.5507
1748079715,10.9,15.5863
1748079716,8.8,15.5635
1748079717,11.7,15.6256
1748079718,11.9,15.6698
1748079719,13.3,15.6672
1748079720,14.4,15.7171
1748079722,14.1,15.7233
1748079723,13.9,15.7208
1748079724,13.7,15.732
1748079725,13.6,15.7846
1748079726,15,15.7645
1748079728,15.8,15.825
1748079729,12.9,15.8296
1748079730,14.4,15.795
1748079731,14.4,15.8919
1748079732,13.9,15.8771
1748079734,14.8,15.8542
1748079735,15.3,15.8644
1748079736,14.4,15.8463
1748079737,15.3,15.8416
1748079738,15.3,15.8614
1748079739,16.3,15.9022
1748079741,17.6,15.9106
1748079742,16.1,15.9063
1748079743,14.4,15.9101
