timestamp,cpu_percent,ram_percent
1748079992,17.6,14.722
1748079993,19.7,14.8305
1748079994,9.3,15.0116
1748079995,10.6,15.0428
1748079996,9.4,15.0805
1748079998,9.9,15.1164
1748079999,9.4,15.1114
1748080000,9.4,15.103
1748080001,10.4,15.131
1748080002,9,15.1209
1748080004,11.9,15.171
1748080005,9,15.1876
1748080006,9.4,15.1595
1748080007,9.4,15.178
1748080008,9.4,15.1746
1748080009,9.4,15.1931
1748080011,9.9,15.2172
1748080012,9,15.2113
1748080013,10.4,15.2464
1748080014,13.4,15.2676
1748080015,12.9,15.3173
1748080017,14.3,15.2976
1748080018,13.4,15.308
1748080019,9,15.3837
1748080020,13.9,15.4019
1748080021,10.2,15.423
1748080023,13.9,15.4462
1748080024,13.9,15.4431
1748080025,10.8,15.4363
1748080026,11.9,15.4429
1748080027,14.8,15.4425
1748080028,14.5,15.5354
1748080030,14.9,15.5294
1748080031,13,15.5235
1748080032,14.9,15.5645
1748080033,14.6,15.5223
1748080034,14.8,15.5373
1748080036,15.8,15.5948
1748080037,14.9,15.6181
1748080038,16.1,15.6157
1748080039,14.8,15.6315
1748080040,17.7,15.6348
1748080042,14.9,15.6839
1748080043,15.8,15.7316
1748080044,15.4,15.7204
1748080045,14.9,15.7508
1748080046,15.3,15.7418
1748080047,15.8,15.7425
1748080049,14.9,15.7791
1748080050,15.3,15.855
1748080051,12.8,15.8824
1748080052,13.8,15.8853
1748080053,15.3,15.8632
1748080055,14.9,15.9037
1748080056,14.9,15.8862
1748080057,14.3,15.8897
1748080058,10.5,15.9125
1748080059,13.4,15.9297
1748080060,11.8,15.9369
1748080062,12.9,15.9646
1748080063,13.8,15.9573
1748080064,9.9,16.1181
1748080065,9.4,16.1407
1748080066,9.4,16.1144
1748080068,14.8,16.1125
1748080069,14.8,16.1128
1748080070,11.9,16.159
1748080071,13.4,16.168
1748080072,15.8,16.1906
1748080073,12.4,16.164
1748080075,16.4,16.1623
1748080076,15.3,16.1555
1748080077,9.4,16.1534
1748080078,16.3,16.1528
1748080079,10.9,16.1557
1748080081,14.9,16.1862
1748080082,14.2,16.1791
1748080083,9.4,16.2068
1748080084,12.6,16.2062
1748080085,10.4,16.1992
1748080087,9.4,16.243
1748080088,9.4,16.218
1748080089,11.9,16.2127
1748080090,9.4,16.2341
1748080091,14.4,16.2133
1748080092,9.9,16.2433
1748080094,14.5,16.2561
1748080095,9.8,16.2731
1748080096,9.4,16.2949
1748080097,16.3,16.27
1748080098,10.1,16.288
1748080100,14.9,16.3529
1748080101,9.9,16.3282
1748080102,11.4,16.3496
1748080103,12.1,16.3454
1748080104,11.9,16.318
1748080106,12.9,16.345
1748080107,10.6,16.3368
1748080108,9.4,16.3342
1748080109,10.3,16.3133
1748080110,9.8,16.3549
1748080111,10.8,16.3793
1748080113,10.4,16.349
1748080114,12.3,16.3605
1748080115,13.3,16.3368
1748080116,18.6,16.3394
1748080117,11.4,16.3882
1748080119,16.3,16.3602
1748080120,10,16.3865
1748080121,10,16.3887
1748080122,17.2,16.3825
1748080123,15.8,16.4285
1748080124,17.7,16.4341
1748080126,17.8,16.412
1748080127,13.9,16.4951
1748080128,13.3,16.5055
1748080129,11.9,16.548
1748080130,12.4,16.5446
1748080132,11.2,16.5139
1748080133,17.7,16.5469
1748080134,16.8,16.5687
1748080135,16.2,16.5656
1748080136,14.8,16.5916
1748080137,16.3,16.5677
1748080139,14.9,16.5963
1748080140,10.4,16.6071
1748080141,16.3,16.597
1748080142,10.3,16.6467
1748080143,16.8,16.596
1748080145,17,16.6077
1748080146,11.9,16.6018
1748080147,14.8,16.6283
1748080148,16.8,16.6428
1748080149,15.4,16.6489
1748080151,10.4,16.6817
