timestamp,cpu_percent,ram_percent
1747915212,9.4,13.5544
1747915213,10.5,13.6047
1747915214,5.5,13.8966
1747915215,4,13.9051
1747915216,2.9,13.9382
1747915218,3.4,14.0185
1747915219,1.9,13.9968
1747915220,2.4,14.0431
1747915221,8.4,14.0986
1747915222,7.9,14.1588
1747915224,8.9,14.1781
1747915225,8.5,14.1989
1747915226,7.5,14.1916
1747915227,8,14.1947
1747915228,7,14.2548
1747915229,9.4,14.312
1747915231,6.9,14.366
1747915232,9.4,14.376
1747915233,10.9,14.4002
1747915234,7.4,14.4388
1747915235,6.9,14.4364
1747915237,8.9,14.4047
1747915238,7.2,14.3734
1747915239,5.4,14.4625
1747915240,5.5,14.4363
1747915241,6.9,14.4679
1747915243,7.1,14.4967
1747915244,10,14.4702
1747915245,10.4,14.5558
1747915246,8,14.5834
1747915247,4.5,14.6306
1747915248,6.8,14.613
1747915250,3.4,14.609
1747915251,5.5,14.6376
1747915252,8,14.7618
1747915253,6.9,14.7286
1747915254,6,14.7093
1747915256,6.4,14.9028
1747915257,5.4,14.8738
1747915258,6,14.8712
1747915259,10,14.8748
1747915260,6.4,14.8934
1747915262,6.8,14.9187
1747915263,10.1,14.8918
1747915264,8.3,14.9061
1747915265,7,14.8852
1747915266,7.9,14.8694
1747915267,7.9,14.8941
1747915269,6,14.9109
1747915270,6,14.9242
1747915271,5.9,14.9534
1747915272,4.9,14.9579
1747915273,7.4,15.0402
1747915275,3.5,15.0286
1747915276,3.4,15.0335
1747915277,3.5,15.0565
1747915278,3.5,15.0652
1747915279,3.5,15.0734
1747915280,3.4,15.0604
1747915282,4.4,15.0482
1747915283,4.4,15.082
1747915284,3.4,15.041
1747915285,3,15.0578
1747915286,3.9,15.061
1747915288,3.4,15.0789
1747915289,3.4,15.0735
1747915290,3.4,15.0956
1747915291,1.5,15.1164
1747915292,2.9,15.1403
1747915294,4.9,15.1749
1747915295,4.9,15.1562
1747915296,5.4,15.122
1747915297,4.9,15.1513
1747915298,4.9,15.1625
1747915300,5.5,15.2302
1747915301,5.5,15.2663
1747915302,3.9,15.2877
1747915303,2,15.2953
1747915304,2,15.2929
1747915305,2.9,15.2811
1747915307,1.9,15.291
1747915308,3,15.3238
1747915309,2.9,15.4739
1747915310,2.9,15.4846
1747915311,2.9,15.5025
1747915313,2.4,15.5322
1747915314,4.8,15.6121
1747915315,6.4,15.5928
1747915316,5,15.5984
1747915317,5.5,15.5806
1747915319,4.5,15.604
1747915320,5.5,15.6097
1747915321,7,15.6634
1747915322,6.4,15.6633
1747915323,6.5,15.6779
1747915324,8.4,15.6886
1747915326,8.3,15.7094
1747915327,9.4,15.7273
1747915328,6,15.7245
1747915329,6.4,15.6975
1747915330,9.9,15.7121
1747915332,9.4,15.677
1747915333,9,15.688
1747915334,4.4,15.7198
1747915335,4,15.7392
1747915336,4.9,15.7708
1747915338,9.9,16.0678
1747915339,3.4,16.064
1747915340,4.8,16.0266
1747915341,4.9,15.9887
1747915342,4.3,15.9873
1747915343,6.3,15.9728
1747915345,5,15.9816
1747915346,5.4,16.0019
1747915347,4.8,16.0374
1747915348,6.9,16.0135
1747915349,4.9,16.0212
1747915351,5.4,16.0304
1747915352,5.4,16.0365
1747915353,6.8,16.0608
1747915354,10,16.1301
1747915355,10,16.1156
1747915357,8.6,16.1248
1747915358,4.5,16.1344
1747915359,11.3,16.1425
1747915360,10.3,16.16
1747915361,10.5,16.222
1747915362,7.4,16.2823
1747915364,9.9,16.2969
1747915365,6.5,16.2783
1747915366,6.5,16.2782
1747915367,6.1,16.2935
1747915368,6.6,16.3198
1747915370,10.8,16.3967
1747915371,10,16.3834
1747915372,9.9,16.3888
1747915373,8,16.3972
1747915374,8.5,16.4058
1747915376,8,16.4515
1747915377,7.7,16.5017
1747915378,8.3,16.581
1747915379,9.3,16.6544
1747915380,8.2,16.6429
1747915381,7.8,16.6681
1747915383,7.9,16.6878
1747915384,7.9,16.66
1747915385,7.4,16.6923
1747915386,8.4,16.7014
1747915387,9.5,16.7245
1747915389,5.9,16.7246
1747915390,9.9,16.7191
1747915391,9,16.7054
1747915392,7,16.7372
1747915393,7.8,16.747
1747915395,10,16.7402
1747915396,8,16.8345
1747915397,9.5,16.8868
1747915398,10.1,16.8879
1747915399,8,16.8719
1747915400,8.9,16.8625
1747915402,9.4,16.8872
1747915403,11.5,16.9181
1747915404,8.4,16.9451
1747915405,7.9,16.9552
1747915406,9.3,17.01
1747915408,9.4,17.0248
1747915409,7.3,17.0705
1747915410,8.4,17.0789
1747915411,9.3,17.0597
1747915412,8.9,17.0483
1747915413,7.9,17.0638
1747915415,7.4,17.0911
1747915416,3.4,17.029
1747915417,3,17.0629
1747915418,3,17.0504
1747915419,6.3,17.0961
1747915421,7.2,17.0893
1747915422,8.9,17.1
1747915423,10.9,17.1107
1747915424,9.4,17.1222
1747915425,6.9,17.2203
1747915427,7.5,17.212
1747915428,6.9,17.2267
1747915429,6.3,17.2198
1747915430,5.9,17.2014
1747915431,10,17.2869
1747915432,5.9,17.2885
1747915434,4.5,17.2915
1747915435,4.5,17.2946
1747915436,4.4,17.3455
1747915437,1.5,16.9426
1747915438,2.5,16.8397
1747915440,1,10.6103
1747915441,1.4,10.5983
1747915442,1,10.5878
