Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,-0.005583,0.041730,0.118988,0.992003,1998.593872,2974.095947,757.927673
2,0,-0.005518,0.041720,0.119119,0.991988,1998.609375,2974.062256,757.918823
3,0,-0.005455,0.041757,0.119082,0.991991,1998.608276,2974.044922,757.913330
4,0,-0.005370,0.041767,0.119031,0.991997,1998.608887,2974.020508,757.907043
5,0,-0.005330,0.041770,0.119033,0.991997,1998.606812,2974.001221,757.900574
6,0,-0.005287,0.041790,0.119009,0.991999,1998.600830,2973.987305,757.896790
7,0,-0.005257,0.041763,0.119015,0.992000,1998.593140,2973.986084,757.894714
8,0,-0.005296,0.041737,0.119010,0.992001,1998.589233,2973.995117,757.898926
9,0,-0.005382,0.041738,0.119010,0.992001,1998.586304,2974.011230,757.906128
10,0,-0.005496,0.041692,0.119050,0.991997,1998.586792,2974.032715,757.914734
11,0,-0.005554,0.041659,0.119083,0.991994,1998.590332,2974.054688,757.924255
12,0,-0.005585,0.041629,0.119122,0.991991,1998.598145,2974.073242,757.935181
13,0,-0.005556,0.041657,0.119117,0.991990,1998.602905,2974.082764,757.942017
14,0,-0.005529,0.041697,0.119092,0.991992,1998.610107,2974.085449,757.945190
15,0,-0.005450,0.041710,0.119052,0.991997,1998.614014,2974.081299,757.946045
16,0,-0.005454,0.041752,0.119067,0.991993,1998.617432,2974.065430,757.939758
17,0,-0.005457,0.041786,0.119050,0.991994,1998.614990,2974.046875,757.930664
18,0,-0.005439,0.041796,0.119052,0.991993,1998.611206,2974.027344,757.918640
19,0,-0.005410,0.041796,0.119017,0.991997,1998.600464,2974.011719,757.905640
20,0,-0.005372,0.041750,0.119025,0.991999,1998.591431,2974.004395,757.896301
21,0,-0.005437,0.041725,0.119037,0.991998,1998.581299,2974.003418,757.894104
22,0,-0.005460,0.041715,0.119041,0.991998,1998.576782,2974.010010,757.893616
23,0,-0.005505,0.041696,0.119063,0.991996,1998.582153,2974.023438,757.902283
24,0,-0.005497,0.041718,0.119065,0.991994,1998.590942,2974.037598,757.910461
25,0,-0.005515,0.041705,0.119094,0.991991,1998.599487,2974.044922,757.914490
26,0,-0.005487,0.041735,0.119069,0.991993,1998.603149,2974.053467,757.916504
27,0,-0.005480,0.041687,0.119062,0.991996,1998.600342,2974.053223,757.912903
28,0,-0.005473,0.041643,0.119047,0.992000,1998.591431,2974.046875,757.912720
29,0,-0.005477,0.041608,0.119051,0.992001,1998.582520,2974.036377,757.910950
30,0,-0.005475,0.041590,0.119042,0.992003,1998.576782,2974.026611,757.911682
31,0,-0.005457,0.041654,0.119033,0.992001,1998.576538,2974.019531,757.910095
32,0,-0.005448,0.041678,0.119063,0.991997,1998.583740,2974.014404,757.907715
33,0,-0.005369,0.041735,0.119004,0.992002,1998.588989,2974.015869,757.903015
34,0,-0.005349,0.041724,0.119042,0.991998,1998.593628,2974.016846,757.899963
35,0,-0.005285,0.041686,0.119095,0.991993,1998.595581,2974.016113,757.900879
36,0,-0.005263,0.041669,0.119076,0.991996,1998.593628,2974.015137,757.904297
37,0,-0.005311,0.041670,0.119073,0.991997,1998.589966,2974.015869,757.908630
38,0,-0.005364,0.041674,0.119041,0.992000,1998.586548,2974.016602,757.911682
39,0,-0.005435,0.041684,0.119042,0.991999,1998.586182,2974.019531,757.910706
40,0,-0.005491,0.041702,0.119062,0.991996,1998.586792,2974.024658,757.904480
41,0,-0.005501,0.041701,0.119064,0.991995,1998.588257,2974.028076,757.895447
42,0,-0.005454,0.041742,0.119029,0.991998,1998.590210,2974.031982,757.890442
43,0,-0.005476,0.041697,0.119046,0.991998,1998.592285,2974.032471,757.892029
44,0,-0.005427,0.041699,0.119036,0.991999,1998.591553,2974.031006,757.897766
45,0,-0.005403,0.041674,0.119056,0.991998,1998.592163,2974.031250,757.907410
