Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
1,0,-0.014633,0.042713,0.413314,0.909468,2074.077637,2907.727295,757.013611
2,0,-0.014721,0.042611,0.413393,0.909436,2074.072266,2907.719238,757.005127
3,0,-0.014728,0.042645,0.413386,0.909437,2074.072021,2907.718262,757.005859
4,0,-0.014662,0.042667,0.413361,0.909449,2074.076172,2907.720947,757.009644
5,0,-0.014694,0.042656,0.413368,0.909445,2074.080322,2907.723389,757.012329
6,0,-0.014714,0.042701,0.413380,0.909438,2074.082031,2907.728271,757.012817
7,0,-0.014710,0.042705,0.413367,0.909444,2074.082031,2907.735840,757.014954
8,0,-0.014718,0.042694,0.413367,0.909444,2074.081543,2907.745361,757.020325
9,0,-0.014739,0.042709,0.413376,0.909439,2074.081787,2907.749023,757.020691
10,0,-0.014711,0.042722,0.413379,0.909437,2074.082031,2907.750000,757.022156
11,0,-0.014752,0.042698,0.413395,0.909430,2074.083984,2907.751465,757.027710
12,0,-0.014745,0.042710,0.413377,0.909438,2074.086670,2907.750732,757.031311
13,0,-0.014749,0.042696,0.413382,0.909437,2074.088379,2907.748779,757.033569
14,0,-0.014731,0.042726,0.413356,0.909447,2074.084961,2907.747070,757.033936
15,0,-0.014748,0.042735,0.413346,0.909451,2074.083740,2907.745117,757.035400
16,0,-0.014762,0.042723,0.413373,0.909439,2074.084229,2907.742676,757.034851
17,0,-0.014802,0.042693,0.413393,0.909431,2074.083496,2907.739502,757.037903
18,0,-0.014825,0.042681,0.413410,0.909423,2074.080322,2907.738770,757.038635
19,0,-0.014852,0.042686,0.413409,0.909423,2074.079590,2907.740234,757.044739
20,0,-0.014892,0.042705,0.413420,0.909416,2074.078857,2907.744141,757.052429
21,0,-0.014874,0.042730,0.413377,0.909435,2074.077637,2907.754395,757.062439
22,0,-0.014896,0.042751,0.413369,0.909437,2074.078857,2907.766357,757.073425
23,0,-0.014901,0.042755,0.413358,0.909442,2074.082764,2907.773682,757.081177
24,0,-0.014909,0.042756,0.413361,0.909440,2074.085693,2907.781982,757.087769
25,0,-0.014912,0.042765,0.413355,0.909443,2074.088135,2907.786133,757.091675
26,0,-0.014941,0.042746,0.413365,0.909439,2074.087891,2907.789795,757.096436
27,0,-0.014971,0.042736,0.413367,0.909438,2074.083496,2907.791260,757.096680
28,0,-0.014929,0.042755,0.413358,0.909442,2074.081055,2907.788086,757.094543
29,0,-0.014924,0.042724,0.413389,0.909429,2074.080078,2907.783936,757.092834
30,0,-0.014897,0.042741,0.413385,0.909431,2074.080078,2907.780762,757.091553
31,0,-0.014906,0.042751,0.413403,0.909422,2074.081787,2907.776611,757.089539
32,0,-0.014912,0.042744,0.413387,0.909429,2074.083496,2907.772461,757.085571
33,0,-0.014897,0.042737,0.413399,0.909425,2074.081787,2907.770020,757.078491
34,0,-0.014884,0.042716,0.413385,0.909432,2074.078857,2907.769287,757.073059
35,0,-0.014912,0.042718,0.413401,0.909424,2074.078125,2907.767822,757.069031
36,0,-0.014900,0.042711,0.413426,0.909414,2074.081543,2907.764648,757.068604
37,0,-0.014845,0.042730,0.413399,0.909426,2074.084229,2907.761230,757.068787
38,0,-0.014836,0.042727,0.413390,0.909430,2074.088867,2907.763916,757.067200
39,0,-0.014844,0.042724,0.413398,0.909426,2074.093262,2907.763916,757.064087
40,0,-0.014848,0.042724,0.413412,0.909420,2074.092529,2907.764160,757.060791
41,0,-0.014832,0.042739,0.413401,0.909424,2074.091797,2907.763428,757.057007
42,0,-0.014843,0.042739,0.413395,0.909427,2074.090576,2907.763184,757.051575
43,0,-0.014875,0.042700,0.413410,0.909422,2074.090820,2907.761475,757.045715
44,0,-0.014849,0.042739,0.413396,0.909427,2074.090576,2907.753174,757.040405
45,0,-0.014806,0.042719,0.413392,0.909430,2074.092041,2907.747803,757.037415
46,0,-0.014755,0.042742,0.413367,0.909441,2074.090576,2907.744873,757.035156
47,0,-0.014750,0.042726,0.413367,0.909442,2074.088623,2907.740234,757.026794
48,0,-0.014734,0.042746,0.413379,0.909436,2074.085693,2907.735840,757.018982
49,0,-0.014753,0.042730,0.413398,0.909427,2074.085449,2907.735352,757.015015
50,0,-0.014727,0.042724,0.413391,0.909431,2074.087646,2907.733887,757.012146
51,0,-0.014737,0.042750,0.413389,0.909431,2074.091553,2907.733643,757.014038
52,0,-0.014736,0.042748,0.413359,0.909445,2074.091797,2907.739014,757.018738
53,0,-0.014704,0.042746,0.413381,0.909435,2074.090088,2907.741943,757.019104
54,0,-0.014697,0.042706,0.413419,0.909420,2074.088135,2907.745117,757.019958
55,0,-0.014734,0.042696,0.413400,0.909429,2074.084473,2907.745850,757.017395
56,0,-0.014735,0.042721,0.413374,0.909439,2074.085205,2907.742920,757.018677
57,0,-0.014781,0.042710,0.413374,0.909439,2074.086670,2907.743408,757.024170
58,0,-0.014792,0.042707,0.413367,0.909442,2074.085449,2907.746094,757.031250
59,0,-0.014763,0.042691,0.413373,0.909441,2074.083740,2907.749756,757.038757
60,0,-0.014759,0.042701,0.413373,0.909440,2074.082520,2907.752197,757.042480
61,0,-0.014749,0.042698,0.413380,0.909437,2074.083008,2907.756592,757.046387
62,0,-0.014768,0.042725,0.413352,0.909448,2074.083740,2907.761963,757.049683
63,0,-0.014813,0.042729,0.413374,0.909438,2074.086182,2907.763672,757.051514
64,0,-0.014827,0.042748,0.413387,0.909430,2074.088135,2907.764404,757.054993
65,0,-0.014842,0.042734,0.413391,0.909429,2074.091553,2907.767090,757.062561
66,0,-0.014856,0.042749,0.413389,0.909429,2074.090088,2907.766846,757.068848
67,0,-0.014883,0.042727,0.413396,0.909427,2074.084229,2907.767334,757.077515
68,0,-0.014896,0.042714,0.413379,0.909435,2074.075928,2907.768066,757.082092
69,0,-0.014901,0.042706,0.413365,0.909441,2074.067383,2907.762451,757.082092
70,0,-0.014913,0.042687,0.413332,0.909457,2074.063232,2907.759033,757.086609
71,0,-0.014927,0.042661,0.413345,0.909452,2074.065430,2907.760254,757.092651
72,0,-0.014912,0.042658,0.413341,0.909454,2074.071045,2907.765869,757.097290
73,0,-0.014966,0.042691,0.413335,0.909455,2074.075195,2907.776855,757.100952
74,0,-0.014981,0.042700,0.413353,0.909446,2074.081543,2907.791016,757.103027
75,0,-0.014979,0.042739,0.413362,0.909440,2074.085938,2907.803711,757.103760
76,0,-0.015017,0.042730,0.413375,0.909434,2074.087158,2907.811035,757.099304
77,0,-0.015018,0.042716,0.413407,0.909420,2074.087158,2907.812256,757.094177
78,0,-0.015029,0.042724,0.413394,0.909425,2074.084473,2907.802979,757.088806
79,0,-0.014973,0.042728,0.413384,0.909430,2074.078369,2907.790283,757.084534
80,0,-0.014943,0.042721,0.413354,0.909445,2074.074463,2907.773926,757.081909
81,0,-0.014889,0.042694,0.413326,0.909460,2074.069580,2907.759521,757.079895
82,0,-0.014809,0.042687,0.413332,0.909459,2074.067627,2907.747314,757.073730
83,0,-0.014818,0.042672,0.413336,0.909458,2074.066650,2907.740967,757.067627
84,0,-0.014839,0.042667,0.413344,0.909454,2074.066895,2907.740479,757.062805
85,0,-0.014884,0.042655,0.413387,0.909434,2074.072754,2907.746826,757.059448
86,0,-0.014846,0.042716,0.413359,0.909445,2074.075684,2907.755127,757.056580
87,0,-0.014859,0.042713,0.413391,0.909430,2074.083008,2907.764893,757.057007
88,0,-0.015045,0.043223,0.413623,0.909297,2074.084229,2907.796143,757.011536
89,0,-0.014941,0.043013,0.413544,0.909345,2074.093018,2907.790771,757.033020
90,0,-0.014917,0.042852,0.413523,0.909362,2074.092041,2907.787354,757.044373
91,0,-0.014914,0.042760,0.413477,0.909388,2074.088379,2907.779053,757.046509
92,0,-0.014889,0.042712,0.413446,0.909404,2074.081543,2907.768555,757.048950
93,0,-0.014830,0.042664,0.413409,0.909424,2074.076904,2907.759766,757.047180
