timestamp,cpu_percent,ram_percent
1748437332,20.1,20.8477
1748437333,19.9,21.4108
1748437334,12.2,22.0239
1748437335,14.9,22.047
1748437337,16.3,22.0217
1748437338,14.5,21.9753
1748437339,13.1,21.9969
1748437340,31.9,22.3947
1748437341,35.9,22.3751
1748437343,32.4,22.4054
1748437344,32.4,22.3927
1748437345,32.7,22.4332
1748437346,32.1,22.4563
1748437348,29.1,22.4453
1748437349,27.2,22.4468
1748437350,33.2,22.5052
1748437351,30,22.5143
1748437352,28.7,22.5095
1748437354,30.1,22.5155
1748437355,31.2,22.5543
1748437356,30.2,22.5497
1748437357,31.3,22.5369
1748437358,29.8,22.5694
1748437360,30.7,22.5518
1748437361,37.2,22.5417
1748437362,32.2,22.5139
1748437363,29.9,22.5196
1748437364,32.2,22.5172
1748437366,36.1,22.5446
1748437367,31.5,22.6246
1748437368,31.1,22.588
1748437369,31.4,22.6115
1748437370,34.6,22.5692
1748437372,41.1,22.5935
1748437373,31.6,22.6181
1748437374,31.4,22.6714
1748437375,35.5,22.7355
1748437377,35.2,22.7841
1748437378,34,22.7684
1748437379,37.2,22.7604
1748437380,38.9,22.7731
1748437381,36.3,22.8249
1748437383,44.9,22.8094
1748437384,35.1,22.8445
1748437385,34.5,22.8367
1748437386,30.1,22.8555
1748437387,32.2,22.8374
1748437389,31.1,22.8339
1748437390,35.8,22.8916
1748437391,32,22.9082
1748437392,31.7,22.9407
1748437393,32.4,22.9142
1748437395,31.8,22.9556
1748437396,32.1,22.9569
1748437397,33.2,22.9409
1748437398,30.4,22.9472
1748437399,32.9,22.9371
1748437401,34,22.9373
1748437402,31.3,22.96
1748437403,31.7,23.0169
1748437404,33,22.9963
1748437406,35.2,22.9882
1748437407,30.1,23.0087
1748437408,32.7,22.9907
1748437409,35.1,23.0096
1748437410,37.1,23.0531
1748437412,35.5,23.0705
1748437413,38.8,23.1011
1748437414,38.2,23.1118
1748437415,37.6,23.1282
1748437416,34.9,23.1475
1748437418,38.2,23.1711
1748437419,37.3,23.2255
1748437420,38.8,23.2203
1748437421,37.7,23.2449
1748437423,39.6,23.2578
1748437424,31.7,23.2631
1748437425,41.6,23.3113
1748437426,32.7,23.3225
1748437427,38.8,23.3567
1748437429,38.9,23.3406
1748437430,32.7,23.3694
1748437431,37.7,23.3743
1748437432,39.2,23.4055
1748437433,31.7,23.4214
1748437435,36.1,23.4613
1748437436,40.1,23.4787
1748437437,37.7,23.4756
1748437438,34.3,23.4839
1748437440,38.6,23.4973
1748437441,38.3,23.5333
1748437442,36.6,23.5467
1748437443,32,23.602
1748437444,34.2,23.5958
1748437446,33.8,23.5842
1748437447,30.2,23.6268
1748437448,31.7,23.6307
1748437449,30.7,23.6441
1748437450,31.1,23.6769
1748437452,34.3,23.658
1748437453,30.7,23.6784
1748437454,30.3,23.6904
1748437455,30.6,23.6806
1748437456,35.5,23.6861
1748437458,28.7,23.7037
1748437459,27.9,23.6907
1748437460,31.7,23.7506
1748437461,34.4,23.7555
1748437462,33.7,23.744
1748437464,33.2,23.7676
1748437465,29.6,23.7666
1748437466,33,23.814
1748437467,32.8,23.8063
1748437468,34.1,23.7986
1748437470,32,23.7781
