timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
897717309300, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.728845306310914709e-02, -9.992980039283995142e-01, 0.000000000000000000e+00, 2.566787241161578442e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
897750669117, 3.233918305691285911e-07, -1.910063336639759879e-06, -1.079078830846914574e-05, -2.731366508351748545e-02, -9.993269874309553824e-01, 3.715676802676048354e-04, 2.448260258501077161e-02, -1.336441026835236134e-05, -4.427957988951782063e-04, -1.588902794400382391e-03, -8.541418073801648809e-06, -1.672315535777367090e-04, 1.821611171498249628e-04, 5.705089619491537616e-10, -1.813314468301271366e-08, 5.357770028358581222e-08, 
897784019078, -3.270336134951131612e-05, -3.628700645206275427e-05, -1.217837586792644005e-04, -2.735795338458266168e-02, -9.991979779761774871e-01, 1.647566193001011488e-03, 2.919295669446745484e-02, 1.763394142229594364e-03, -3.997862051193632913e-04, -4.442421972586733589e-03, 1.042355221568956573e-05, -1.952681490409023289e-04, 1.107276299722009908e-04, -9.797850772543706477e-09, -3.128246429436062924e-08, 2.576599957860874081e-06, 
897817372971, -1.236454118891661656e-04, -5.524697878141817824e-05, -4.302516303559013040e-04, -2.741285625692341243e-02, -9.991178596204293161e-01, 2.263104217521155325e-03, 3.173194382054116830e-02, 2.538763794206036310e-03, 1.178170344034861774e-04, -8.762972709674889116e-03, 1.961709443973836601e-04, -3.022850969731807435e-04, 6.562171521081425240e-05, -5.000623705978819779e-07, -3.625337567419093862e-09, 1.146704743629942296e-05, 
897850728746, -5.208206148539598103e-04, -5.369031039995641205e-05, -9.513159079488061947e-04, 2.741639824846824058e-02, 9.991929264744754402e-01, -2.530096951263039601e-03, -2.924782726754453221e-02, 1.923524990794620851e-03, 2.388741991506577577e-03, -1.034152418797900166e-02, 1.389106538588456364e-03, -1.100921485126662731e-03, 6.851671075228572708e-05, -3.346834671409809749e-06, 3.239731742389645458e-07, 5.207288991469512224e-05, 
897884103847, -1.588355135213530972e-03, 9.211810495494024789e-05, -1.946413473172421303e-03, 2.743684422153723143e-02, 9.991196461290828834e-01, -3.768258501656504555e-03, -3.151114923204585694e-02, 8.837764334060224051e-04, 5.910261609573501905e-03, -1.705295783795321082e-02, 2.795712125362628375e-03, -3.075863462833704383e-03, 6.174135192479853537e-04, -7.832308754026845598e-06, 9.213213495836449989e-07, 1.261560515563151961e-04, 
897917465645, -1.769317710977323958e-03, 2.991459389360183008e-04, -2.879871743561013969e-03, 2.744051348308684801e-02, 9.990907699476028192e-01, -3.879710731548482137e-03, -3.239752258939631452e-02, 4.437152636377020287e-03, 6.589567459041161153e-03, -2.152832672188083329e-02, 2.757768050489485274e-03, -3.218676482988010006e-03, 6.551745574204742659e-04, -8.234851084050631115e-06, 1.019158836042260262e-06, 1.320926538154511287e-04, 
897950858950, -2.466038608232936930e-03, 7.650556564605511195e-04, -4.737618812671398789e-03, 2.738774532300667502e-02, 9.989451645876005204e-01, -3.450673504348253720e-03, -3.669553658880542191e-02, 1.280735629855488111e-02, 9.303738198891719699e-03, -2.913302936448146016e-02, 2.322982132032601777e-03, -3.383460789985490245e-03, 9.017256478678287515e-04, -8.600856204047567727e-06, 1.184598490070301916e-06, 1.369556963811408414e-04, 
897984434720, -3.954814425036433205e-03, 1.147578986598871836e-03, -8.204854218917059100e-03, 2.722262506725807787e-02, 9.988816962125456334e-01, -5.689766993338060425e-04, -3.865180359971752411e-02, 1.855000238038300928e-02, 2.733430823526815552e-03, -3.917931111717997544e-02, 1.839509424193621224e-03, -3.137014897449854917e-03, 1.261828083017729404e-03, -1.005826122991101843e-05, 1.285249461024864812e-06, 1.406991925261704779e-04, 
898017531837, -3.693684193329499141e-03, 3.705286325561270126e-04, -8.441498228850496249e-03, 2.728266547515696694e-02, 9.989610187031806587e-01, 4.682939545495635211e-04, -3.650095857435041447e-02, 1.782460313985590600e-02, -2.492773405264103737e-03, -3.771773092433251817e-02, 1.995994452610951389e-03, -2.613634461290291217e-03, 1.020992059357143196e-03, -7.948371457344364745e-06, 9.191331045368441176e-07, 1.075351879046809029e-04, 
