Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
1,0,0.694796,-0.195677,-0.638115,0.267917,2084.442383,2888.473145,777.317017
2,0,0.694793,-0.195582,-0.638208,0.267769,2084.449463,2888.474609,777.306580
3,0,0.694759,-0.195592,-0.638266,0.267714,2084.449707,2888.473145,777.305176
4,0,0.694760,-0.195582,-0.638251,0.267752,2084.450439,2888.478271,777.305420
5,0,0.694779,-0.195611,-0.638227,0.267739,2084.455811,2888.476562,777.310181
6,0,0.693903,-0.196741,-0.637547,0.270784,2084.467773,2888.650635,777.077698
7,0,0.693338,-0.197422,-0.637101,0.272780,2084.474609,2888.768066,776.943115
8,0,0.693013,-0.197871,-0.636800,0.273982,2084.472412,2888.837158,776.870056
9,0,0.692832,-0.198126,-0.636597,0.274725,2084.465332,2888.877686,776.828918
10,0,0.692675,-0.198324,-0.636517,0.275163,2084.466309,2888.895264,776.807190
11,0,0.692588,-0.198457,-0.636441,0.275462,2084.469971,2888.901367,776.797119
12,0,0.692529,-0.198503,-0.636413,0.275644,2084.476074,2888.904785,776.793274
13,0,0.692481,-0.198520,-0.636421,0.275734,2084.484619,2888.906250,776.788757
14,0,0.692427,-0.198509,-0.636459,0.275789,2084.489746,2888.900879,776.781799
15,0,0.691961,-0.198861,-0.636553,0.276487,2084.476807,2888.872559,776.739746
16,0,0.692162,-0.198735,-0.636465,0.276278,2084.478516,2888.891846,776.751038
17,0,0.692264,-0.198658,-0.636447,0.276116,2084.476807,2888.891113,776.749512
18,0,0.692326,-0.198612,-0.636441,0.276010,2084.476074,2888.887695,776.747375
19,0,0.692396,-0.198581,-0.636395,0.275962,2084.474121,2888.880859,776.748535
20,0,0.692409,-0.198548,-0.636441,0.275847,2084.477295,2888.874023,776.750549
21,0,0.692430,-0.198530,-0.636440,0.275809,2084.475098,2888.872559,776.755249
22,0,0.692448,-0.198519,-0.636421,0.275816,2084.478027,2888.879395,776.757996
23,0,0.692488,-0.198502,-0.636387,0.275807,2084.475098,2888.888184,776.761475
24,0,0.692464,-0.198527,-0.636416,0.275781,2084.476318,2888.898926,776.761230
25,0,0.692456,-0.198565,-0.636404,0.275803,2084.477783,2888.910889,776.764160
26,0,0.692448,-0.198553,-0.636400,0.275839,2084.479004,2888.921143,776.766296
27,0,0.692444,-0.198557,-0.636382,0.275889,2084.483154,2888.928223,776.770813
28,0,0.692424,-0.198559,-0.636385,0.275929,2084.484131,2888.924316,776.770874
29,0,0.692429,-0.198575,-0.636393,0.275888,2084.484375,2888.920410,776.774780
30,0,0.692438,-0.198556,-0.636344,0.275992,2084.481689,2888.915039,776.774780
31,0,0.692469,-0.198545,-0.636330,0.275955,2084.478271,2888.911133,776.776672
32,0,0.692484,-0.198531,-0.636346,0.275889,2084.475586,2888.899658,776.768921
33,0,0.692480,-0.198524,-0.636377,0.275834,2084.472412,2888.890869,776.764404
34,0,0.692501,-0.198553,-0.636337,0.275850,2084.469238,2888.895996,776.767090
35,0,0.692512,-0.198539,-0.636325,0.275863,2084.466064,2888.898682,776.765320
36,0,0.692532,-0.198553,-0.636297,0.275866,2084.469727,2888.900879,776.765808
37,0,0.692482,-0.198567,-0.636325,0.275915,2084.476562,2888.905029,776.765625
38,0,0.692484,-0.198573,-0.636337,0.275881,2084.483398,2888.907227,776.771484
39,0,0.692446,-0.198587,-0.636351,0.275933,2084.483643,2888.906250,776.777222
40,0,0.517293,-0.126641,-0.244164,0.810403,2066.575684,2880.208496,759.296082
41,0,0.305558,-0.058401,0.036962,0.949662,2064.154541,2879.086182,756.954956
42,0,0.168599,-0.016908,0.190872,0.966880,2063.798096,2878.920410,756.665405
43,0,0.090028,0.006107,0.271973,0.958065,2063.678467,2878.867432,756.638428
44,0,0.046312,0.018564,0.315017,0.947774,2063.604736,2878.868896,756.669678
45,0,0.022138,0.025355,0.338142,0.940493,2063.535645,2878.886475,756.692688
46,0,0.010743,0.029520,0.351116,0.935805,2063.464111,2879.033936,756.615295
47,0,0.002418,0.031305,0.357901,0.933232,2063.492920,2878.934326,756.725342
48,0,-0.001874,0.032116,0.361254,0.931912,2063.498779,2878.922119,756.770142
