timestamp,cpu_percent,ram_percent
1747745275,18,76.1759
1747745275,16.3,76.3494
1747745276,17.8,76.3438
1747745276,14.9,76.3487
1747745277,15.8,76.3532
1747745278,17.3,76.3619
1747745278,5.5,76.427
1747745279,7.5,76.4559
1747745279,6.5,76.4583
1747745280,9.5,76.4686
1747745281,8.3,76.4708
1747745281,6,76.4222
1747745282,5,76.6258
1747745282,7.5,76.6734
1747745283,6.6,76.6983
1747745283,7.3,76.7249
1747745284,7.1,76.709
1747745285,7.1,76.7174
1747745285,9.8,76.7108
1747745286,6.2,76.7383
1747745287,7.3,76.7634
1747745287,5.1,76.768
1747745288,9,76.7694
1747745288,6,76.7792
1747745289,9.5,76.8036
1747745289,7.1,76.8235
1747745290,7.5,76.9145
1747745291,9,76.9117
1747745291,5.3,76.9041
1747745292,6.6,76.9054
1747745292,7.7,76.9056
1747745293,10.4,76.9206
1747745294,10.1,77.0001
1747745294,12,76.951
1747745295,9,76.9093
1747745295,9.3,76.9013
1747745296,7.6,76.9895
1747745296,10.9,76.9984
1747745297,5.1,77.0141
1747745298,6.7,77.0194
1747745298,7.1,77.0527
1747745299,11.4,77.0078
1747745300,8,77.0356
1747745300,8.2,77.0541
1747745301,11.8,77.0587
1747745301,7,77.0787
1747745302,8.2,77.0647
1747745302,5.1,77.0283
1747745303,11.1,77.0124
1747745304,8.1,77.0063
1747745304,6.7,77.0313
1747745305,8.8,77.036
1747745306,9.7,77.0179
1747745306,8.1,77.0311
1747745307,11.5,77.1125
1747745307,9.9,77.0608
1747745308,10.6,77.0962
1747745308,10.9,77.1201
1747745309,7.7,76.995
1747745310,8.6,77.0308
1747745310,6.1,77.0903
1747745311,9.7,77.0096
1747745311,5.1,77.0795
1747745312,6.2,77.0568
1747745313,7.8,77.0944
1747745313,9.8,77.0951
1747745314,9,77.0677
1747745314,8.2,77.0687
1747745315,6.8,77.1004
1747745315,7.1,77.0882
1747745316,7.7,77.0674
1747745317,7.2,77.0825
1747745317,9,77.0908
1747745318,6.9,77.0924
1747745319,8.6,77.0681
1747745319,9.3,77.0804
1747745320,8.6,77.0974
1747745320,7.2,77.1291
1747745321,8.8,77.1506
1747745321,11.3,77.1678
1747745322,11.3,77.1055
1747745323,8.1,77.1152
1747745323,7.8,77.1019
1747745324,9.2,77.0913
1747745324,5.7,77.1048
1747745325,10.9,77.1362
1747745326,7.5,77.1858
1747745326,9,77.2018
1747745327,3.6,77.23
1747745327,9.9,77.1723
1747745328,6.1,77.1939
1747745328,8.1,77.202
1747745329,8.8,77.2019
1747745330,9.7,77.2148
1747745330,7.2,77.128
1747745331,10,77.1527
1747745332,5.7,77.144
1747745332,5.2,77.1406
1747745333,5.3,77.1825
1747745333,7,77.2033
1747745334,7.7,77.1621
1747745334,7.5,77.1728
1747745335,9.5,77.1693
1747745336,11,77.1785
1747745336,9.7,77.1952
1747745337,12.6,77.192
1747745337,8,77.0703
1747745338,9.1,77.1144
1747745339,11.4,77.121
1747745339,13.6,77.1532
1747745340,5.6,77.1384
1747745340,9.4,77.1514
1747745341,6.6,77.1752
1747745342,8.6,77.1563
1747745342,3.6,77.1882
1747745343,6.7,77.2138
1747745343,4.6,77.1878
1747745344,8.2,77.1788
1747745345,8.8,77.1884
1747745345,8.8,77.18
1747745346,8,77.1803
1747745346,5.6,77.2023
1747745347,7.1,77.1995
1747745347,4.1,77.1997
1747745348,11.3,77.1759
1747745349,7.4,77.1816
1747745349,7.1,77.1763
1747745350,9.8,77.1867
1747745351,10.3,77.1923
1747745351,9.6,77.1919
1747745352,9.1,77.1944
1747745352,10.1,77.2008
1747745353,12.7,77.2081
1747745353,9.5,77.2097
1747745354,10.4,77.1931
1747745355,8.4,77.1772
1747745355,9.5,77.2016
1747745356,10,77.1678
1747745356,8.8,77.1744
1747745357,7.2,77.1364
1747745358,6.6,77.182
1747745358,10.1,77.1732
1747745359,6.3,77.1913
1747745359,11,77.1971
1747745360,7.7,77.2376
1747745360,11.2,77.19
1747745361,9.7,77.2287
1747745362,10.6,77.2407
1747745362,5.7,77.2621
1747745363,5.7,77.2661
1747745364,7,77.2829
1747745364,8.4,77.2475
1747745365,8.8,77.2278
1747745365,5.6,77.255
1747745366,10.8,77.231
1747745366,9.5,77.2331
1747745367,11.2,77.2412
1747745368,9.5,77.2294
1747745368,7.7,77.2532
1747745369,9.6,77.2478
1747745369,4.7,77.2095
1747745370,8.5,77.2491
1747745371,6.6,77.2534
1747745371,10.1,77.2398
1747745372,4.6,77.2333
1747745372,11.8,77.1857
1747745373,8.7,77.2035
1747745373,8.5,77.2106
1747745374,7.5,77.2261
1747745375,8.1,77.2066
1747745375,8.6,77.2268
1747745376,9,77.2121
1747745377,6.7,77.231
1747745377,9.2,77.2189
1747745378,8.1,77.2656
1747745378,6.6,77.2606
1747745379,9.1,77.2359
1747745379,6,77.2772
1747745380,8.7,77.1944
1747745381,6.1,77.1377
1747745381,11.6,77.1557
1747745382,10,77.2214
1747745382,11.2,77.2248
1747745383,12.8,77.2345
1747745384,6.3,77.229
1747745384,11.3,77.218
1747745385,6.1,77.187
1747745385,9,77.2233
1747745386,6.5,77.2436
1747745387,8.2,77.2293
1747745387,7,77.2797
1747745388,10.8,77.3079
1747745388,8,77.2945
1747745389,6.2,77.2479
1747745390,9.2,77.3057
1747745390,7.7,77.2895
1747745391,12.5,77.2597
1747745391,11.5,77.2539
1747745392,11.6,77.2809
