timestamp,cpu_percent,ram_percent
1746668138,20.8,12.4067
1746668138,18.7,12.5971
1746668138,18.7,12.5971
1746668138,16.9,12.5955
1746668139,11.9,12.5804
1746668140,18.2,12.582
1746668140,18.2,12.582
1746668140,17.3,12.582
1746668140,3.5,12.6145
1746668141,5.4,12.6313
1746668141,5.4,12.6313
1746668141,5,12.6344
1746668141,3,12.6452
1746668142,5.4,12.6575
1746668142,5,12.6575
1746668142,5.9,12.6575
1746668143,4,12.6635
1746668143,4.5,12.6697
1746668143,4.5,12.6697
1746668143,4,12.6697
1746668144,3,12.6696
1746668144,4.9,12.6743
1746668144,4.9,12.6743
1746668144,5,12.6743
1746668145,3,12.6758
1746668146,4.9,12.6788
1746668146,4.9,12.6788
1746668146,5.9,12.6788
1746668146,6.5,12.7236
1746668147,11.2,12.7233
1746668147,11.2,12.7233
1746668147,10.4,12.7402
1746668147,9.9,12.7001
1746668148,9.5,12.7254
1746668148,9,12.7206
1746668148,9.5,12.7217
1746668149,8.3,12.7391
1746668149,9.5,12.7728
1746668149,8.2,12.7728
1746668149,8.5,12.7728
1746668150,8,12.9038
1746668150,10.3,13.0163
1746668150,10.3,13.0178
1746668150,10.7,13.0119
1746668151,10,13.0758
1746668151,10.2,13.1195
1746668151,10.2,13.1195
1746668151,12.4,13.1089
1746668152,9.7,13.0956
1746668153,11.6,13.1183
1746668153,11.5,13.1183
1746668153,11.6,13.1203
1746668153,11.1,13.0699
1746668154,17.8,13.1045
1746668154,17.8,13.1045
1746668154,17.1,13.1045
1746668154,11.2,13.089
1746668155,9.4,13.0923
1746668155,10.3,13.0938
1746668155,10.4,13.0969
1746668156,13.7,13.1003
1746668156,11.4,13.1145
1746668156,11.4,13.1145
1746668156,11.5,13.1145
1746668157,12.4,13.1494
1746668157,12.5,13.1615
1746668157,13.4,13.1615
1746668157,13.2,13.1615
1746668158,11.5,13.1266
1746668159,12,13.1566
1746668159,12.7,13.1566
1746668159,11.2,13.1566
1746668159,10.6,13.1641
1746668160,12.4,13.1333
1746668160,12.7,13.1301
1746668160,11.8,13.1298
1746668160,13.9,13.1214
1746668161,9,13.1641
1746668161,10.5,13.1641
1746668161,12.3,13.1641
1746668162,10.9,13.1526
1746668162,8,13.1526
1746668162,10.3,13.1515
1746668162,10.4,13.1515
1746668163,10,13.0955
1746668163,10.3,13.1563
1746668163,9.5,13.1356
1746668163,10.9,13.1356
1746668164,8.5,13.1605
1746668165,7.7,13.1529
1746668165,8.6,13.156
1746668165,9,13.1683
1746668165,10.8,13.1861
1746668166,8.1,13.1643
1746668166,8.9,13.1643
1746668166,8,13.1643
1746668166,9,13.1548
1746668167,12.5,13.1696
1746668167,12.6,13.1727
1746668167,12.9,13.1658
1746668167,12.4,13.1883
1746668168,9.5,13.1733
1746668168,10.2,13.1733
1746668168,9.9,13.1733
1746668169,11.7,13.1786
1746668169,11.4,13.1668
1746668169,11.6,13.1668
1746668169,12.8,13.1636
1746668170,13.7,13.1874
1746668170,10.1,13.1774
1746668170,10.1,13.1805
1746668170,10.1,13.1805
1746668171,10.1,13.1478
1746668172,9.2,13.1412
1746668172,9.7,13.1412
1746668172,9.7,13.1412
1746668172,11.3,13.1949
1746668173,10.3,13.1919
1746668173,9.5,13.195
1746668173,10.4,13.195
1746668173,10.5,13.2
1746668174,9.2,13.2149
1746668174,9.1,13.2149
1746668174,9.1,13.2149
1746668175,7.2,13.2171
1746668175,8.7,13.2007
1746668175,8.8,13.2007
1746668175,8.7,13.2036
1746668176,6.2,13.2102
1746668176,11.1,13.2325
1746668176,9.7,13.2325
1746668176,11,13.2356
1746668177,8,13.2342
1746668178,9.7,13.2003
1746668178,8.9,13.2003
1746668178,9.7,13.2003
1746668178,6.6,13.2269
1746668179,10.1,13.2517
1746668179,8.7,13.2517
1746668179,10.1,13.2517
1746668179,8.9,13.193
1746668180,6.7,13.2331
1746668180,7.1,13.2331
1746668180,7.6,13.2331
1746668181,9,13.2324
1746668181,11.7,13.2677
1746668181,11.7,13.2754
1746668181,11.7,13.2754
1746668182,11.3,13.2349
1746668182,7.6,13.2762
1746668182,7.6,13.2762
1746668182,10,13.2883
1746668183,12.6,13.2945
1746668184,9,13.3214
1746668184,9,13.3245
1746668184,8,13.3245
1746668184,9,13.3481
1746668185,9.3,13.3254
1746668185,9.2,13.3254
1746668185,9.3,13.3254
1746668185,10.8,13.3255
1746668186,12.1,13.322
1746668186,12,13.322
1746668186,12.2,13.3204
1746668186,7.7,13.3053
1746668187,9.6,13.3154
1746668187,9.7,13.3154
1746668187,9.7,13.3154
1746668188,10.4,13.289
1746668188,10.8,13.334
1746668188,10.7,13.334
1746668188,9.4,13.3353
1746668189,9.5,13.3323
1746668189,11.7,13.2017
1746668189,11.2,13.2048
1746668189,11.2,13.2048
1746668190,10.3,13.2125
1746668191,11.4,13.2521
1746668191,10.3,13.2521
1746668191,11.4,13.2521
1746668191,6.2,13.2118
1746668192,16.3,13.2544
1746668192,16.3,13.2544
1746668192,15.5,13.2544
1746668192,8.7,13.2604
1746668193,12.2,13.2902
1746668193,12.6,13.2902
1746668193,13.3,13.2902
1746668194,9.4,13.291
1746668194,11.7,13.2849
1746668194,12.2,13.2849
1746668194,13.1,13.2849
1746668195,11.6,13.3099
1746668195,8.5,13.2292
1746668195,8.9,13.2292
1746668195,10.3,13.2353
1746668196,7.5,13.2801
1746668197,7.1,13.307
1746668197,8,13.307
1746668197,9,13.2605
1746668197,10.4,13.2645
1746668198,8.9,13.3083
1746668198,9.3,13.3083
1746668198,10.8,13.286
1746668198,5.7,13.2672
1746668199,8,13.2658
1746668199,9.8,13.2658
1746668199,8,13.2905
1746668199,6.2,13.2786
1746668200,13.7,13.2543
1746668200,13.7,13.2543
1746668200,16.3,13.2511
1746668201,8.1,13.2412
1746668201,11.1,13.242
1746668201,11.1,13.242
1746668201,10.4,13.242
1746668202,9.6,13.2165
1746668202,11.1,13.2397
1746668202,10.2,13.2397
1746668202,9.6,13.2397
1746668203,8.7,13.2441
1746668204,10.7,13.2304
1746668204,11.1,13.2288
1746668204,12.4,13.2288
1746668204,8.7,13.2513
1746668205,10.3,13.2392
1746668205,10.3,13.2392
1746668205,10.2,13.2421
1746668205,9.7,13.2399
1746668206,11.7,13.2557
1746668206,11.7,13.2557
1746668206,10.2,13.2557
1746668207,10.6,13.2718
1746668207,8.9,13.1776
1746668207,9.9,13.1759
1746668207,9.3,13.1759
1746668208,9.2,13.1699
1746668208,8.2,13.1861
1746668208,8.2,13.1861
1746668208,9.9,13.1859
1746668209,6.7,13.2207
1746668210,12.9,13.2036
1746668210,13.7,13.2036
1746668210,13.3,13.2021
1746668210,8.2,13.2178
1746668211,11.6,13.2443
1746668211,11.2,13.2443
1746668211,11.6,13.2443
1746668211,13.2,13.2288
1746668212,9.3,13.2601
1746668212,9.7,13.2601
1746668212,10.9,13.2553
1746668212,11.7,13.2554
1746668213,6.2,13.2646
1746668213,6.2,13.2646
1746668213,8.1,13.263
1746668214,16.2,13.2437
1746668214,7.1,13.2507
1746668214,7.1,13.2507
1746668214,8.5,13.2289
1746668215,6.2,13.2299
1746668216,11.4,13.2237
1746668216,11.4,13.2237
1746668216,8.1,13.2434
1746668216,9.5,13.221
1746668217,14,13.2477
1746668217,14.7,13.2477
1746668217,11.2,13.2723
1746668217,9,13.2698
1746668218,9.2,13.2642
1746668218,9.2,13.2642
1746668218,8.1,13.2642
1746668218,7.1,13.2759
1746668219,10.9,13.2869
1746668219,13.1,13.2869
1746668219,12,13.2892
1746668220,7.7,13.29
1746668220,11.4,13.2749
1746668220,11.4,13.2749
1746668220,11.8,13.2747
1746668221,10.6,13.2756
1746668221,10.7,13.2787
1746668221,10.7,13.2787
1746668221,11.3,13.2797
1746668222,7.7,13.2515
1746668223,11.1,13.2622
1746668223,11.1,13.2622
1746668223,9.7,13.2622
1746668223,11,13.2532
1746668224,9.6,13.2672
1746668224,10.1,13.2672
1746668224,10.1,13.2698
1746668224,10.2,13.2786
1746668225,10.3,13.2779
1746668225,11.5,13.2779
1746668225,11.1,13.2711
1746668226,7.1,13.267
1746668226,8.7,13.2734
1746668226,8.8,13.2734
1746668226,9.2,13.2734
1746668227,13.6,13.273
1746668227,8.8,13.2799
1746668227,8.8,13.2799
1746668227,10.2,13.2799
1746668228,7.2,13.2677
1746668229,11.3,13.2923
1746668229,9.6,13.3016
1746668229,11.1,13.306
1746668229,7.8,13.3387
1746668230,8.5,13.3346
1746668230,9.3,13.3408
1746668230,10.2,13.3624
1746668230,11.5,13.3713
1746668231,8.5,13.3215
1746668231,8.5,13.3215
1746668231,6.9,13.3151
1746668231,13.6,13.3278
1746668232,5,13.3145
1746668232,5,13.3145
1746668232,5,13.3145
1746668233,3,13.3176
1746668233,5.5,13.3345
1746668233,5.5,13.3345
1746668233,4.5,13.3345
1746668234,2,13.336
1746668234,4.5,13.3391
1746668234,4.5,13.3391
1746668235,4.5,13.2721
1746668235,21.6,13.0782
