timestamp,cpu_percent,ram_percent
1746668611,16.2,12.3789
1746668611,17.4,12.3789
1746668611,18.3,12.3801
1746668611,22.3,12.4236
1746668613,16.7,12.5987
1746668613,16.9,12.5987
1746668613,17.3,12.5971
1746668613,18.6,12.5985
1746668614,16.8,12.6035
1746668614,16.7,12.6035
1746668614,15,12.6019
1746668614,17,12.6081
1746668615,12.1,12.7165
1746668615,12.1,12.7165
1746668615,10.9,12.7148
1746668615,8.6,12.7078
1746668616,10.4,12.7176
1746668616,10.3,12.7176
1746668616,10.8,12.7176
1746668616,9.8,12.7138
1746668617,10.8,12.6864
1746668617,10.8,12.6864
1746668617,10.8,12.6893
1746668617,11.2,12.6887
1746668618,7.7,12.7388
1746668618,7.7,12.7388
1746668619,8.5,12.7359
1746668619,8.6,12.728
1746668620,11.6,13.2899
1746668620,11.5,13.2899
1746668620,10.3,13.2959
1746668620,11.6,13.3015
1746668621,10.6,13.3209
1746668621,10.9,13.3209
1746668621,11.6,13.3169
1746668621,11.4,13.3212
1746668622,9,13.319
1746668622,8.7,13.319
1746668622,11.1,13.2943
1746668622,11.4,13.269
1746668623,11,13.2684
1746668623,11,13.2684
1746668623,9.1,13.2893
1746668623,9.3,13.2952
1746668624,10.8,13.3457
1746668624,10.8,13.3457
1746668624,8.8,13.3595
1746668624,11.6,13.3408
1746668626,9.9,13.3626
1746668626,9.8,13.3626
1746668626,9.5,13.3996
1746668626,11.7,13.3771
1746668627,11.1,13.4184
1746668627,11,13.4184
1746668627,10.7,13.4134
1746668627,10.2,13.4154
1746668628,10.1,13.4098
1746668628,10.1,13.4098
1746668628,8.6,13.4098
1746668628,10.6,13.3943
1746668629,7.9,13.3651
1746668629,7.9,13.3651
1746668629,7.9,13.3671
1746668629,9.1,13.3578
1746668630,12,13.3827
1746668630,12.1,13.3827
1746668630,11.9,13.3879
1746668630,7.7,13.3816
1746668631,9.7,13.4134
1746668631,9.7,13.4134
1746668632,8.8,13.4114
1746668632,8.6,13.4093
1746668633,11.4,13.4157
1746668633,11.4,13.4157
1746668633,11.9,13.4136
1746668633,12.7,13.4055
1746668634,13.1,13.3831
1746668634,13,13.3862
1746668634,11.6,13.3759
1746668634,11.8,13.3638
1746668635,12.6,13.3962
1746668635,12.6,13.3962
1746668635,11.2,13.3991
1746668635,12.1,13.4034
1746668636,12.6,13.4233
1746668636,12.6,13.4233
1746668636,9,13.4187
1746668636,10.8,13.4146
1746668637,14.4,13.4311
1746668637,14.4,13.4311
1746668637,11.3,13.4708
1746668638,13.7,13.3918
1746668639,10.2,13.409
1746668639,10.2,13.409
1746668639,8.1,13.4054
